date,funding_sum,funding_mean,funding_n
2020-01-01,-0.0003440600,-0.0001146867,3
2020-01-02,0.0001376600,0.0000458867,3
2020-01-03,0.0000678300,0.0000226100,3
2020-01-04,0.0001747100,0.0000582367,3
2020-01-05,0.0003000000,0.0001000000,3
2020-01-06,0.0003000000,0.0001000000,3
2020-01-07,0.0003000000,0.0001000000,3
2020-01-08,0.0003251400,0.0001083800,3
2020-01-09,0.0003000000,0.0001000000,3
2020-01-10,0.0003000000,0.0001000000,3
2020-01-11,0.0003784600,0.0001261533,3
2020-01-12,0.0003000000,0.0001000000,3
2020-01-13,0.0003000000,0.0001000000,3
2020-01-14,0.0004590000,0.0001530000,3
2020-01-15,0.0007888900,0.0002629633,3
2020-01-16,0.0008265700,0.0002755233,3
2020-01-17,0.0008177600,0.0002725867,3
2020-01-18,0.0007126300,0.0002375433,3
2020-01-19,0.0015183700,0.0005061233,3
2020-01-20,0.0005048400,0.0001682800,3
2020-01-21,0.0004322200,0.0001440733,3
2020-01-22,0.0004139200,0.0001379733,3
2020-01-23,0.0007230400,0.0002410133,3
2020-01-24,0.0011479100,0.0003826367,3
2020-01-25,0.0003000000,0.0001000000,3
2020-01-26,0.0003000000,0.0001000000,3
2020-01-27,0.0003000000,0.0001000000,3
2020-01-28,0.0013308300,0.0004436100,3
2020-01-29,0.0022421100,0.0007473700,3
2020-01-30,0.0008332900,0.0002777633,3
2020-01-31,0.0017056300,0.0005685433,3
2020-02-01,0.0018971000,0.0006323667,3
2020-02-02,0.0012870300,0.0004290100,3
2020-02-03,0.0010653900,0.0003551300,3
2020-02-04,0.0019192400,0.0006397467,3
2020-02-05,0.0007263100,0.0002421033,3
2020-02-06,0.0029798800,0.0009932933,3
2020-02-07,0.0008996000,0.0002998667,3
2020-02-08,0.0020208800,0.0006736267,3
2020-02-09,0.0023827100,0.0007942367,3
2020-02-10,0.0032967300,0.0010989100,3
2020-02-11,0.0015890600,0.0005296867,3
2020-02-12,0.0051193900,0.0017064633,3
2020-02-13,0.0024837000,0.0008279000,3
2020-02-14,0.0019372500,0.0006457500,3
2020-02-15,0.0024334200,0.0008111400,3
2020-02-16,0.0014902200,0.0004967400,3
2020-02-17,0.0019521500,0.0006507167,3
2020-02-18,0.0007058100,0.0002352700,3
2020-02-19,0.0012564000,0.0004188000,3
2020-02-20,0.0003000000,0.0001000000,3
2020-02-21,0.0003000000,0.0001000000,3
2020-02-22,0.0003224300,0.0001074767,3
2020-02-23,0.0013398100,0.0004466033,3
2020-02-24,0.0007336100,0.0002445367,3
2020-02-25,0.0010670100,0.0003556700,3
2020-02-26,0.0012546000,0.0004182000,3
2020-02-27,0.0003736300,0.0001245433,3
2020-02-28,0.0004526300,0.0001508767,3
2020-02-29,0.0018404700,0.0006134900,3
2020-03-01,0.0010828300,0.0003609433,3
2020-03-02,0.0003872000,0.0001290667,3
2020-03-03,0.0003000000,0.0001000000,3
2020-03-04,0.0004432800,0.0001477600,3
2020-03-05,0.0005300200,0.0001766733,3
2020-03-06,0.0007783800,0.0002594600,3
2020-03-07,0.0010427600,0.0003475867,3
2020-03-08,0.0014735300,0.0004911767,3
2020-03-09,0.0003000000,0.0001000000,3
2020-03-10,0.0003000000,0.0001000000,3
2020-03-11,0.0004289800,0.0001429933,3
2020-03-12,0.0000542300,0.0000180767,3
2020-03-13,-0.0038145100,-0.0012715033,3
2020-03-14,-0.0013169200,-0.0004389733,3
2020-03-15,-0.0015089100,-0.0005029700,3
2020-03-16,-0.0015551300,-0.0005183767,3
2020-03-17,-0.0003808400,-0.0001269467,3
2020-03-18,-0.0008360800,-0.0002786933,3
2020-03-19,-0.0006413500,-0.0002137833,3
2020-03-20,-0.0000664000,-0.0000221333,3
2020-03-21,-0.0000414500,-0.0000138167,3
2020-03-22,0.0000738200,0.0000246067,3
2020-03-23,-0.0002309100,-0.0000769700,3
2020-03-24,0.0003000000,0.0001000000,3
2020-03-25,0.0002977100,0.0000992367,3
2020-03-26,0.0000997900,0.0000332633,3
2020-03-27,0.0001320900,0.0000440300,3
2020-03-28,-0.0007511600,-0.0002503867,3
2020-03-29,-0.0007801500,-0.0002600500,3
2020-03-30,-0.0010510900,-0.0003503633,3
2020-03-31,-0.0003685600,-0.0001228533,3
2020-04-01,-0.0009290000,-0.0003096667,3
2020-04-02,-0.0000663300,-0.0000221100,3
2020-04-03,0.0001912600,0.0000637533,3
2020-04-04,0.0000406900,0.0000135633,3
2020-04-05,0.0000356200,0.0000118733,3
2020-04-06,-0.0000545300,-0.0000181767,3
2020-04-07,-0.0001466700,-0.0000488900,3
2020-04-08,0.0001391400,0.0000463800,3
2020-04-09,-0.0000885900,-0.0000295300,3
2020-04-10,0.0001499700,0.0000499900,3
2020-04-11,0.0003000000,0.0001000000,3
2020-04-12,0.0002845300,0.0000948433,3
2020-04-13,-0.0001519900,-0.0000506633,3
2020-04-14,-0.0001581800,-0.0000527267,3
2020-04-15,-0.0001450800,-0.0000483600,3
2020-04-16,-0.0004665400,-0.0001555133,3
2020-04-17,0.0000250000,0.0000083333,3
2020-04-18,-0.0003991900,-0.0001330633,3
2020-04-19,-0.0001659400,-0.0000553133,3
2020-04-20,-0.0000894600,-0.0000298200,3
2020-04-21,-0.0000671900,-0.0000223967,3
2020-04-22,-0.0004530900,-0.0001510300,3
2020-04-23,-0.0002783100,-0.0000927700,3
2020-04-24,0.0003000000,0.0001000000,3
2020-04-25,0.0003000000,0.0001000000,3
2020-04-26,0.0002749300,0.0000916433,3
2020-04-27,0.0003000000,0.0001000000,3
2020-04-28,0.0003000000,0.0001000000,3
2020-04-29,0.0003000000,0.0001000000,3
2020-04-30,0.0012072500,0.0004024167,3
2020-05-01,0.0005248500,0.0001749500,3
2020-05-02,0.0003014400,0.0001004800,3
