date,oi,oi_value,oi_mean,ls_global,ls_top,taker_ls
2021-01-01,36157.8090,1059723551.9366,36898.9141,1.574279,1.185750,1.059513
2021-01-02,34853.3230,1119706916.5620,37398.1544,1.578061,1.201787,1.071910
2021-01-03,33950.2880,1116764847.5066,34635.8388,2.006606,1.202524,1.020327
2021-01-04,30435.6850,973231246.7552,31354.4326,1.905333,1.215396,1.003522
2021-01-05,30162.0860,1026594346.1291,28911.8580,1.921589,1.264479,1.023672
2021-01-06,28133.6490,1034528565.8348,29112.5993,1.921717,1.188946,1.058456
2021-01-07,30082.8580,1190553773.2936,28991.4004,2.138742,1.189245,1.040508
2021-01-08,27038.6470,1101461648.1784,28885.3200,2.510841,1.471455,1.009141
2021-01-09,30824.9000,1238537249.0682,29803.2721,2.863820,1.382682,1.037879
2021-01-10,30599.6680,1175269709.0253,30800.1503,2.604552,1.513127,1.042605
2021-01-11,26862.8190,956422464.5351,27582.3093,2.488107,1.283430,1.002638
2021-01-12,23878.6650,810547672.5860,25857.7064,2.059891,1.284002,1.043298
2021-01-13,28173.0610,1053463531.6567,26151.8633,2.521419,1.102608,1.070746
2021-01-14,27287.5130,1071136121.9232,28107.0317,1.923736,1.155007,1.074374
2021-01-15,28049.0290,1029091105.4713,28800.6861,2.282559,1.114535,1.058129
2021-01-16,27405.6910,992808664.5941,27914.3305,2.152010,1.111889,1.021600
2021-01-17,26739.1160,957361120.9689,27487.6376,2.235467,1.174448,1.074654
2021-01-18,27609.2060,1014737989.7337,28162.6060,2.809614,1.170702,1.084338
2021-01-19,28433.5700,1028627045.1050,28888.4061,2.456203,1.153643,1.049652
2021-01-20,29734.3050,1060055626.1537,29949.1599,2.379145,1.177780,1.060718
2021-01-21,29618.6200,910163128.6765,31893.8379,2.061408,1.049936,1.022292
2021-01-22,26622.5890,875729299.5356,28111.9151,1.962440,1.016173,1.027204
2021-01-23,26416.4580,846841501.5965,26661.8652,1.716920,1.018597,1.056232
2021-01-24,27114.9690,874918975.8727,27218.7257,1.807590,1.013638,1.081617
2021-01-25,27571.9680,891489453.0507,28774.2257,2.072125,1.079290,1.068457
2021-01-26,27747.4220,903872271.6500,27728.9960,1.877306,1.157400,1.043392
2021-01-27,28908.0270,878470665.1014,29480.1251,1.939997,1.153410,1.031599
2021-01-28,30137.1270,1000399501.7424,29982.8844,1.469393,1.105750,1.085385
2021-01-29,29140.1250,995858818.0538,31970.8697,2.731816,1.265735,1.056260
2021-01-30,30149.6050,1035269297.5927,29692.4503,2.874260,1.320877,1.060945
2021-01-31,31344.4850,1040770267.7896,31280.1396,2.485170,1.232850,1.066797
2021-02-01,29459.0310,987395029.8336,30885.9264,2.580613,1.308231,1.141019
2021-02-02,29932.5390,1064149952.8378,30512.8025,2.345442,1.352076,1.151809
2021-02-03,29215.5920,1095584700.0000,29742.7174,1.922178,1.399997,1.125143
2021-02-04,28884.9130,1069294927.0840,29868.1014,1.784358,1.401082,1.040382
2021-02-05,29960.3300,1143668469.0867,30340.0478,2.048732,1.316143,1.051301
2021-02-06,34135.4040,1343977419.5178,32788.5634,2.064646,1.407039,1.060796
2021-02-07,31569.9920,1228217595.0633,32846.7576,2.267764,1.305349,1.030230
2021-02-08,35475.8310,1644533585.9599,33286.0855,2.251247,1.429652,1.042604
2021-02-09,33927.8420,1580913939.8551,35018.7581,2.224849,1.397617,1.017283
2021-02-10,32793.7650,1472440048.5000,33890.2485,2.551519,1.373895,1.035099
2021-02-11,35913.5390,1717762527.1395,34482.0374,2.609674,1.416991,1.062854
2021-02-12,35273.3120,1678436107.1469,35877.9313,2.759898,1.416805,1.049124
2021-02-13,33599.6430,1584323630.3826,34443.1802,2.772501,1.356014,1.046780
2021-02-14,37214.9420,1815942131.5708,36816.6836,2.521590,1.365457,1.051961
2021-02-15,34485.7790,1655504428.4068,34702.8494,1.994479,1.430296,1.017897
2021-02-16,34695.4990,1711318481.5706,35356.7374,2.366641,1.383013,1.053132
2021-02-17,37614.4360,1965265510.9310,37558.0587,1.885130,1.370359,1.056656
2021-02-18,35206.3690,1821481066.6089,36940.3135,2.209537,1.313830,0.998968
2021-02-19,35107.2760,1936291744.6057,35308.0699,1.929863,1.407730,1.058314
2021-02-20,33056.5970,1854298238.9060,34439.3863,2.212629,1.345391,0.991025
2021-02-21,33112.9510,1904029967.3202,33558.5257,2.263523,1.331440,1.061266
2021-02-22,28756.2340,1563005523.7599,31965.0044,2.497813,1.280727,0.994126
2021-02-23,25903.1940,1257399600.7375,28211.0097,1.935463,1.309036,1.010535
2021-02-24,27406.7360,1358375436.4771,26982.8282,2.141037,1.267851,1.034300
2021-02-25,28832.8110,1359226859.5908,28441.3742,2.478625,1.236519,1.027762
2021-02-26,27216.5400,1258228809.1620,27853.0062,2.388340,1.227482,1.017287
2021-02-27,27497.2300,1269491564.6954,27909.9302,2.166430,1.239655,1.045223
2021-02-28,29564.7600,1328386993.0580,29345.5769,1.891378,1.314845,1.036064
2021-03-01,28840.6520,1429215814.2512,28894.9053,2.153520,1.258935,1.032019
2021-03-02,28791.3030,1389096663.4995,29017.4755,2.105481,1.270616,1.033065
2021-03-03,28925.1190,1462056007.0026,29803.6643,2.302779,1.239409,1.073901
2021-03-04,29503.3950,1432298149.3407,29656.0456,2.656790,1.244112,1.010688
2021-03-05,29004.5120,1418747873.2618,29967.0451,2.237786,1.285446,1.047264
2021-03-06,28446.6780,1391545809.1593,29502.1130,2.136072,1.252785,1.049245
2021-03-07,29477.7630,1516338818.6702,29874.6383,1.970975,1.319772,1.063325
2021-03-08,33044.0770,1729001589.3557,30610.2407,1.942935,1.396526,1.075555
2021-03-09,32327.7590,1771113130.4603,32655.2758,2.028937,1.292799,1.009504
2021-03-10,32634.8490,1829055031.4934,32550.3146,2.001041,1.324982,1.012998
2021-03-11,34272.7750,1982609089.1058,32873.1090,1.941832,1.205552,1.015582
2021-03-12,32132.6240,1842930660.9811,33496.4139,1.915155,1.167945,1.015227
2021-03-13,35770.3530,2195101725.0780,35032.6733,2.118765,1.290490,1.075892
2021-03-14,36179.0100,2152239138.0945,36510.0128,2.536636,1.271952,1.036793
2021-03-15,34047.9180,1898304215.3802,34714.3993,3.173916,1.197653,1.056921
2021-03-16,33094.8920,1873164338.0740,34095.6068,3.028513,1.203211,1.028004
2021-03-17,31721.8960,1862328753.1490,33421.1644,2.726615,1.219682,1.041405
2021-03-18,32328.0660,1866634815.5051,33194.2415,3.123058,1.251592,1.006543
2021-03-19,32252.5490,1874518470.4055,32347.4822,2.635254,1.250121,1.053144
2021-03-20,32279.6190,1879612798.0049,32487.9173,2.841464,1.260928,1.049989
2021-03-21,32383.4210,1861848107.9554,32917.4530,2.975791,1.220568,1.033635
2021-03-22,33259.7000,1805769800.8584,33436.3396,3.459959,1.183313,1.015224
2021-03-23,34294.4330,1873021666.2290,33714.2876,2.770954,1.239873,1.000736
2021-03-24,32827.4660,1725994628.7562,33683.1348,3.128701,1.117327,0.981194
2021-03-25,34284.8070,1764738550.6464,34014.1980,2.548414,1.179573,1.010838
2021-03-26,32959.3790,1811841993.6066,33588.3617,2.567962,1.125248,1.038683
2021-03-27,32052.8680,1792878717.6626,32821.8816,2.117259,1.160323,1.030810
2021-03-28,31254.0380,1743707785.8347,32092.9023,2.225001,1.164198,1.009200
2021-03-29,32452.0490,1872899028.1287,33413.9658,2.093959,1.239141,1.042304
2021-03-30,34422.8550,2023003305.8375,33721.7753,2.245603,1.290215,1.005446
2021-03-31,34405.7380,2022767324.8994,34495.7571,2.279239,1.331433,1.009473
2021-04-01,33391.1360,1964385504.8688,34148.1534,2.226033,1.273468,0.993922
2021-04-02,34460.8420,2034266395.6917,34620.9385,2.716777,1.282219,1.011197
2021-04-03,34709.8590,1985741314.6295,34960.4577,2.316649,1.262450,0.997903
