date,oi,oi_value,ls_global,ls_top,taker_ls
2021-01-01 00:00:00,34973.4820,1013296964.9674,1.592250,1.201863,1.180279
2021-01-01 01:00:00,35949.5900,1057237390.7472,1.587820,1.207784,1.135969
2021-01-01 02:00:00,36103.5400,1055343299.8108,1.607171,1.219075,1.000187
2021-01-01 03:00:00,36145.1280,1060341185.6645,1.625559,1.221097,1.249814
2021-01-01 04:00:00,36179.7220,1057663961.6074,1.638142,1.215123,0.990628
2021-01-01 05:00:00,36505.5190,1065268280.0494,1.650907,1.213546,0.949918
2021-01-01 06:00:00,36699.3510,1068874166.2822,1.642738,1.210591,1.097492
2021-01-01 07:00:00,36766.3290,1069623691.1059,1.643993,1.208367,1.040752
2021-01-01 08:00:00,36885.2180,1071712918.8163,1.620089,1.204777,0.829696
2021-01-01 09:00:00,36833.9080,1076539104.0298,1.577989,1.206170,1.096347
2021-01-01 10:00:00,37558.3520,1099821221.6160,1.549252,1.206351,1.189310
2021-01-01 11:00:00,37961.3580,1112009671.3410,1.561160,1.207758,0.965351
2021-01-01 12:00:00,38279.8270,1117710083.4751,1.573534,1.209891,1.310070
2021-01-01 13:00:00,38714.1430,1141070716.4592,1.552841,1.205425,1.108525
2021-01-01 14:00:00,38657.4100,1133899536.6941,1.542339,1.205832,0.893801
2021-01-01 15:00:00,37796.2280,1104912629.5775,1.672356,1.203199,1.205612
2021-01-01 16:00:00,37779.6760,1108672250.3895,1.649766,1.196914,1.268668
2021-01-01 17:00:00,37629.9590,1096441425.1641,1.679717,1.199109,0.731043
2021-01-01 18:00:00,36792.4190,1068313262.7900,1.639074,1.197097,0.824039
2021-01-01 19:00:00,36780.9430,1069526927.0275,1.622561,1.193366,1.126414
2021-01-01 20:00:00,36272.9930,1061243291.5607,1.608610,1.188674,1.091690
2021-01-01 21:00:00,36269.5650,1059433993.6500,1.610015,1.186792,1.131605
2021-01-01 22:00:00,36078.9680,1057207928.5065,1.583710,1.187488,1.015233
2021-01-01 23:00:00,36157.8090,1059723551.9366,1.574279,1.185750,0.995857
2021-01-02 00:00:00,36009.2610,1050966651.9958,1.542429,1.168898,1.056706
2021-01-02 01:00:00,35527.6330,1043269298.3213,1.493441,1.177575,0.957496
2021-01-02 02:00:00,35780.8470,1051001588.6969,1.419956,1.169057,1.041434
2021-01-02 03:00:00,35532.7530,1043023149.9032,1.422319,1.175351,1.101693
2021-01-02 04:00:00,35483.6170,1041926026.4689,1.415116,1.178173,1.159056
2021-01-02 05:00:00,36770.6700,1085377130.2335,1.311863,1.178170,1.365316
2021-01-02 06:00:00,37866.0150,1126761816.8214,1.295290,1.180456,1.336944
2021-01-02 07:00:00,38049.3670,1134369626.8320,1.255438,1.188478,1.186631
2021-01-02 08:00:00,38608.5160,1152471279.6186,1.196554,1.194254,1.022443
2021-01-02 09:00:00,38916.4990,1160464950.2530,1.183222,1.190436,0.954227
2021-01-02 10:00:00,38945.8660,1158220731.1114,1.209854,1.197715,0.938176
2021-01-02 11:00:00,38819.5240,1155094734.5772,1.238047,1.201557,1.072389
2021-01-02 12:00:00,39386.6040,1210445718.0074,1.196258,1.227323,1.207182
2021-01-02 13:00:00,39389.9890,1231134500.0949,1.288362,1.238452,1.049408
2021-01-02 14:00:00,40137.0790,1253443822.1279,1.260434,1.245174,0.974971
2021-01-02 15:00:00,40284.0990,1278380028.9169,1.330527,1.229318,1.162258
2021-01-02 16:00:00,37496.6710,1216192899.9170,1.410334,1.236629,1.072383
2021-01-02 17:00:00,37279.7160,1227473862.5229,1.454807,1.252587,1.066209
2021-01-02 18:00:00,37432.0310,1241872026.0307,1.463241,1.252160,1.039924
2021-01-02 19:00:00,37014.9090,1231378865.4914,1.495969,1.266738,1.008053
2021-01-02 20:00:00,37157.6110,1176363389.6775,1.289764,1.260400,0.812098
2021-01-02 21:00:00,35746.8640,1137643946.8000,1.525908,1.241845,1.062320
2021-01-02 22:00:00,35096.0430,1130348713.9207,1.574926,1.216087,1.010986
2021-01-02 23:00:00,34853.3230,1119706916.5620,1.578061,1.201787,1.067546
2021-01-03 00:00:00,35001.5900,1136765386.9582,1.603915,1.181294,1.084746
2021-01-03 01:00:00,34993.0870,1146601318.7770,1.617472,1.173175,1.097024
2021-01-03 02:00:00,35096.4720,1151971851.4207,1.589159,1.172370,1.080288
2021-01-03 03:00:00,34525.8180,1128648990.4200,1.532056,1.177641,0.944864
2021-01-03 04:00:00,34794.6000,1149139457.4388,1.520055,1.179655,1.168574
2021-01-03 05:00:00,35197.5820,1194455287.4290,1.639533,1.211306,1.086501
2021-01-03 06:00:00,35854.2550,1216732429.0951,1.685717,1.226118,1.041208
2021-01-03 07:00:00,34351.2260,1182243600.8910,1.812273,1.211920,1.061628
2021-01-03 08:00:00,33889.1890,1169810409.4424,1.755331,1.206856,0.963280
2021-01-03 09:00:00,34247.3740,1169408864.8564,1.763997,1.199333,0.887337
2021-01-03 10:00:00,33464.4540,1137871315.1645,1.781121,1.199726,0.963806
2021-01-03 11:00:00,33445.7920,1149516889.6580,1.888406,1.205690,1.152716
2021-01-03 12:00:00,33831.1760,1152560503.9680,1.889063,1.214111,0.941041
2021-01-03 13:00:00,34113.8860,1159756819.0653,1.955989,1.199980,1.064586
2021-01-03 14:00:00,34329.1040,1152660048.0530,1.945937,1.199996,0.897800
2021-01-03 15:00:00,34775.1620,1168373806.3663,1.926347,1.204401,0.983662
2021-01-03 16:00:00,34614.2240,1143486918.1761,1.903806,1.188841,0.839773
2021-01-03 17:00:00,34789.3400,1155273084.6024,1.864413,1.203745,1.030218
2021-01-03 18:00:00,35251.8620,1158066590.2608,1.826839,1.205241,0.991980
2021-01-03 19:00:00,35955.2070,1177760366.8817,1.821462,1.189710,1.025527
2021-01-03 20:00:00,35112.0240,1181015750.0556,1.959821,1.192021,1.256481
