date,funding_sum,funding_mean,funding_n
2020-01-01,0.0000122900,0.0000040967,3
2020-01-02,0.0002504700,0.0000834900,3
2020-01-03,0.0003000000,0.0001000000,3
2020-01-04,0.0003000000,0.0001000000,3
2020-01-05,0.0003000000,0.0001000000,3
2020-01-06,0.0003000000,0.0001000000,3
2020-01-07,0.0003000000,0.0001000000,3
2020-01-08,0.0003000000,0.0001000000,3
2020-01-09,0.0003000000,0.0001000000,3
2020-01-10,0.0003000000,0.0001000000,3
2020-01-11,0.0003000000,0.0001000000,3
2020-01-12,0.0003000000,0.0001000000,3
2020-01-13,0.0003000000,0.0001000000,3
2020-01-14,0.0003000000,0.0001000000,3
2020-01-15,0.0006363100,0.0002121033,3
2020-01-16,0.0009781100,0.0003260367,3
2020-01-17,0.0004909900,0.0001636633,3
2020-01-18,0.0003101400,0.0001033800,3
2020-01-19,0.0008836500,0.0002945500,3
2020-01-20,0.0014014600,0.0004671533,3
2020-01-21,0.0005708700,0.0001902900,3
2020-01-22,0.0003535000,0.0001178333,3
2020-01-23,0.0004199400,0.0001399800,3
2020-01-24,0.0006078500,0.0002026167,3
2020-01-25,0.0004779300,0.0001593100,3
2020-01-26,0.0006834600,0.0002278200,3
2020-01-27,0.0003000000,0.0001000000,3
2020-01-28,0.0015116700,0.0005038900,3
2020-01-29,0.0028395700,0.0009465233,3
2020-01-30,0.0015889100,0.0005296367,3
2020-01-31,0.0030834700,0.0010278233,3
2020-02-01,0.0019564600,0.0006521533,3
2020-02-02,0.0006132800,0.0002044267,3
2020-02-03,0.0003000000,0.0001000000,3
2020-02-04,0.0009067800,0.0003022600,3
2020-02-05,0.0011551500,0.0003850500,3
2020-02-06,0.0024321700,0.0008107233,3
2020-02-07,0.0009340600,0.0003113533,3
2020-02-08,0.0008378200,0.0002792733,3
2020-02-09,0.0029651400,0.0009883800,3
2020-02-10,0.0061982300,0.0020660767,3
2020-02-11,0.0037653400,0.0012551133,3
2020-02-12,0.0080064400,0.0026688133,3
2020-02-13,0.0043993200,0.0014664400,3
2020-02-14,0.0031325300,0.0010441767,3
2020-02-15,0.0030031100,0.0010010367,3
2020-02-16,0.0029666300,0.0009888767,3
2020-02-17,0.0020593400,0.0006864467,3
2020-02-18,0.0006024600,0.0002008200,3
2020-02-19,0.0023570100,0.0007856700,3
2020-02-20,0.0008334100,0.0002778033,3
2020-02-21,0.0018084900,0.0006028300,3
2020-02-22,0.0015391200,0.0005130400,3
2020-02-23,0.0016878500,0.0005626167,3
2020-02-24,0.0011222400,0.0003740800,3
2020-02-25,0.0012405100,0.0004135033,3
2020-02-26,0.0019842800,0.0006614267,3
2020-02-27,0.0004616800,0.0001538933,3
2020-02-28,0.0006827600,0.0002275867,3
2020-02-29,0.0014422000,0.0004807333,3
2020-03-01,0.0006683000,0.0002227667,3
2020-03-02,0.0004038500,0.0001346167,3
2020-03-03,0.0005140300,0.0001713433,3
2020-03-04,0.0009398400,0.0003132800,3
2020-03-05,0.0010493300,0.0003497767,3
2020-03-06,0.0005738000,0.0001912667,3
2020-03-07,0.0003373900,0.0001124633,3
2020-03-08,0.0011610000,0.0003870000,3
2020-03-09,0.0003762000,0.0001254000,3
2020-03-10,0.0006042700,0.0002014233,3
2020-03-11,0.0006355100,0.0002118367,3
2020-03-12,0.0010091700,0.0003363900,3
2020-03-13,-0.0029976900,-0.0009992300,3
2020-03-14,0.0003000000,0.0001000000,3
2020-03-15,0.0003000000,0.0001000000,3
2020-03-16,-0.0000293200,-0.0000097733,3
2020-03-17,0.0003000000,0.0001000000,3
2020-03-18,0.0003000000,0.0001000000,3
2020-03-19,0.0003000000,0.0001000000,3
2020-03-20,0.0003000000,0.0001000000,3
2020-03-21,0.0003000000,0.0001000000,3
2020-03-22,0.0003000000,0.0001000000,3
2020-03-23,0.0003000000,0.0001000000,3
2020-03-24,0.0003000000,0.0001000000,3
2020-03-25,0.0003000000,0.0001000000,3
2020-03-26,0.0003000000,0.0001000000,3
2020-03-27,0.0003000000,0.0001000000,3
2020-03-28,0.0001728500,0.0000576167,3
2020-03-29,0.0003000000,0.0001000000,3
2020-03-30,0.0001009000,0.0000336333,3
2020-03-31,0.0003000000,0.0001000000,3
2020-04-01,0.0001263200,0.0000421067,3
2020-04-02,0.0001483000,0.0000494333,3
2020-04-03,0.0003000000,0.0001000000,3
2020-04-04,0.0002488100,0.0000829367,3
2020-04-05,0.0002355400,0.0000785133,3
2020-04-06,0.0002256700,0.0000752233,3
2020-04-07,-0.0001417500,-0.0000472500,3
2020-04-08,0.0003000000,0.0001000000,3
2020-04-09,0.0003000000,0.0001000000,3
2020-04-10,0.0003000000,0.0001000000,3
2020-04-11,0.0001857700,0.0000619233,3
2020-04-12,0.0002198500,0.0000732833,3
2020-04-13,0.0003000000,0.0001000000,3
2020-04-14,0.0003000000,0.0001000000,3
2020-04-15,0.0003000000,0.0001000000,3
2020-04-16,0.0001747400,0.0000582467,3
2020-04-17,0.0003000000,0.0001000000,3
2020-04-18,0.0002945400,0.0000981800,3
2020-04-19,0.0003000000,0.0001000000,3
2020-04-20,0.0003000000,0.0001000000,3
2020-04-21,0.0003000000,0.0001000000,3
2020-04-22,0.0003000000,0.0001000000,3
2020-04-23,0.0003000000,0.0001000000,3
2020-04-24,0.0003000000,0.0001000000,3
2020-04-25,0.0003000000,0.0001000000,3
2020-04-26,0.0003000000,0.0001000000,3
2020-04-27,0.0003000000,0.0001000000,3
2020-04-28,0.0003000000,0.0001000000,3
2020-04-29,0.0003000000,0.0001000000,3
2020-04-30,0.0006054300,0.0002018100,3
2020-05-01,0.0006317100,0.0002105700,3
2020-05-02,0.0011457800,0.0003819267,3
2020-05-03,0.0008452700,0.0002817567,3
2020-05-04,0.0004861200,0.0001620400,3
2020-05-05,0.0006474700,0.0002158233,3
2020-05-06,0.0009129700,0.0003043233,3
2020-05-07,0.0003011100,0.0001003700,3
2020-05-08,0.0011768100,0.0003922700,3
2020-05-09,0.0007958100,0.0002652700,3
2020-05-10,0.0003521500,0.0001173833,3
2020-05-11,0.0003000000,0.0001000000,3
2020-05-12,0.0003000000,0.0001000000,3
2020-05-13,0.0003000000,0.0001000000,3
2020-05-14,0.0003000000,0.0001000000,3
2020-05-15,0.0001052900,0.0000350967,3
2020-05-16,0.0001453000,0.0000484333,3
2020-05-17,0.0001594300,0.0000531433,3
2020-05-18,0.0003000000,0.0001000000,3
2020-05-19,0.0003000000,0.0001000000,3
2020-05-20,0.0003000000,0.0001000000,3
2020-05-21,0.0003000000,0.0001000000,3
2020-05-22,0.0002351800,0.0000783933,3
2020-05-23,0.0003000000,0.0001000000,3
2020-05-24,0.0003000000,0.0001000000,3
2020-05-25,0.0003000000,0.0001000000,3
2020-05-26,0.0003000000,0.0001000000,3
2020-05-27,0.0003000000,0.0001000000,3
2020-05-28,0.0003000000,0.0001000000,3
2020-05-29,0.0003000000,0.0001000000,3
2020-05-30,0.0003000000,0.0001000000,3
2020-05-31,0.0003000000,0.0001000000,3
2020-06-01,0.0003000000,0.0001000000,3
2020-06-02,0.0006298600,0.0002099533,3
2020-06-03,0.0003000000,0.0001000000,3
2020-06-04,0.0003000000,0.0001000000,3
2020-06-05,0.0003000000,0.0001000000,3
2020-06-06,0.0003000000,0.0001000000,3
2020-06-07,0.0003000000,0.0001000000,3
2020-06-08,0.0005475100,0.0001825033,3
2020-06-09,0.0004390200,0.0001463400,3
2020-06-10,0.0003000000,0.0001000000,3
2020-06-11,0.0004345700,0.0001448567,3
2020-06-12,0.0003000000,0.0001000000,3
2020-06-13,0.0003000000,0.0001000000,3
2020-06-14,0.0003000000,0.0001000000,3
2020-06-15,0.0003000000,0.0001000000,3
2020-06-16,0.0003000000,0.0001000000,3
2020-06-17,0.0003000000,0.0001000000,3
2020-06-18,0.0003000000,0.0001000000,3
2020-06-19,0.0003000000,0.0001000000,3
2020-06-20,0.0003000000,0.0001000000,3
2020-06-21,0.0003000000,0.0001000000,3
2020-06-22,0.0003000000,0.0001000000,3
2020-06-23,0.0003000000,0.0001000000,3
2020-06-24,0.0003000000,0.0001000000,3
2020-06-25,0.0003000000,0.0001000000,3
2020-06-26,0.0003000000,0.0001000000,3
2020-06-27,0.0003000000,0.0001000000,3
2020-06-28,0.0003000000,0.0001000000,3
2020-06-29,0.0003000000,0.0001000000,3
2020-06-30,0.0003000000,0.0001000000,3
2020-07-01,0.0003000000,0.0001000000,3
2020-07-02,0.0003000000,0.0001000000,3
2020-07-03,0.0003000000,0.0001000000,3
2020-07-04,0.0003000000,0.0001000000,3
2020-07-05,0.0003000000,0.0001000000,3
2020-07-06,0.0003000000,0.0001000000,3
2020-07-07,0.0003000000,0.0001000000,3
2020-07-08,0.0003000000,0.0001000000,3
2020-07-09,0.0003296700,0.0001098900,3
2020-07-10,0.0003000000,0.0001000000,3
2020-07-11,0.0003000000,0.0001000000,3
2020-07-12,0.0003000000,0.0001000000,3
2020-07-13,0.0003289900,0.0001096633,3
2020-07-14,0.0003000000,0.0001000000,3
2020-07-15,0.0003000000,0.0001000000,3
2020-07-16,0.0003000000,0.0001000000,3
2020-07-17,0.0003000000,0.0001000000,3
2020-07-18,0.0003000000,0.0001000000,3
2020-07-19,0.0003000000,0.0001000000,3
2020-07-20,0.0003000000,0.0001000000,3
2020-07-21,0.0003000000,0.0001000000,3
2020-07-22,0.0003000000,0.0001000000,3
2020-07-23,0.0018220700,0.0006073567,3
2020-07-24,0.0019539800,0.0006513267,3
2020-07-25,0.0007522400,0.0002507467,3
2020-07-26,0.0022289400,0.0007429800,3
2020-07-27,0.0023781500,0.0007927167,3
2020-07-28,0.0034861800,0.0011620600,3
2020-07-29,0.0025363600,0.0008454533,3
2020-07-30,0.0019180800,0.0006393600,3
2020-07-31,0.0024016400,0.0008005467,3
2020-08-01,0.0013310700,0.0004436900,3
2020-08-02,0.0029150800,0.0009716933,3
2020-08-03,0.0013419200,0.0004473067,3
