date,oi,oi_value,oi_mean,ls_global,ls_top,taker_ls
2021-12-01,353363.3690,1617955458.5414,364540.8950,2.162213,0.982401,1.059594
2021-12-02,348572.2720,1571245287.6035,353026.1465,2.713491,0.972576,1.063684
2021-12-03,335977.2380,1422286746.3812,347643.6738,3.618481,0.950736,1.040681
2021-12-04,289072.5390,1183843376.5777,301091.3749,2.574704,0.943853,1.056388
2021-12-05,266118.9240,1114729506.5899,284281.2644,1.946163,0.966803,1.073327
2021-12-06,272000.7910,1182241858.3061,274518.2843,1.657031,0.933471,1.081206
2021-12-07,273947.4750,1178914699.6277,282531.4285,1.565116,0.942622,1.152735
2021-12-08,283032.8960,1253748675.0011,276740.5554,1.414838,0.935941,1.141696
2021-12-09,289989.6500,1199344994.2630,294167.9583,2.004134,0.914903,1.098432
2021-12-10,288084.5510,1120758375.5194,291507.6305,2.362117,0.930290,1.059727
2021-12-11,285803.8080,1167642883.4698,288336.3649,2.136806,0.923620,1.087097
2021-12-12,298823.7670,1235056031.8109,294311.2463,1.953004,0.920287,1.129011
2021-12-13,307292.5580,1164506659.0201,300770.3689,2.372705,0.898468,1.021541
2021-12-14,298607.3330,1152715319.3871,308357.5866,2.233515,0.914528,1.106973
2021-12-15,309784.0200,1243914535.4348,311123.7309,1.672013,0.951619,1.106662
2021-12-16,320551.3090,1270625853.4944,317551.3101,1.856425,0.933588,1.097034
2021-12-17,302258.2180,1173080383.6666,313567.9990,2.159504,0.894593,1.129085
2021-12-18,309883.7260,1227272590.8728,308509.1497,1.944727,0.913718,1.130615
2021-12-19,311444.9660,1221144567.1894,314213.4835,2.066664,0.918273,1.123434
2021-12-20,319684.5730,1256488245.7192,324663.5934,1.845365,0.909366,1.044234
2021-12-21,333119.0920,1338852975.3856,330803.7915,1.702680,0.962797,1.111036
2021-12-22,323277.3220,1286874352.5206,332286.7521,1.961352,0.951823,1.149135
2021-12-23,376558.5200,1546518310.4696,344280.5129,1.772093,0.987904,1.069191
2021-12-24,410056.2530,1656863209.2466,394330.2037,2.183779,0.957870,1.075962
2021-12-25,445583.6050,1829254373.6065,433733.1152,2.080613,0.963115,1.137479
2021-12-26,437704.3700,1781374220.2015,441447.4291,2.296071,0.933389,1.105747
2021-12-27,448067.0120,1808680742.6496,445204.8315,2.601095,0.926917,1.107431
2021-12-28,476109.7790,1807705042.0694,472444.5784,3.183736,0.903339,1.163070
2021-12-29,476487.0600,1723658166.5665,480876.7046,3.251879,0.902699,1.142501
2021-12-30,471640.0280,1750114651.8996,472243.9587,3.055244,0.901964,1.095016
2022-01-30,517909.3580,1348698117.3550,507313.5162,1.298521,0.943127,1.205837
2022-05-27,545574.4610,939829622.2825,542866.7133,2.351105,1.026045,1.046945
2022-05-28,563666.6260,1011127740.3838,552299.6505,1.692718,0.947097,1.119404
2022-05-29,556197.9400,1007307841.2164,559571.9899,1.637590,1.000116,1.154779
2022-05-30,554011.2430,1105119467.0867,559053.5229,1.439953,1.014784,1.114824
2022-05-31,542374.1500,1054312855.7711,555786.3376,1.668948,1.117210,1.047650
2022-06-01,529850.3810,965970229.6011,550432.6413,1.979893,1.034727,1.051254
2022-06-02,562671.3590,1031444121.6101,550906.8833,2.054902,0.973204,1.079201
2022-06-03,578612.7360,1027593729.0434,583652.4288,2.350985,1.014702,1.095990
2022-06-04,573541.4790,1033441449.3509,580417.7553,2.293031,0.991208,1.106269
2022-06-05,580402.6090,1047121758.9752,579442.6385,1.996757,0.979328,1.175675
2022-06-06,558300.8370,1037308912.4451,577366.7804,1.710984,1.008834,1.101380
2022-06-07,538157.4760,976509094.3810,562107.4138,1.888667,0.988301,1.053001
2022-06-08,556689.2330,998416572.4932,552371.1640,2.004629,0.978951,1.054438
2022-06-09,569390.2060,1017630122.1921,564702.2566,2.282355,0.967828,1.083850
2022-06-10,685565.6360,1140340228.1744,618869.6864,2.734163,0.956205,1.049096
2022-06-11,723629.9400,1106673378.1837,723050.3289,2.231828,1.030416,1.024278
2022-06-12,703365.8080,1013052132.9720,722102.5580,1.872393,1.137591,1.109709
2022-06-13,749758.1010,904313235.9401,767773.0665,1.430088,1.177207,1.051901
2022-06-14,763416.4200,927749438.5692,766403.1316,1.418188,1.073627,1.068143
2022-06-15,745762.4150,915338344.4470,797986.3857,1.343216,1.149906,1.038679
2022-06-16,811542.7690,867044178.9719,785793.6067,1.692745,1.204645,1.057588
2022-06-17,809484.6190,879537417.9283,816345.3042,1.787540,1.114591,1.055333
2022-06-18,918689.1590,913458540.1239,909780.5450,1.259705,1.164790,1.047095
2022-06-19,869457.9860,980509322.0673,920475.1072,1.055359,1.206598,1.119124
2022-06-20,815400.0710,925635873.7913,847655.1767,1.083616,1.161230,1.070461
2022-06-21,845726.8630,951814840.6947,859304.3412,1.138363,1.131096,1.093791
2022-06-22,832063.6090,872828078.9341,836925.5424,1.248304,1.192213,1.047999
2022-06-23,878662.3060,1004311979.2639,850532.0308,0.981182,1.181917,1.096637
2022-06-24,999104.7020,1196463249.1613,934434.9775,0.819308,1.245209,1.114700
2022-06-27,894247.2980,1093986374.4813,898841.5617,0.970346,1.090958,1.110791
2022-09-03,1023143.7800,1582096000.1343,1015713.0757,1.497848,1.032753,0.944736
2022-12-14,1104725.4030,1445232993.5120,1108401.7794,0.914423,1.181127,1.033967
2022-12-15,1106328.7890,1400114398.9190,1105937.6349,1.462444,1.178612,1.039225
2022-12-16,1042036.0920,1212475047.5015,1078006.3993,1.851075,1.117901,1.075283
2022-12-17,1043901.2540,1239384864.5635,1048278.8638,1.873958,1.083220,1.083781
