date,oi,oi_value,ls_global,ls_top,taker_ls
2021-12-01 00:00:00,375008.5130,1771753970.2644,1.788931,0.981734,1.167212
2021-12-01 01:00:00,373018.1580,1752772788.1728,1.743754,0.977233,0.866640
2021-12-01 02:00:00,373124.2780,1769377713.7327,1.699364,0.973953,1.141569
2021-12-01 03:00:00,372280.4140,1765544392.9904,1.674750,0.975248,1.014757
2021-12-01 04:00:00,372479.7990,1762931435.0947,1.666586,0.972941,0.933851
2021-12-01 05:00:00,370464.1620,1747606894.0559,1.674958,0.971947,0.965322
2021-12-01 06:00:00,370421.7360,1751850332.9342,1.652581,0.972083,1.193459
2021-12-01 07:00:00,373486.1650,1778088758.6260,1.605378,0.968452,1.102780
2021-12-01 08:00:00,367643.9590,1733338326.3765,1.669635,0.968729,0.917356
2021-12-01 09:00:00,365850.9460,1733843407.8200,1.680636,0.969633,1.206448
2021-12-01 10:00:00,365461.7460,1723406711.8947,1.663642,0.970206,0.900822
2021-12-01 11:00:00,363451.8550,1696560548.4731,1.689578,0.972210,1.025118
2021-12-01 12:00:00,364526.1040,1703040441.0607,1.713817,0.985524,1.083814
2021-12-01 13:00:00,363191.4650,1702681538.9811,1.759791,0.986567,1.165837
2021-12-01 14:00:00,366106.2270,1735064526.0001,1.678369,0.983506,1.123510
2021-12-01 15:00:00,363717.2340,1720138826.2732,1.659302,0.984463,0.960908
2021-12-01 16:00:00,363045.6300,1707156726.8616,1.673249,0.979103,0.978139
2021-12-01 17:00:00,359881.9100,1684546040.7853,1.769153,0.981301,0.967735
2021-12-01 18:00:00,358338.4330,1666342232.9830,1.744948,0.974880,0.920962
2021-12-01 19:00:00,354331.2310,1648857720.0219,1.870623,0.970482,1.024392
2021-12-01 20:00:00,350632.6190,1607604975.8745,1.909961,0.975135,1.118896
2021-12-01 21:00:00,351831.3290,1603492391.7972,2.012234,0.981144,1.019859
2021-12-01 22:00:00,354856.1910,1622161203.0421,2.098891,0.985998,1.328819
2021-12-01 23:00:00,353363.3690,1617955458.5414,2.162213,0.982401,1.302040
2021-12-02 00:00:00,355039.6160,1619472894.0048,2.156355,0.994940,0.990877
2021-12-02 01:00:00,354809.0480,1633707617.2446,2.216705,0.996339,1.124474
2021-12-02 02:00:00,353335.4350,1620191370.3577,2.276104,0.995736,1.113637
2021-12-02 03:00:00,349609.0400,1576366184.8176,2.337385,0.973563,1.050772
2021-12-02 04:00:00,350425.2350,1580768266.2308,2.348068,0.985479,1.060269
2021-12-02 05:00:00,352894.7780,1599601061.7000,2.377787,0.982323,1.145395
2021-12-02 06:00:00,353887.2990,1602892619.2348,2.336783,0.982080,0.891052
2021-12-02 07:00:00,354264.2240,1615508629.0003,2.303365,0.973242,1.188134
2021-12-02 08:00:00,358638.9890,1645715419.9434,2.352741,0.964098,1.116195
2021-12-02 09:00:00,357836.6730,1638776900.8202,2.388368,0.968680,1.000552
2021-12-02 10:00:00,355643.3800,1620978724.2189,2.378519,0.968981,1.223620
2021-12-02 11:00:00,354132.5610,1607446915.7323,2.496082,0.977326,1.033896
2021-12-02 12:00:00,355858.2370,1616948657.2806,2.520000,0.973540,1.025952
2021-12-02 13:00:00,353796.4540,1596527127.5662,2.557503,0.975097,1.008232
2021-12-02 14:00:00,355044.8900,1631097527.3534,2.492387,0.974373,1.156333
2021-12-02 15:00:00,347452.3070,1571721357.8529,2.588953,0.974700,0.892146
2021-12-02 16:00:00,353406.1080,1584859161.4965,2.745941,0.985481,1.034702
2021-12-02 17:00:00,352884.2600,1585987866.6631,2.811146,0.985718,1.061902
2021-12-02 18:00:00,354217.6600,1586044139.1858,2.856200,0.986332,1.005423
2021-12-02 19:00:00,352767.5650,1582621126.8595,2.831039,0.980155,0.926687
2021-12-02 20:00:00,350848.4270,1592571179.8384,2.826330,0.973119,1.381317
2021-12-02 21:00:00,350392.7670,1594980867.5287,2.773625,0.969719,1.191341
2021-12-02 22:00:00,348166.3920,1581027067.7359,2.743597,0.971752,1.174143
2021-12-02 23:00:00,348572.2720,1571245287.6035,2.713491,0.972576,0.731374
2021-12-03 00:00:00,348168.7110,1576647190.8924,2.726542,0.965061,1.053031
2021-12-03 01:00:00,350260.2790,1582035722.3702,2.729124,0.964648,0.986019
2021-12-03 02:00:00,350594.1630,1569764329.1827,2.754260,0.969862,1.013599
2021-12-03 03:00:00,344455.2060,1550661605.8831,2.784238,0.978136,1.013866
2021-12-03 04:00:00,345206.5830,1565555724.4215,2.719062,0.968307,0.978151
2021-12-03 05:00:00,347036.5240,1585908474.3190,2.623798,0.966045,1.029989
2021-12-03 06:00:00,345660.2110,1584676627.6779,2.549620,0.965234,1.103349
2021-12-03 07:00:00,345875.7110,1578178987.9364,2.532405,0.972486,1.027188
2021-12-03 08:00:00,346161.5470,1577342088.9112,2.555398,0.967638,0.948865
2021-12-03 09:00:00,346301.4870,1583096495.4476,2.505093,0.966172,1.099610
2021-12-03 10:00:00,349290.9350,1597471104.4543,2.484879,0.968620,0.953856
2021-12-03 11:00:00,348562.5830,1606556315.6795,2.440883,0.971494,1.232776
2021-12-03 12:00:00,348990.7080,1603639701.9830,2.402522,0.979814,1.008008
2021-12-03 13:00:00,347786.4920,1598211089.6070,2.412337,0.975855,1.147147
2021-12-03 14:00:00,344379.2560,1561760618.9440,2.462440,0.978182,0.991477
2021-12-03 15:00:00,347386.1000,1552534484.2590,2.817983,0.985760,1.005482
2021-12-03 16:00:00,356744.2460,1555722932.7389,2.999305,0.995081,1.033618
2021-12-03 17:00:00,359653.2650,1568148969.9534,3.184257,0.995312,1.049616
2021-12-03 18:00:00,358951.8190,1554745961.2257,3.287054,0.993866,1.007587
2021-12-03 19:00:00,353911.2140,1498768121.0274,3.242682,0.980123,0.859841
2021-12-03 20:00:00,338495.0080,1420263755.0094,3.357535,0.958642,1.045780
2021-12-03 21:00:00,336355.4670,1417577740.6515,3.586418,0.951461,0.979063
2021-12-03 22:00:00,334160.6420,1406142000.6687,3.539409,0.948995,1.021638
2021-12-03 23:00:00,335977.2380,1422286746.3812,3.618481,0.950736,1.386783
2021-12-04 00:00:00,339515.2650,1412794621.8622,3.469661,0.951705,0.940310
2021-12-04 01:00:00,339827.9760,1417061632.6154,3.494721,0.955189,1.121511
2021-12-04 02:00:00,341655.4250,1422678801.4035,3.555899,0.959998,1.189305
2021-12-04 03:00:00,346761.2400,1416946366.4172,3.607638,0.961189,0.975806
2021-12-04 04:00:00,341977.1970,1372374460.7586,3.461949,0.953411,0.986885
2021-12-04 05:00:00,287687.3730,1106633666.2057,2.684343,0.926423,0.921653
2021-12-04 06:00:00,294633.5580,1146849362.0922,2.696795,0.927979,1.050637
2021-12-04 07:00:00,290366.4770,1121001606.8975,2.632889,0.927932,1.054238
2021-12-04 08:00:00,291811.0970,1152968989.1348,2.634554,0.899434,1.122482
2021-12-04 09:00:00,290756.0990,1139566794.5039,2.635177,0.907227,0.953589
2021-12-04 10:00:00,289301.6500,1130238010.9924,2.579089,0.917537,1.024631
2021-12-04 11:00:00,284968.3360,1104024327.3312,2.456770,0.911693,0.924719
2021-12-04 12:00:00,283879.0740,1109521235.6643,2.446702,0.917338,1.001613
2021-12-04 13:00:00,287264.7480,1134147078.9313,2.416523,0.925364,1.086900
2021-12-04 14:00:00,287128.0960,1152177759.9231,2.536175,0.916520,1.155178
2021-12-04 15:00:00,290162.8840,1170926203.7224,2.620793,0.924159,0.998091
2021-12-04 16:00:00,291699.4160,1166818008.4445,2.576496,0.931802,0.946707
2021-12-04 17:00:00,288498.1640,1160541564.3228,2.639971,0.926932,1.261895
2021-12-04 18:00:00,288309.3170,1167315308.4807,2.640281,0.931560,0.992589
2021-12-04 19:00:00,290137.7430,1195828820.1714,2.730998,0.928074,1.202069
2021-12-04 20:00:00,294166.4810,1207133062.7662,2.656870,0.941389,0.901565
2021-12-04 21:00:00,290335.2570,1178470808.1630,2.539003,0.949215,0.937895
2021-12-04 22:00:00,287722.3220,1175778116.1319,2.618041,0.942908,1.394298
2021-12-04 23:00:00,289072.5390,1183843376.5777,2.574704,0.943853,1.175056
2021-12-05 00:00:00,289743.4010,1186967387.0417,2.534263,0.945549,1.069547
2021-12-05 01:00:00,289653.4420,1192700185.0546,2.476129,0.945164,1.127093
2021-12-05 02:00:00,289747.1020,1184766906.5424,2.448261,0.946219,0.949610
2021-12-05 03:00:00,288803.1420,1200996151.8182,2.393324,0.949650,1.150655
2021-12-05 04:00:00,288634.0640,1202028104.8906,2.371944,0.954430,1.200375
2021-12-05 05:00:00,292674.5510,1228771574.7948,2.364091,0.964872,1.183505
2021-12-05 06:00:00,297778.1480,1257609053.0641,2.371777,0.969146,1.089392
2021-12-05 07:00:00,301732.6580,1262639579.8496,2.251364,0.975819,0.974783
2021-12-05 08:00:00,299594.4630,1261415522.9598,2.228975,0.970885,1.131024
2021-12-05 09:00:00,295153.0460,1236315915.1297,2.165335,0.966790,1.004385
2021-12-05 10:00:00,293276.4840,1229990423.1458,2.114452,0.964904,0.973892
2021-12-05 11:00:00,292289.1270,1224174090.3752,2.142097,0.962546,1.024746
2021-12-05 12:00:00,289357.3370,1222520280.9581,2.087825,0.961520,1.074622
2021-12-05 13:00:00,288990.6740,1218917978.8877,2.113727,0.963991,1.087700
2021-12-05 14:00:00,282397.2420,1173392275.9873,2.052506,0.965600,1.020387
2021-12-05 15:00:00,274460.7900,1114050704.7792,1.881435,0.968937,0.971540
2021-12-05 16:00:00,271929.8760,1119592015.6561,1.993356,0.955478,1.073008
2021-12-05 17:00:00,276579.2690,1149952632.5683,2.027533,0.959302,1.121341
2021-12-05 18:00:00,274767.8850,1139739934.6588,1.960469,0.961352,1.174725
2021-12-05 19:00:00,271337.4640,1122121564.7373,1.931507,0.961840,1.128096
2021-12-05 20:00:00,269858.6860,1119487170.1761,1.925706,0.967308,1.172984
2021-12-05 21:00:00,267451.7270,1109434536.4085,1.908516,0.965596,1.022765
2021-12-05 22:00:00,266425.7160,1104551437.9678,1.905282,0.966107,0.968365
2021-12-05 23:00:00,266118.9240,1114729506.5899,1.946163,0.966803,1.065310
2021-12-06 00:00:00,269415.1680,1111573501.3016,1.924251,0.952685,1.023555
2021-12-06 01:00:00,271104.4350,1121349014.0888,1.922712,0.958640,1.083676
2021-12-06 02:00:00,272127.3120,1130400526.4093,1.875389,0.958744,1.115533
2021-12-06 03:00:00,270860.5350,1133064668.3531,1.814536,0.960058,1.188704
2021-12-06 04:00:00,269470.2950,1121850524.8333,1.780293,0.961029,1.067203
2021-12-06 05:00:00,267099.3560,1108649296.9492,1.767903,0.956316,1.045513
2021-12-06 06:00:00,271348.0520,1109316883.3229,1.810748,0.959004,0.897924
2021-12-06 07:00:00,271453.0350,1103459301.8054,1.939874,0.953048,1.142247
2021-12-06 08:00:00,270162.5400,1090338127.2143,2.045862,0.956951,1.075338
2021-12-06 09:00:00,274855.6570,1092209030.1696,2.046405,0.957026,0.954774
2021-12-06 10:00:00,281105.7070,1110147816.4022,2.062605,0.950220,1.002578
2021-12-06 11:00:00,280885.2040,1139398698.7850,2.067637,0.933886,1.185748
2021-12-06 12:00:00,275646.3720,1119134849.1867,1.980158,0.929487,0.985888
2021-12-06 13:00:00,273762.8980,1103595374.3288,1.915161,0.933486,1.051975
2021-12-06 14:00:00,280658.9060,1124563750.6842,1.956950,0.926731,1.096480
2021-12-06 15:00:00,281527.4620,1155535098.3282,1.932488,0.921717,1.218540
2021-12-06 16:00:00,281915.7750,1172265373.5758,1.828736,0.932084,1.138428
2021-12-06 17:00:00,278246.3020,1159432863.1929,1.737151,0.935314,0.996102
2021-12-06 18:00:00,277482.0540,1160162683.4701,1.694852,0.937731,1.005115
2021-12-06 19:00:00,275943.3190,1156025902.8858,1.670351,0.935378,1.042750
2021-12-06 20:00:00,273987.7250,1154167432.0364,1.647473,0.938248,1.294745
2021-12-06 21:00:00,279113.5970,1210962196.1829,1.728500,0.918407,1.232881
2021-12-06 22:00:00,271763.5560,1182078388.0847,1.711133,0.931449,1.040558
2021-12-06 23:00:00,272000.7910,1182241858.3061,1.657031,0.933471,1.062694
2021-12-07 00:00:00,272958.5120,1187561593.6845,1.623315,0.935699,1.111329
2021-12-07 01:00:00,275917.5600,1198478272.7916,1.604543,0.933194,1.115906
2021-12-07 02:00:00,274816.6860,1187903369.7356,1.579503,0.942025,0.985120
2021-12-07 03:00:00,276198.8560,1198718896.6404,1.578442,0.940577,1.248612
2021-12-07 04:00:00,278101.7840,1205575154.6666,1.557378,0.938773,1.138824
2021-12-07 05:00:00,276954.3490,1205515812.1532,1.548738,0.943930,1.256825
2021-12-07 06:00:00,277459.3230,1206748084.4197,1.531448,0.947018,1.045263
2021-12-07 07:00:00,281070.2420,1221773969.4214,1.503978,0.948852,1.208756
2021-12-07 08:00:00,286082.5360,1261203989.2588,1.538823,0.943814,1.287034
2021-12-07 09:00:00,288562.5600,1265055377.4144,1.525381,0.940506,0.963711
2021-12-07 10:00:00,289659.9530,1273682234.4641,1.546524,0.943573,1.352786
2021-12-07 11:00:00,289695.9660,1275828969.6304,1.532163,0.940707,1.190378
2021-12-07 12:00:00,289088.0850,1259513423.1323,1.461737,0.946541,1.109777
2021-12-07 13:00:00,290141.1370,1260347780.4607,1.487367,0.950622,1.053433
2021-12-07 14:00:00,289247.1090,1269030231.4858,1.508152,0.949285,1.250083
2021-12-07 15:00:00,291587.8420,1282998168.3137,1.447670,0.939476,1.147481
2021-12-07 16:00:00,290339.5690,1261925156.6937,1.491246,0.939829,1.007004
