date,close,volume_usd
2019-06-22,2.192,38927680.213289
2019-06-23,1.934,19416437.126695
2019-06-24,1.416,24965033.771686
2019-06-25,1.54,43527814.392291
2019-06-26,1.595,29200118.84022
2019-06-27,1.419,10320383.382138
2019-06-28,1.454,8631449.822561
2019-06-29,1.51,7825809.845958
2019-06-30,1.449,7781872.693554
2019-07-01,1.352,6476205.962575
2019-07-02,1.14,10206672.399728
2019-07-03,1.11,6087342.258387
2019-07-04,1.01,5249847.320434
2019-07-05,1.127,9731240.973711
2019-07-06,1.031,4589534.285388
2019-07-07,1.065,3155557.803153
2019-07-08,1.049,2046889.462248
2019-07-09,1.044,3876326.996917
2019-07-10,1.029,7248714.834329
2019-07-11,0.859,4500582.853336
2019-07-12,0.885,6041329.526692
2019-07-13,0.939,8906817.192181
2019-07-14,0.819,8137205.931774
2019-07-15,0.807,4070162.768848
2019-07-16,0.644,4977446.548463
2019-07-17,0.674,6073365.729118
2019-07-18,0.692,4281025.587034
2019-07-19,0.67,1786745.107734
2019-07-20,0.708,3774145.658367
2019-07-21,0.692,2476130.820474
2019-07-22,0.642,1793822.444591
2019-07-23,0.58,2947385.329573
2019-07-24,0.597,2264930.975791
2019-07-25,0.61,1367277.251588
2019-07-26,0.651,5495266.571458
2019-07-27,0.578,2927269.212651
2019-07-28,0.577,1333259.961198
2019-07-29,0.571,1632366.060118
2019-07-30,0.568,1501111.773035
2019-07-31,0.567,1526647.397273
2019-08-01,0.562,3139487.323194
2019-08-02,0.808,35139073.240862
2019-08-03,0.742,8516440.724485
2019-08-04,0.705,4246033.551464
2019-08-05,0.793,7738361.909611
2019-08-06,0.702,5550542.610622
2019-08-07,0.691,3506605.280258
2019-08-08,0.726,6317186.015736
2019-08-09,0.81,11475251.312664
2019-08-10,0.809,8680839.040503
2019-08-11,0.819,6259692.296966
2019-08-12,0.803,3893192.968052
2019-08-13,0.809,3250301.802731
2019-08-14,0.718,6171532.72077
2019-08-15,0.709,4828987.204017
2019-08-16,0.677,3195408.779283
2019-08-17,0.683,2198411.683743
2019-08-18,0.676,1458360.950264
2019-08-19,0.655,2405380.231161
2019-08-20,0.625,4381613.258166
2019-08-21,0.567,3643190.20014
2019-08-22,0.572,2636864.121788
2019-08-23,0.576,1854450.433786
2019-08-24,0.577,1281741.211738
2019-08-25,0.538,1667321.905261
2019-08-26,0.522,1319043.842045
2019-08-27,0.523,1691307.555101
2019-08-28,0.436,2961407.824701
2019-08-29,0.401,2798141.882717
2019-08-30,0.418,1760389.510335
2019-08-31,0.408,1313010.472682
2019-09-01,0.388,1047996.580504
2019-09-02,0.393,1476854.115424
2019-09-03,0.368,1164956.589929
2019-09-04,0.346,1316673.345417
2019-09-05,0.388,2589588.50415
2019-09-06,0.346,3315231.322475
2019-09-07,0.369,2165212.79624
2019-09-08,0.385,1148285.229297
2019-09-09,0.368,1616064.560736
2019-09-10,0.365,1777585.589654
2019-09-11,0.349,1139469.437658
2019-09-12,0.319,1787637.047579
2019-09-13,0.318,1105465.105517
2019-09-14,0.321,827695.592777
2019-09-15,0.328,1411470.82401
2019-09-16,0.322,973840.345772
2019-09-17,0.319,1974409.298684
2019-09-18,0.34,2997343.620925
2019-09-19,0.322,1720544.417307
2019-09-20,0.321,894603.276199
2019-09-21,0.315,693588.855411
2019-09-22,0.3,1460369.403394
2019-09-23,0.267,1415631.121053
2019-09-24,0.193,2618412.200085
2019-09-25,0.205,1621772.123819
2019-09-26,0.189,4454557.041681
2019-09-27,0.189,1657860.136438
2019-09-28,0.204,1223009.259642
2019-09-29,0.225,4424227.611588
2019-09-30,0.25,2860746.899926
2019-10-01,0.231,3506568.957014
2019-10-02,0.233,1784992.993713
2019-10-03,0.23,1211349.845174
2019-10-04,0.229,1169229.741085
2019-10-05,0.224,657900.528579
2019-10-06,0.213,1463464.868539
2019-10-07,0.219,1061263.984271
2019-10-08,0.226,1133311.112271
2019-10-09,0.239,2075065.629915
2019-10-10,0.253,2799601.940557
2019-10-11,0.253,3316393.333479
2019-10-12,0.257,1937380.901924
2019-10-13,0.251,2304738.231481
2019-10-14,0.267,1046701.049301
2019-10-15,0.248,1275095.810212
2019-10-16,0.228,1740136.391032
2019-10-17,0.237,911764.369518
2019-10-18,0.226,1117363.508397
2019-10-19,0.223,368800.588525
2019-10-20,0.224,677687.639048
2019-10-21,0.2262,665644.54664
2019-10-22,0.2183,748899.0950155
2019-10-23,0.2,1200679.0527264
2019-10-24,0.201,506895.669285
2019-10-25,0.2131,1412391.429812
2019-10-26,0.2156,1986311.3558681
2019-10-27,0.2181,1391140.312914
2019-10-28,0.2301,1865816.958112
2019-10-29,0.2262,1219940.263912
2019-10-30,0.211,1009333.375996
2019-10-31,0.221,1006955.950403
2019-11-01,0.2596,3459121.853451
2019-11-02,0.2584,3698039.418925
2019-11-03,0.2639,2326681.021548
2019-11-04,0.2577,1699906.064598
2019-11-05,0.2834,3378683.2036601
2019-11-06,0.2843,4009593.2331304
2019-11-07,0.2709,2078756.772506
2019-11-08,0.2556,2047958.318326
2019-11-09,0.2623,609836.470948
2019-11-10,0.2674,1124295.410231
2019-11-11,0.2826,2591828.023746
2019-11-12,0.2726,1558270.928322
2019-11-13,0.2873,1763309.550362
2019-11-14,0.277,1750062.917478
2019-11-15,0.2645,1140585.992596
2019-11-16,0.2721,572773.773627
2019-11-17,0.2674,694082.135614
2019-11-18,0.2489,1105460.99924
2019-11-19,0.2443,1038666.715276
2019-11-20,0.2539,722903.285101
2019-11-21,0.247,1734284.129075
2019-11-22,0.2224,1660917.255827
2019-11-23,0.2286,835713.24597
2019-11-24,0.2024,764023.215949
2019-11-25,0.2069,1034566.9767709
2019-11-26,0.2197,805920.063641
2019-11-27,0.2248,1453082.505742
2019-11-28,0.2865,6994751.021178
2019-11-29,0.2761,3166755.486578
2019-11-30,0.2648,2164877.667508
2019-12-01,0.2651,2255579.145938
2019-12-02,0.2742,2869548.424361
2019-12-03,0.2879,1768820.668285
2019-12-04,0.2625,2781212.785631
2019-12-05,0.2646,1023301.187213
2019-12-06,0.2679,1138592.149546
2019-12-07,0.2753,953609.631215
2019-12-08,0.2934,2866168.473821
2019-12-09,0.2944,6360034.5699253
2019-12-10,0.2747,3079201.841682
2019-12-11,0.2867,1721095.373337
2019-12-12,0.2769,1912568.493253
2019-12-13,0.2719,933990.458729
2019-12-14,0.2523,1326293.875293
2019-12-15,0.2661,1148114.509275
2019-12-16,0.2437,1896255.395111
2019-12-17,0.2187,1212919.460207
2019-12-18,0.2447,1317893.589563
2019-12-19,0.2297,1013723.946505
2019-12-20,0.2399,1234203.57138
2019-12-21,0.24,707002.883672
2019-12-22,0.247,1493416.171106
2019-12-23,0.2403,939843.288776
2019-12-24,0.2306,699368.690168
2019-12-25,0.2275,577973.376912
2019-12-26,0.2397,584983.91874
2019-12-27,0.2295,786058.399467
2019-12-28,0.2327,389931.205651
2019-12-29,0.2317,338410.470951
2019-12-30,0.2253,471904.129374
2019-12-31,0.2168,580576.873341
2020-01-01,0.2201,509488.407161
2020-01-02,0.2139,453966.008405
2020-01-03,0.2272,1095448.550979
2020-01-04,0.2352,674402.529245
2020-01-05,0.2294,524881.538343
2020-01-06,0.2427,705105.980103
2020-01-07,0.2303,853648.815506
2020-01-08,0.2284,639612.265461
2020-01-09,0.2222,597397.326769
2020-01-10,0.226,611640.175195
2020-01-11,0.2264,664850.033288
2020-01-12,0.2283,509175.227304
2020-01-13,0.227,382161.245072
2020-01-14,0.2296,1977976.091027
2020-01-15,0.2474,2475457.491799
2020-01-16,0.2414,1125469.444512
2020-01-17,0.262,2208887.577809
2020-01-18,0.2585,1429333.966163
2020-01-19,0.24,1239876.755668
2020-01-20,0.237,697810.84131
2020-01-21,0.2482,2010324.135267
2020-01-22,0.247,942019.472314
2020-01-23,0.2356,791979.599168
2020-01-24,0.2316,1216658.529366
2020-01-25,0.234,768587.878586
2020-01-26,0.2378,739490.092947
2020-01-27,0.24,984610.210263
2020-01-28,0.2437,1366191.651826
2020-01-29,0.2405,1158873.921059
2020-01-30,0.2415,1480500.461697
2020-01-31,0.2474,2835781.685268
2020-02-01,0.2475,1103393.9421
2020-02-02,0.2528,1849446.683646
2020-02-03,0.263,2098782.022623
2020-02-04,0.2804,3905990.547127
2020-02-05,0.2753,2305731.771593
2020-02-06,0.2884,2766285.618547
2020-02-07,0.3124,4541501.252321
2020-02-08,0.3074,2819303.933343
2020-02-09,0.3411,4122347.514887
2020-02-10,0.3585,7797763.0115568
2020-02-11,0.369,4727460.905341
2020-02-12,0.3876,5891527.2379974
2020-02-13,0.3494,5707762.254453
2020-02-14,0.3664,3756590.139813
2020-02-15,0.3349,4454231.23705
2020-02-16,0.345,4314538.407337
2020-02-17,0.3299,4159833.60137
2020-02-18,0.3495,2684105.109905
2020-02-19,0.3476,4179494.189489
2020-02-20,0.4342,12644492.7590342
2020-02-21,0.418,14199656.307013
2020-02-22,0.4495,8443208.346966
2020-02-23,0.4594,5256167.92529
2020-02-24,0.4946,15643729.935866
2020-02-25,0.3938,15492099.836455
2020-02-26,0.3629,10595465.301123
2020-02-27,0.3764,6006857.976724
2020-02-28,0.349,5742265.980158
2020-02-29,0.3236,4301106.08096
2020-03-01,0.3197,3843092.344126
2020-03-02,0.3742,5523792.722915
2020-03-03,0.3689,6124655.518237
2020-03-04,0.3929,6990736.323574
2020-03-05,0.379,4531887.13325
2020-03-06,0.3732,4075982.537308
2020-03-07,0.3375,4411975.384492
2020-03-08,0.2904,6135877.116185
2020-03-09,0.2787,5747880.118338
2020-03-10,0.282,3963213.543226
2020-03-11,0.2706,2663754.097211
2020-03-12,0.1343,5833840.507546
2020-03-13,0.1527,5152192.658222
2020-03-14,0.1473,1972648.560216
2020-03-15,0.1471,2707548.609357
2020-03-16,0.1266,2681360.531727
2020-03-17,0.139,2404003.761322
2020-03-18,0.1409,1810068.565511
2020-03-19,0.1574,2791005.480505
2020-03-20,0.1578,3669261.013269
2020-03-21,0.153,1999569.210528
2020-03-22,0.1455,3909919.535499
2020-03-23,0.1595,1792387.318176
2020-03-24,0.1598,2479647.845543
2020-03-25,0.1536,1983344.299209
2020-03-26,0.159,1822867.373628
2020-03-27,0.1538,2869888.472575
2020-03-28,0.1499,1600004.813028
2020-03-29,0.1441,1112080.156305
2020-03-30,0.1547,2249355.552645
2020-03-31,0.154,1347324.593323
2020-04-01,0.154,1804030.404462
2020-04-02,0.158,2760871.828172
2020-04-03,0.1586,1522354.530254
2020-04-04,0.1772,3370675.007228
2020-04-05,0.1718,3832641.00805
2020-04-06,0.1876,2768397.466747
2020-04-07,0.1856,3440297.088598
2020-04-08,0.2039,2364787.361177
2020-04-09,0.2,3272832.887838
2020-04-10,0.1786,3907033.596217
2020-04-11,0.1795,1759298.167555
2020-04-12,0.1773,2198315.905967
2020-04-13,0.1755,2679431.094696
2020-04-14,0.1783,1966422.307329
2020-04-15,0.1687,2399690.799225
2020-04-16,0.1857,3414683.194589
2020-04-17,0.1878,2174913.326088
2020-04-18,0.1987,2180594.520117
2020-04-19,0.1875,1993724.791568
2020-04-20,0.1765,2655210.310887
2020-04-21,0.1776,1336543.493841
2020-04-22,0.1872,1234544.324253
2020-04-23,0.1952,2275451.353818
2020-04-24,0.209,4142080.37225
2020-04-25,0.2108,2997029.458889
2020-04-26,0.2257,5262824.763429
2020-04-27,0.2168,2913351.599899
2020-04-28,0.2154,2199635.155635
2020-04-29,0.2302,4188936.78334
2020-04-30,0.2093,6640791.808686
2020-05-01,0.2139,2457762.745978
2020-05-02,0.2188,2137099.065321
2020-05-03,0.2055,5490821.245434
2020-05-04,0.2055,3342731.030704
2020-05-05,0.2085,3324476.954726
2020-05-06,0.1976,2640780.435805
2020-05-07,0.204,2447901.041776
2020-05-08,0.2181,3478687.218517
2020-05-09,0.2136,2879417.636794
2020-05-10,0.1919,3757172.276252
2020-05-11,0.1865,2914924.041973
2020-05-12,0.1933,1762791.762415
2020-05-13,0.1954,1821353.797247
2020-05-14,0.197,3640697.043272
2020-05-15,0.192,2496457.800931
2020-05-16,0.198,1746649.155575
2020-05-17,0.1979,1992940.450189
2020-05-18,0.2014,1755726.681266
2020-05-19,0.2008,2093956.983933
2020-05-20,0.2091,3928888.622834
2020-05-21,0.1915,3451807.794821
2020-05-22,0.2044,2710111.53625
2020-05-23,0.2014,2104224.54998
2020-05-24,0.1972,3611033.323521
2020-05-25,0.2118,2787878.116473
2020-05-26,0.2186,4739093.360658
2020-05-27,0.22,3006143.61677
2020-05-28,0.227,2354000.569601
2020-05-29,0.2281,2571166.616658
2020-05-30,0.2438,3759502.422704
2020-05-31,0.2332,6457977.041883
2020-06-01,0.2499,5886081.354618
2020-06-02,0.2458,2809660.158328
2020-06-03,0.2421,1437460.693588
2020-06-04,0.2421,2374673.0244
2020-06-05,0.2321,1642284.204125
2020-06-06,0.2373,1259494.583794
2020-06-07,0.232,1088448.732875
2020-06-08,0.2339,1268741.726
2020-06-09,0.2423,1495891.482597
2020-06-10,0.247,1806967.839301
2020-06-11,0.2305,3056688.104207
2020-06-12,0.2317,1646984.353911
2020-06-13,0.2347,791114.144551
2020-06-14,0.2329,2953801.679507
2020-06-15,0.2267,3573430.180786
2020-06-16,0.2357,2780655.61702
2020-06-17,0.2446,3857924.484388
2020-06-18,0.2403,3595868.980379
2020-06-19,0.2317,1977088.275126
2020-06-20,0.2306,1508689.307393
2020-06-21,0.2321,1753354.151226
2020-06-22,0.2415,2012108.831874
2020-06-23,0.25,2884337.001973
2020-06-24,0.2391,5830723.79081
2020-06-25,0.2343,2874569.987444
2020-06-26,0.2227,2350045.528656
2020-06-27,0.2052,3018365.263315
2020-06-28,0.208,1466273.886336
2020-06-29,0.214,1439067.977877
2020-06-30,0.2082,793877.32637
2020-07-01,0.2142,1616919.089558
2020-07-02,0.2046,2271481.456325
2020-07-03,0.2034,1296537.061603
2020-07-04,0.2177,1348485.272427
2020-07-05,0.2154,1734804.60347
2020-07-06,0.229,3052519.057084
2020-07-07,0.2329,3055210.778194
2020-07-08,0.2468,4535374.64387
2020-07-09,0.2417,5167684.763943
2020-07-10,0.2501,3727918.550461
2020-07-11,0.2794,15574048.344888
2020-07-12,0.279,5237235.665859
2020-07-13,0.2653,7953536.33859
2020-07-14,0.2722,6310015.352738
2020-07-15,0.2881,7304913.583231
2020-07-16,0.3546,38563597.7174
2020-07-17,0.346,29049479.054203
2020-07-18,0.3558,9289834.116132
2020-07-19,0.3883,10224232.50463
2020-07-20,0.3567,16238190.701025
2020-07-21,0.3463,12158957.222919
2020-07-22,0.3456,6970514.474763
2020-07-23,0.3291,8009410.150331
2020-07-24,0.3123,6560509.861224
2020-07-25,0.319,7241375.244776
2020-07-26,0.3211,7319326.360892
2020-07-27,0.2873,12061388.118482
2020-07-28,0.3143,7917297.431161
2020-07-29,0.308,6866590.663213
2020-07-30,0.3347,14778885.648419
2020-07-31,0.3271,5984170.814201
2020-08-01,0.3279,5618233.050427
2020-08-02,0.3016,7629726.561291
2020-08-03,0.3096,4149805.275477
2020-08-04,0.3266,4222852.419308
2020-08-05,0.3355,7453998.965273
2020-08-06,0.3638,12088326.729379
2020-08-07,0.3689,10323986.551297
2020-08-08,0.4524,20872030.998096
2020-08-09,0.4245,19595204.225977
2020-08-10,0.4686,21523367.929827
2020-08-11,0.4366,23317785.665327
2020-08-12,0.5233,27385441.336754
2020-08-13,0.6699,72703646.3903698
2020-08-14,0.6388,62984269.3794692
2020-08-15,0.6342,38020362.837879
2020-08-16,0.6291,29177468.321719
2020-08-17,0.5872,34739487.395061
2020-08-18,0.5567,29531135.03793
2020-08-19,0.5965,43765075.58298
2020-08-20,0.6264,35803007.927082
2020-08-21,0.5323,35700529.898975
2020-08-22,0.5636,25844334.540565
2020-08-23,0.6132,25201843.704134
2020-08-24,0.6293,26743222.110422
2020-08-25,0.5609,27072999.456102
2020-08-26,0.55,17008751.606034
2020-08-27,0.5225,17901595.304617
2020-08-28,0.5337,12838646.015686
2020-08-29,0.5334,8542540.925242
2020-08-30,0.5181,10411955.51927
2020-08-31,0.5021,8066823.499965
2020-09-01,0.5168,20556049.329928
2020-09-02,0.4638,19085945.826326
2020-09-03,0.3486,18409481.277591
2020-09-04,0.374,13197252.150067
2020-09-05,0.3415,11362557.948279
2020-09-06,0.3757,8916292.699393
2020-09-07,0.3722,8213134.850927
2020-09-08,0.349,6294270.481345
2020-09-09,0.413,14901644.664106
2020-09-10,0.4131,13315904.167887
2020-09-11,0.411,8098980.60188
2020-09-12,0.409,6879282.883932
2020-09-13,0.3774,7126688.204875
