date,close,volume_usd
2019-04-29,3.777,6385624.011681
2019-04-30,3.917,2497699.912331
2019-05-01,4.392,7428961.209108
2019-05-02,4.61,5041541.354905
2019-05-03,5.333,13822797.787285
2019-05-04,5.243,18198056.247087
2019-05-05,4.837,7652043.951899
2019-05-06,4.763,6558220.970533
2019-05-07,4.596,5326560.006073
2019-05-08,4.313,4565487.34664
2019-05-09,3.88,7171406.387957
2019-05-10,3.797,5404000.988684
2019-05-11,3.902,5652623.791888
2019-05-12,3.75,3187735.941642
2019-05-13,3.897,4070693.873098
2019-05-14,4.0,4765340.493813
2019-05-15,4.547,6934141.167833
2019-05-16,4.278,7287284.965834
2019-05-17,4.413,12422339.763761
2019-05-18,4.684,8791708.71698
2019-05-19,4.852,8654246.083242
2019-05-20,4.673,7173289.533783
2019-05-21,4.743,5441442.097375
2019-05-22,4.306,4502530.392546
2019-05-23,4.337,4121770.882865
2019-05-24,4.454,9307135.124716
2019-05-25,4.385,2711262.274397
2019-05-26,4.481,2405739.019274
2019-05-27,4.655,3021798.990361
2019-05-28,4.778,3026974.884803
2019-05-29,4.696,2796012.971685
2019-05-30,5.926,34435758.017495
2019-05-31,5.782,19427539.042429
2019-06-01,5.771,15565352.435135
2019-06-02,6.388,8810730.73041
2019-06-03,6.506,31103810.856329
2019-06-04,5.93,21202786.917736
2019-06-05,6.14,13071905.691624
2019-06-06,5.987,10480803.466179
2019-06-07,6.279,11597347.99047
2019-06-08,6.096,4467665.475805
2019-06-09,5.826,3831694.895083
2019-06-10,6.081,4922402.818726
2019-06-11,5.943,3320519.145848
2019-06-12,6.124,4883600.61721
2019-06-13,6.266,4926071.389404
2019-06-14,6.222,3570364.797926
2019-06-15,6.167,2305681.50881
2019-06-16,6.692,3877982.858987
2019-06-17,7.009,6407062.733585
2019-06-18,6.571,3400367.636168
2019-06-19,6.628,2586622.328688
2019-06-20,6.478,2613424.524761
2019-06-21,6.523,2465425.920591
2019-06-22,6.758,4484512.919411
2019-06-23,6.838,4470395.153289
2019-06-24,6.665,2578050.90027
2019-06-25,6.581,3082539.869319
2019-06-26,6.35,4891708.260376
2019-06-27,5.558,6130384.3257
2019-06-28,5.928,1997965.403236
2019-06-29,6.058,2543698.538904
2019-06-30,5.443,3600353.49196
2019-07-01,5.475,2815214.232278
2019-07-02,5.337,2605001.248019
2019-07-03,5.574,1994449.777876
2019-07-04,5.478,1866330.399188
2019-07-05,5.353,995808.174883
2019-07-06,5.288,819375.432884
2019-07-07,5.398,787648.142589
2019-07-08,5.175,1432949.639088
2019-07-09,4.984,2193362.473038
2019-07-10,4.483,5195418.852055
