date,close,volume_usd
2019-12-20,2.155,2516781.129071
2019-12-21,2.149,240745.962501
2019-12-22,2.275,2888429.883339
2019-12-23,2.191,3706522.474264
2019-12-24,2.161,295282.659987
2019-12-25,2.141,87178.678217
2019-12-26,2.141,192903.625269
2019-12-27,2.149,392115.195207
2019-12-28,2.181,124794.037147
2019-12-29,2.21,104915.066423
2019-12-30,2.167,127394.608983
2019-12-31,2.144,193828.051256
2020-01-01,2.144,79400.850673
2020-01-02,2.142,295884.302017
2020-01-03,2.204,335306.355254
2020-01-04,2.164,81572.450482
2020-01-05,2.139,102826.682077
2020-01-06,2.183,229102.807691
2020-01-07,2.166,1155855.253457
2020-01-08,2.176,2015752.144251
2020-01-09,2.161,549839.670446
2020-01-10,2.228,694686.240521
2020-01-11,2.147,540569.241125
2020-01-12,2.183,392479.057257
2020-01-13,2.155,208127.904768
2020-01-14,2.176,1211009.695827
2020-01-15,2.367,2579539.194175
2020-01-16,2.4,940407.942751
2020-01-17,2.386,1210130.059702
2020-01-18,2.377,702499.013911
2020-01-19,2.284,929637.66692
2020-01-20,2.266,455607.852918
2020-01-21,2.351,739563.2647
2020-01-22,2.315,551051.343767
2020-01-23,2.236,1718380.392943
2020-01-24,2.256,223238.100801
2020-01-25,2.224,159492.132897
2020-01-26,2.284,709095.672827
2020-01-27,2.372,848650.402164
2020-01-28,2.446,1541980.299942
2020-01-29,2.348,1402019.875797
2020-01-30,2.404,1412202.275061
2020-01-31,2.367,558238.55099
2020-02-01,2.351,169584.15082
2020-02-02,2.318,415371.94404
2020-02-03,2.302,1563176.294515
2020-02-04,2.248,768687.349285
2020-02-05,2.342,1148673.21871
2020-02-06,2.413,864947.083716
2020-02-07,2.388,1450981.624842
2020-02-08,2.382,285907.763351
2020-02-09,2.409,824805.202094
2020-02-10,2.492,2103504.653188
2020-02-11,2.557,870463.60146
2020-02-12,2.578,1256081.782101
2020-02-13,2.52,1530483.59258
2020-02-14,2.562,314416.521047
2020-02-15,2.522,784320.777775
2020-02-16,2.952,10507292.022872
2020-02-17,2.728,4596785.048543
2020-02-18,2.85,435443.289808
2020-02-19,2.652,445386.285472
2020-02-20,2.628,847805.397058
2020-02-21,2.688,334316.391036
2020-02-22,2.673,152800.608377
2020-02-23,2.756,130752.91626
2020-02-24,2.634,392049.94455
2020-02-25,2.46,1385268.488036
2020-02-26,2.285,3355961.727608
2020-02-27,2.448,1466432.092714
2020-02-28,2.617,624588.38279
2020-02-29,2.576,319918.106927
2020-03-01,2.556,267103.66729
2020-03-02,2.678,553759.90474
2020-03-03,2.639,232602.0305
2020-03-04,2.633,208190.607932
2020-03-05,2.726,333294.805344
2020-03-06,2.804,197864.28281
2020-03-07,2.672,131451.293273
2020-03-08,2.426,314196.759308
2020-03-09,2.409,309005.108364
2020-03-10,2.45,488185.294916
2020-03-11,2.383,152327.042211
2020-03-12,2.085,1847364.488329
2020-03-13,2.053,7343150.678902
2020-03-14,2.03,6731763.491048
2020-03-15,2.091,3307644.665286
2020-03-16,2.016,3405049.913862
2020-03-17,2.107,3657218.701832
2020-03-18,2.118,4688410.177842
2020-03-19,2.423,2721419.524612
2020-03-20,2.378,3658494.707575
2020-03-21,2.383,2648018.400634
2020-03-22,2.235,4765195.661432
2020-03-23,2.448,2309902.124264
2020-03-24,2.491,520394.01213
2020-03-25,2.458,396064.060022
2020-03-26,2.504,187780.91309
2020-03-27,2.35,173635.372001
2020-03-28,2.317,245986.276766
2020-03-29,2.184,133072.015719
2020-03-30,2.395,395510.020321
2020-03-31,2.402,228019.670961
2020-04-01,2.445,289254.262882
2020-04-02,2.486,308302.303799
2020-04-03,2.485,147949.540614
2020-04-04,2.532,174115.989486
2020-04-05,2.518,76865.1059
2020-04-06,2.783,221058.844628
2020-04-07,2.669,432047.037269
2020-04-08,2.742,173169.162459
2020-04-09,2.713,59040.932827
2020-04-10,2.516,162955.942708
2020-04-11,2.537,49374.123057
2020-04-12,2.555,88004.541914
2020-04-13,2.568,222926.696581
2020-04-14,2.637,97185.397797
2020-04-15,2.507,125800.203832
2020-04-16,2.709,495553.507298
2020-04-17,2.697,280096.308917
2020-04-18,2.795,257238.490327
2020-04-19,2.738,113900.109629
2020-04-20,2.58,411449.074441
2020-04-21,2.576,399064.785022
2020-04-22,2.718,188643.058067
2020-04-23,2.779,471050.173018
2020-04-24,2.78,355974.276623
2020-04-25,2.831,141997.097834
2020-04-26,2.856,112681.462765
2020-04-27,2.887,220858.507268
2020-04-28,2.886,221210.892875
2020-04-29,3.141,749629.452743
2020-04-30,3.093,801517.861295
2020-05-01,3.189,294611.015065
2020-05-02,3.198,259165.966902
2020-05-03,3.152,123965.846917
2020-05-04,3.13,163765.949928
2020-05-05,3.158,152998.446502
2020-05-06,3.019,667821.630561
2020-05-07,3.176,490173.039021
2020-05-08,3.107,358303.848358
2020-05-09,3.021,213907.821243
2020-05-10,2.757,749485.92378
2020-05-11,2.72,926772.799556
2020-05-12,2.808,358517.598994
2020-05-13,2.914,197538.194474
2020-05-14,3.0,208265.188172
2020-05-15,2.869,544798.72713
2020-05-16,2.918,66572.971822
2020-05-17,2.985,158854.89004
2020-05-18,3.031,225152.329074
