date,close,volume_usd
2019-01-18,2.5235,220852.857068
2019-01-19,2.5718,258188.763063
2019-01-20,2.5071,214963.954758
2019-01-21,2.5001,166317.629689
2019-01-22,2.7684,875154.788886
2019-01-23,3.0269,3681805.350204
2019-01-24,2.7189,2411497.725037
2019-01-25,2.7792,1197320.132783
2019-01-26,2.677,514666.802339
2019-01-27,2.6726,1547549.177246
2019-01-28,2.879,3455918.642038
2019-01-29,2.9478,4290526.722805
2019-01-30,2.8729,4335479.560371
2019-01-31,2.773,1032630.511046
2019-02-01,2.7135,753159.068965
2019-02-02,2.7138,366178.927172
2019-02-03,2.8211,1704395.093874
2019-02-04,2.7277,990812.001696
2019-02-05,2.6662,1232220.559319
2019-02-06,2.504,949383.436129
2019-02-07,2.4885,781969.60096
2019-02-08,2.6465,1294184.416903
2019-02-09,2.6,700878.503486
2019-02-10,2.72,1122421.606746
2019-02-11,2.8726,1308949.840247
2019-02-12,2.8492,1342289.63898
2019-02-13,2.7317,499196.227347
2019-02-14,2.6419,475358.386349
2019-02-15,2.6565,328494.550608
2019-02-16,2.6081,276818.783126
2019-02-17,2.6094,391914.431695
2019-02-18,2.74,974536.256488
2019-02-19,2.7862,1284079.082608
2019-02-20,2.7849,480627.673499
2019-02-21,2.8509,769613.867939
2019-02-22,2.9022,553188.383514
2019-02-23,2.8894,712428.371498
2019-02-24,2.637,1109917.944582
2019-02-25,2.6794,482863.953416
2019-02-26,2.6435,261874.646734
2019-02-27,2.6473,446376.210717
2019-02-28,2.6495,626026.033608
2019-03-01,2.6815,275335.562904
2019-03-02,2.6606,168608.170125
2019-03-03,2.652,172443.004901
2019-03-04,2.5858,245755.680603
2019-03-05,2.623,306582.798678
2019-03-06,2.5489,418143.782589
2019-03-07,2.5659,451297.061478
2019-03-08,2.647,1645415.965938
2019-03-09,2.7213,706501.555742
2019-03-10,2.7304,456719.090173
2019-03-11,2.6338,397468.008881
2019-03-12,2.781,498469.373143
2019-03-13,2.6802,409929.202732
2019-03-14,2.72,340665.114556
2019-03-15,2.7759,410776.573206
2019-03-16,2.7843,342635.029019
