date,close,volume_usd
2022-03-17,8.5192,505832213.230446
2022-03-18,13.08,2459145655.621835
2022-03-19,11.7213,734595045.562778
2022-03-20,9.6302,527395362.930177
2022-03-21,10.5042,518479971.177842
2022-03-22,12.217,542632061.36755
2022-03-23,13.312,573366761.660718
2022-03-24,12.9032,518172089.476315
2022-03-25,12.3861,297144383.771346
2022-03-26,13.8287,348404537.087423
2022-03-27,14.27,297079741.779962
2022-03-28,14.0275,446662178.269453
2022-03-29,13.595,253385976.035729
2022-03-30,14.2103,297289230.903962
2022-03-31,12.7025,231458614.862075
2022-04-01,12.8185,167148629.297988
2022-04-02,12.4238,189390551.581371
2022-04-03,12.3824,125983129.875184
2022-04-04,11.9325,109986866.79567
2022-04-05,11.6299,148314399.995937
2022-04-06,10.6597,170910267.893966
2022-04-07,11.1757,96108060.721871
2022-04-08,10.7797,98846600.298199
2022-04-09,10.9757,45026805.797946
2022-04-10,12.0711,183761954.910185
2022-04-11,10.9404,241909871.62094
2022-04-12,11.5902,182228783.349149
2022-04-13,13.2423,308681374.663228
2022-04-14,12.2676,236022894.519186
2022-04-15,12.2346,103769062.537813
2022-04-16,11.6643,92687386.820211
2022-04-17,11.6991,91342474.02133
2022-04-18,11.8672,123837458.729532
2022-04-19,13.3739,244217303.285752
2022-04-20,16.7269,1054942404.450496
2022-04-21,14.2885,534575898.150466
2022-04-22,15.3693,359744085.596368
2022-04-23,16.6921,827069881.505113
2022-04-24,16.8171,529153171.979526
2022-04-25,19.3348,743749083.203394
2022-04-26,18.0798,656319005.048019
2022-04-27,19.4162,528346070.43623
2022-04-28,23.7068,1305736553.054028
2022-04-29,19.1292,1942293334.049803
2022-04-30,19.9793,1603888031.477508
2022-05-01,15.871,1073978680.617162
2022-05-02,15.0509,711682532.399524
2022-05-03,14.1575,438344360.431835
2022-05-04,15.57,1006860795.054451
2022-05-05,13.6918,611885759.714138
2022-05-06,13.2622,354146788.669
2022-05-07,12.3488,259674479.806579
2022-05-08,11.2365,230674441.737353
2022-05-09,8.0053,511258013.359078
2022-05-10,9.0316,539572761.376404
2022-05-11,5.7149,519754528.33071
2022-05-12,7.8213,655825380.95296
2022-05-13,8.5479,557963144.226732
2022-05-14,8.6653,255362394.553716
2022-05-15,9.1318,202187391.671638
2022-05-16,8.0797,190941280.037172
2022-05-17,8.879,256160964.863553
2022-05-18,7.9807,191237591.972978
2022-05-19,8.0707,156095497.861994
2022-05-20,7.759,128177051.31494
2022-05-21,8.0305,76074278.716888
2022-05-22,8.0284,86472691.931517
2022-05-23,7.757,154166265.561407
2022-05-24,7.5102,117061513.677198
2022-05-25,7.3417,80699036.798537
2022-05-26,6.3763,130714392.707201
2022-05-27,6.0857,130468266.958052
2022-05-28,6.2314,61991052.540411
2022-05-29,6.2365,51362774.458901
2022-05-30,7.2224,126887336.621302
2022-05-31,6.7801,103085899.146481
2022-06-01,6.1082,88729227.538316
2022-06-02,6.3968,63849821.715645
2022-06-03,6.1309,45655173.902673
2022-06-04,6.1959,25783888.172945
2022-06-05,6.0991,25818407.301056
2022-06-06,6.3899,42071010.683894
2022-06-07,6.0323,51985080.570055
2022-06-08,5.705,40556009.140293
2022-06-09,5.7214,25288897.244632
2022-06-10,5.1765,39292496.311283
2022-06-11,4.7466,63660183.426304
2022-06-12,3.8887,81199703.050479
2022-06-13,3.4913,142508225.537346
2022-06-14,3.6163,96679579.638773
2022-06-15,4.1635,114429610.800895
2022-06-16,3.3778,86916604.974806
2022-06-17,3.7429,57906397.225839
2022-06-18,3.6197,80268842.914862
2022-06-19,4.1303,118001084.643848
2022-06-20,4.4922,151811398.904643
2022-06-21,4.3973,111360532.144801
2022-06-22,3.9818,72707617.476803
2022-06-23,4.3912,57162657.587494
2022-06-24,4.4871,45568904.118205
2022-06-25,4.556,42761362.906602
2022-06-26,4.6967,125598440.430812
2022-06-27,5.1193,76475580.685167
2022-06-28,4.9014,138450148.173894
2022-06-29,4.6982,80978884.061863
2022-06-30,4.6385,54300292.837518
2022-07-01,4.532,47069766.030182
2022-07-02,4.5202,24674391.081944
2022-07-03,4.5723,25394088.268657
2022-07-04,4.9226,37130738.60293
2022-07-05,4.9163,64741976.857931
2022-07-06,5.0227,67093157.325957
2022-07-07,5.1074,47699950.336542
2022-07-08,4.9457,40728199.355299
2022-07-09,5.012,21149108.673197
2022-07-10,4.7833,24626687.670031
2022-07-11,4.3366,29388209.360208
2022-07-12,4.2417,24304230.069636
2022-07-13,4.5813,61781760.669898
2022-07-14,4.6872,42600552.61649
2022-07-15,4.6028,34587413.291497
