date,close,volume_usd
2020-09-22,5.3193,166715315.42381
2020-09-23,3.535,53155220.869282
2020-09-24,4.6411,28912533.318708
2020-09-25,4.7134,17910676.096147
2020-09-26,4.52,8304263.783599
2020-09-27,4.6484,6626177.405459
2020-09-28,4.2021,5281810.912446
2020-09-29,4.1394,4361852.971104
2020-09-30,4.3293,3839122.432152
2020-10-01,4.15,6232982.476506
2020-10-02,3.9115,7189956.875417
2020-10-03,4.0168,2729615.964657
2020-10-04,3.964,2483672.142012
2020-10-05,3.9813,1883990.190668
2020-10-06,3.5424,3553458.059347
2020-10-07,3.442,3329160.072095
2020-10-08,3.9147,3300534.466961
2020-10-09,4.2491,2339370.568006
2020-10-10,4.023,3382885.218935
2020-10-11,4.096,2203938.047429
2020-10-12,4.41,3741254.639136
2020-10-13,4.4806,3461676.161877
2020-10-14,4.1596,2172949.680797
2020-10-15,4.1269,1255397.298573
2020-10-16,4.0433,2158279.790595
2020-10-17,4.1946,1059554.149781
2020-10-18,4.1195,576945.333937
2020-10-19,4.05,1117039.448789
2020-10-20,3.804,2274226.081624
2020-10-21,3.9585,1268228.482366
2020-10-22,4.3385,3221997.415673
2020-10-23,4.2568,1398999.508028
2020-10-24,4.1821,933338.630134
2020-10-25,4.1479,877035.365953
2020-10-26,4.148,2796040.229951
2020-10-27,4.1217,1224513.041938
2020-10-28,4.0596,1446616.723493
2020-10-29,3.7758,1634343.735545
2020-10-30,3.7224,3139921.291919
2020-10-31,3.6456,1268757.589933
2020-11-01,3.6814,1075668.74943
2020-11-02,3.617,1196807.923252
2020-11-03,3.323,2257175.605092
2020-11-04,3.1718,1474605.416323
2020-11-05,3.3348,2097043.285141
2020-11-06,3.5913,3199980.724892
2020-11-07,3.4126,3034525.372528
2020-11-08,3.4754,1902820.877792
2020-11-09,3.4125,1828111.811395
2020-11-10,3.5713,1695101.155963
2020-11-11,3.4842,1409573.371887
2020-11-12,3.4243,1075162.171426
2020-11-13,3.6745,2067256.881649
2020-11-14,3.4894,1558296.058204
2020-11-15,3.5453,1550016.688202
2020-11-16,3.7,2430446.327836
2020-11-17,3.8355,1866137.895597
2020-11-18,3.7445,1983620.132666
2020-11-19,3.6399,1423279.115023
2020-11-20,3.715,2485341.377474
2020-11-21,4.0281,2180220.32288
2020-11-22,3.8892,2174569.093522
2020-11-23,4.0747,2502647.908188
2020-11-24,4.26,3523674.519833
2020-11-25,4.0453,3224315.913486
2020-11-26,3.5447,3583580.90367
2020-11-27,3.5942,1370077.828289
2020-11-28,3.6271,921787.753979
2020-11-29,3.7013,812005.098106
2020-11-30,3.7024,993718.709584
2020-12-01,3.5543,1646953.635854
2020-12-02,3.74,957259.825327
2020-12-03,3.8123,826292.006775
2020-12-04,3.5348,1127218.753559
2020-12-05,3.6382,643773.565038
2020-12-06,3.6055,712690.464158
2020-12-07,3.3895,1099574.281482
2020-12-08,3.1172,3046976.727632
2020-12-09,3.2652,4695416.740569
2020-12-10,3.1499,3565572.16802
2020-12-11,3.2375,2337159.33137
2020-12-12,3.3332,2344805.084184
2020-12-13,3.3405,2004392.173293
2020-12-14,3.1433,3373687.913547
2020-12-15,3.3014,2892716.328494
2020-12-16,3.3409,2159766.50723
2020-12-17,3.2079,2081508.250754
2020-12-18,3.4081,2155784.994686
2020-12-19,3.4651,1766889.229229
2020-12-20,3.304,1410347.259046
2020-12-21,3.0892,2612957.516764
2020-12-22,3.0761,1491311.874349
2020-12-23,2.9465,9261933.812551
2020-12-24,3.1006,2685159.915499
2020-12-25,2.9517,2616820.76836
2020-12-26,2.9178,1389240.084468
2020-12-27,2.9026,1671043.032388
2020-12-28,2.9577,2756574.760554
2020-12-29,2.9248,2414759.350668
2020-12-30,2.9162,1281341.750208
2020-12-31,3.1859,2566199.289135
2021-01-01,3.6497,13320352.515239
2021-01-02,3.4956,6320501.643065
2021-01-03,3.4691,3561844.037362
2021-01-04,3.5999,4375481.173986
2021-01-05,4.2501,9663679.904451
2021-01-06,4.5788,13394273.806017
2021-01-07,4.4707,6716608.549059
2021-01-08,5.7,15644301.381812
2021-01-09,7.1877,26852840.184141
2021-01-10,6.5416,12731233.063482
2021-01-11,6.4713,12871574.114444
2021-01-12,7.72,23895551.546819
2021-01-13,8.4695,13278110.425443
2021-01-14,9.3177,23016359.067242
2021-01-15,9.3794,18532898.363093
2021-01-16,12.8421,46191726.755625
2021-01-17,13.1746,47561869.480933
2021-01-18,12.7035,17372363.7981
2021-01-19,11.7367,22865911.298781
2021-01-20,12.3768,18387717.907916
2021-01-21,11.3225,20754780.147084
2021-01-22,12.7097,27350603.585194
2021-01-23,12.8669,15877090.571723
2021-01-24,12.4801,11543137.090721
2021-01-25,12.1816,7718176.262325
2021-01-26,12.2088,10551226.821743
2021-01-27,11.158,8456320.862451
2021-01-28,11.9615,13283239.240784
2021-01-29,11.6158,17407967.391372
2021-01-30,12.0433,13368057.501101
2021-01-31,13.4704,67959449.929635
2021-02-01,13.2153,23742473.719995
2021-02-02,13.4703,9847127.110127
2021-02-03,14.84,17830836.174235
2021-02-04,15.2697,24697727.374142
2021-02-05,17.8973,27800463.324706
2021-02-06,18.1216,26968310.688584
2021-02-07,23.705,105018387.333709
2021-02-08,30.056,168277152.423643
2021-02-09,31.9194,80005562.719643
2021-02-10,54.6861,472308716.500874
2021-02-11,46.9673,209524738.667644
2021-02-12,48.2978,157898795.678381
2021-02-13,44.0832,88751004.95806
2021-02-14,39.1711,118907734.085721
2021-02-15,38.309,152184241.319979
2021-02-16,36.5402,95755859.45082
2021-02-17,37.3003,115394864.044632
2021-02-18,40.9656,128006105.539334
2021-02-19,38.7274,80331238.931351
2021-02-20,35.9985,131944005.24296
2021-02-21,36.1855,55466645.903334
2021-02-22,32.1502,95725194.549657
2021-02-23,27.5924,99042615.361096
2021-02-24,29.7396,94109405.711572
2021-02-25,26.7,72135109.505137
2021-02-26,25.9695,47862698.958584
2021-02-27,25.7616,44679099.439782
2021-02-28,23.9566,43076550.45175
2021-03-01,27.5107,58489792.632801
2021-03-02,27.1101,147909795.027557
2021-03-03,27.22,79768539.272512
2021-03-04,25.7781,82004242.211919
2021-03-05,24.2414,58170274.49893
2021-03-06,24.911,36645391.399763
2021-03-07,26.6863,80354448.919578
2021-03-08,25.6179,56470863.507841
2021-03-09,34.314,301188369.888395
2021-03-10,29.5858,268928184.723011
2021-03-11,30.8005,163000352.000262
2021-03-12,27.9561,117715647.478242
2021-03-13,30.8799,139834255.841717
2021-03-14,28.8423,88838731.688974
2021-03-15,28.9472,93338211.247749
2021-03-16,33.036,119092720.441898
2021-03-17,32.6789,119320054.289377
2021-03-18,33.2132,127302178.876503
2021-03-19,37.3166,165120789.347487
