date,close,volume_usd
2019-11-28,217.41,2530899.68916
2019-11-29,224.0,11222828.2936979
2019-11-30,217.45,10490318.8361089
2019-12-01,214.36,9973168.0498748
2019-12-02,213.67,9250970.9345502
2019-12-03,211.5,6066320.7000478
2019-12-04,207.47,19572146.7800238
2019-12-05,211.5,12250900.2046183
2019-12-06,212.84,7635950.9300331
2019-12-07,211.0,5746370.3154666
2019-12-08,212.58,4971614.7813878
2019-12-09,208.27,7690860.1222739
2019-12-10,206.54,5779008.5202788
2019-12-11,207.01,3149193.3312386
2019-12-12,206.79,5463102.0369853
2019-12-13,211.32,7015487.04537
2019-12-14,205.82,7112457.1944317
2019-12-15,206.88,7694355.5642057
2019-12-16,196.27,16478839.2806569
2019-12-17,176.45,23345354.3415362
2019-12-18,189.0,25986405.1707104
2019-12-19,185.96,10148526.0259586
2019-12-20,187.44,8094064.0457129
2019-12-21,186.21,3636819.9778983
2019-12-22,196.27,10424136.4467414
2019-12-23,189.61,11116931.2779339
2019-12-24,188.3,9589235.4622696
2019-12-25,185.34,5893381.4990916
2019-12-26,187.79,9082429.7598178
2019-12-27,203.21,23726165.9545951
2019-12-28,206.27,16871566.2495375
2019-12-29,212.34,16985762.5516026
2019-12-30,208.62,16030753.4949027
2019-12-31,204.52,18571184.1976403
2020-01-01,204.44,8914580.4494128
2020-01-02,195.49,15250316.7933154
2020-01-03,222.43,50167864.8448902
2020-01-04,224.47,24606733.7093367
2020-01-05,222.79,20252110.0654417
2020-01-06,244.25,41864004.9871681
2020-01-07,242.3,43584856.4420749
2020-01-08,240.19,57593772.5678099
2020-01-09,238.01,25831452.2199653
2020-01-10,271.83,78716114.1608717
2020-01-11,260.83,53671209.6631159
2020-01-12,270.77,27893928.2285227
2020-01-13,267.21,24292551.4340849
2020-01-14,348.35,264096424.2119308
2020-01-15,339.99,168268576.6603907
2020-01-16,326.76,79851321.7911341
2020-01-17,368.0,138483570.7194507
2020-01-18,339.01,175836092.7182948
2020-01-19,339.61,104007649.5093384
2020-01-20,343.39,57808951.7364337
2020-01-21,343.5,36882075.8155764
2020-01-22,349.22,33254970.5619277
2020-01-23,325.21,45089583.3186888
2020-01-24,318.83,68563765.4685505
2020-01-25,310.13,31331217.5480974
2020-01-26,348.24,58473128.4146827
2020-01-27,362.86,90806168.9564323
2020-01-28,378.6,78070864.54455
2020-01-29,380.26,77426438.0639321
2020-01-30,392.69,76640849.627221
2020-01-31,374.86,55423289.4089182
2020-02-01,380.08,40621518.285836
2020-02-02,377.34,37471282.4611552
2020-02-03,384.25,50751441.7557431
