date,close,volume_usd
2020-06-25,228.0,8318233.0906507
2020-06-26,261.73,6651576.956199
2020-06-27,231.0,3878455.9833316
2020-06-28,245.45,2531420.1978499
2020-06-29,233.44,1954629.3658174
2020-06-30,216.66,3610361.1657056
2020-07-01,201.09,3079467.78435
2020-07-02,180.01,5584992.5869612
2020-07-03,171.91,3830944.4476301
2020-07-04,180.42,4582500.7814099
2020-07-05,201.66,7536225.884544
2020-07-06,194.83,5097517.7840878
2020-07-07,187.71,4169262.5522406
2020-07-08,184.57,4570069.7207214
2020-07-09,179.86,3424236.9297905
2020-07-10,175.05,2312397.6712762
2020-07-11,178.24,3437508.1861296
2020-07-12,176.07,3182233.7617169
2020-07-13,166.47,3068793.5041897
2020-07-14,164.19,3014946.9103087
2020-07-15,160.17,1922572.5363167
2020-07-16,154.79,2945185.7652657
2020-07-17,167.24,7408482.1517768
2020-07-18,163.64,3738980.9049327
2020-07-19,163.61,1899063.8830344
2020-07-20,157.87,7696394.3310048
2020-07-21,159.58,2414872.2346496
2020-07-22,157.73,3775988.9745087
2020-07-23,156.0,3626991.655348
2020-07-24,155.33,1917976.0989822
2020-07-25,155.82,2259092.7219304
2020-07-26,157.45,5074413.1347737
2020-07-27,135.78,8960125.552334
2020-07-28,136.69,3857685.2122553
2020-07-29,133.18,2016012.7918824
2020-07-30,133.0,1807046.7862987
2020-07-31,134.63,4245633.0801941
2020-08-01,137.89,4959749.7931823
2020-08-02,127.39,4771328.0359335
2020-08-03,127.2,2041168.2801566
2020-08-04,131.91,2362778.4088708
2020-08-05,134.85,5005470.6279239
2020-08-06,136.86,4143111.6271446
2020-08-07,154.46,10612035.4470934
2020-08-08,152.86,7479769.1076865
2020-08-09,170.89,9822323.6167587
2020-08-10,176.62,10949313.3170986
2020-08-11,195.8,16743942.266563
2020-08-12,218.38,66918760.8693745
2020-08-13,205.33,46125461.5504426
2020-08-14,196.06,20246534.8215985
2020-08-15,196.35,15946096.8802571
2020-08-16,201.08,10553984.3707647
