date,close,volume_usd
2019-03-28,95.74,219959.7213103
2019-03-29,98.13,345397.9745122
2019-03-30,100.78,348446.5285333
2019-03-31,110.7,1233115.567243
2019-04-01,112.97,1902034.8735968
2019-04-02,123.69,1833220.6977836
2019-04-03,123.43,3456383.9144395
2019-04-04,122.87,1054060.3370459
2019-04-05,132.78,752865.5737238
2019-04-06,130.93,569185.4871077
2019-04-07,135.11,562267.3655962
2019-04-08,135.3,783436.0807374
2019-04-09,131.4,465028.5985289
2019-04-10,129.74,588022.0774125
2019-04-11,122.3,944041.2156357
2019-04-12,118.93,559828.435523
2019-04-13,119.1,165176.8205364
2019-04-14,122.57,216986.9385978
2019-04-15,118.56,332059.4486977
2019-04-16,120.61,610778.070539
2019-04-17,120.08,261513.7783405
2019-04-18,123.52,682414.4079162
2019-04-19,122.11,459073.957825
2019-04-20,123.1,212969.7483655
2019-04-21,121.19,363943.2311493
2019-04-22,121.65,186644.2404521
2019-04-23,117.05,244125.8332507
2019-04-24,115.02,690011.9844341
2019-04-25,108.89,467128.6640777
2019-04-26,110.27,345503.8357748
2019-04-27,110.01,148305.9171423
2019-04-28,110.73,137884.4274206
2019-04-29,107.72,372481.1560785
2019-04-30,110.98,213068.0347335
2019-05-01,116.47,436457.1359161
2019-05-02,117.13,637107.1763911
2019-05-03,120.71,625838.2516219
2019-05-04,120.22,611006.9840254
2019-05-05,118.63,146322.9309411
2019-05-06,120.53,265501.3573938
2019-05-07,117.11,348574.932832
2019-05-08,117.69,138410.1564182
2019-05-09,112.3,378569.9254636
2019-05-10,112.92,290410.4786393
2019-05-11,122.83,865855.5316134
2019-05-12,125.22,785761.4274426
2019-05-13,130.51,1225303.6113269
2019-05-14,141.67,1265958.7892939
2019-05-15,154.14,1394047.3181099
2019-05-16,149.03,1615046.7634196
2019-05-17,139.49,1569118.0150298
2019-05-18,141.03,932717.7575046
2019-05-19,172.14,2086623.9975336
2019-05-20,166.45,3013887.0455642
2019-05-21,165.71,1962837.5173908
2019-05-22,153.87,1014409.4009069
2019-05-23,154.06,1161034.6503785
2019-05-24,155.8,913328.3324033
2019-05-25,156.02,454921.3788692
2019-05-26,161.96,535275.5140147
2019-05-27,165.79,1198979.2355173
2019-05-28,169.66,1171522.7547145
2019-05-29,168.27,844800.3374339
2019-05-30,162.92,1532579.8042134
2019-05-31,165.99,777701.1856325
2019-06-01,163.0,520985.9172976
2019-06-02,165.09,499692.4490552
2019-06-03,155.22,809692.6036039
2019-06-04,143.83,1257373.100979
2019-06-05,146.96,629137.4962245
2019-06-06,143.18,576128.2612687
2019-06-07,149.45,1258803.6633787
2019-06-08,144.94,288921.0625628
2019-06-09,141.99,413714.5540459
2019-06-10,150.17,1024076.2108675
2019-06-11,147.21,629982.9569408
2019-06-12,155.83,574381.1773758
2019-06-13,153.01,1291591.8190873
2019-06-14,153.72,635964.6119784
2019-06-15,154.22,541854.3513221
2019-06-16,155.81,801413.1455458
2019-06-17,158.66,567109.0191109
2019-06-18,158.45,1677978.3529761
2019-06-19,161.81,573313.3810673
2019-06-20,161.75,627402.8932675
2019-06-21,167.16,891265.9244048
2019-06-22,176.9,1842926.7936937
2019-06-23,174.3,968577.4876943
2019-06-24,176.33,802526.3895806
2019-06-25,178.38,911741.6375153
2019-06-26,175.41,2510471.6925787
2019-06-27,158.73,1482903.212769
2019-06-28,170.83,682110.5746678
2019-06-29,169.17,612918.208684
2019-06-30,157.31,778807.9377855
2019-07-01,154.76,762345.2687067
2019-07-02,151.98,953591.9415325
2019-07-03,157.8,477954.7701012
2019-07-04,155.26,649755.7330513
2019-07-05,154.14,277778.9818495
2019-07-06,154.35,323515.412944
2019-07-07,157.52,311216.7928249
2019-07-08,158.78,601102.5689345
2019-07-09,156.0,679647.62927
2019-07-10,150.66,583095.2844068
2019-07-11,143.42,606557.1261325
2019-07-12,143.01,499086.3910659
2019-07-13,140.56,617968.9548835
2019-07-14,123.01,530198.7589612
2019-07-15,120.92,680544.1169195
2019-07-16,99.62,968656.7031281
2019-07-17,102.26,985238.8553568
2019-07-18,109.98,1253494.4506454
2019-07-19,112.35,603066.3646046
2019-07-20,116.19,519034.2500298
2019-07-21,118.32,301109.3993384
2019-07-22,114.59,442673.5245685
2019-07-23,109.1,409220.8473354
2019-07-24,109.82,268983.7532069
2019-07-25,114.65,490663.1620146
2019-07-26,115.13,306345.2428115
2019-07-27,110.75,323444.4791908
2019-07-28,107.86,256433.2034303
2019-07-29,105.78,394352.7148254
2019-07-30,104.83,300617.6535785
2019-07-31,108.67,499706.6702025
2019-08-01,106.54,270759.3114277
2019-08-02,104.83,401577.0983989
2019-08-03,106.58,300957.7860719
2019-08-04,106.1,295883.8333985
2019-08-05,110.28,554645.8487906
2019-08-06,106.58,594811.1927692
2019-08-07,107.38,374840.3185327
2019-08-08,105.96,191658.146324
2019-08-09,103.52,209056.5606609
2019-08-10,99.29,423200.442002
2019-08-11,106.53,778108.577707
2019-08-12,104.45,266737.7799291
2019-08-13,101.42,783688.7468813
2019-08-14,95.99,424615.6905656
2019-08-15,94.75,220383.9161999
2019-08-16,93.15,258088.1718925
2019-08-17,91.63,193250.3654192
2019-08-18,94.78,260708.8517381
2019-08-19,97.14,248615.7817132
2019-08-20,93.5,258604.622651
2019-08-21,90.16,404303.7772192
2019-08-22,90.84,200550.9585903
2019-08-23,93.55,463691.4789374
2019-08-24,92.09,190767.5324527
2019-08-25,91.26,121034.6799153
2019-08-26,92.28,182511.9443785
2019-08-27,90.72,200468.5505542
2019-08-28,84.7,279723.4432724
2019-08-29,79.78,264299.9048058
2019-08-30,80.2,445367.3094683
2019-08-31,79.86,488034.0132158
2019-09-01,79.32,118175.7587343
2019-09-02,81.24,429016.8234745
2019-09-03,82.83,413591.5744537
2019-09-04,80.9,277052.2667641
2019-09-05,80.08,152580.1013238
2019-09-06,80.02,541237.3163001
2019-09-07,83.82,312389.1739064
2019-09-08,87.62,376286.8660657
2019-09-09,86.0,361608.7003301
2019-09-10,83.11,375954.2907371
2019-09-11,82.44,315322.7596515
2019-09-12,85.25,1501395.9387372
2019-09-13,93.49,1162355.7907531
2019-09-14,91.26,1068328.735508
2019-09-15,88.89,489739.8239131
2019-09-16,92.49,1185053.4724414
2019-09-17,94.1,1423552.3753876
2019-09-18,97.8,1303068.7778035
2019-09-19,99.7,3636164.6635526
2019-09-20,96.73,943153.7807122
2019-09-21,93.0,650193.8388325
2019-09-22,90.64,484078.0970976
2019-09-23,86.78,819960.1202675
2019-09-24,71.79,1335032.8219433
2019-09-25,72.69,1525134.9471794
2019-09-26,68.7,1075190.7158325
2019-09-27,71.27,757965.4918671
2019-09-28,70.78,497661.45408
2019-09-29,68.86,444965.2521344
2019-09-30,70.94,654900.7041358
2019-10-01,69.98,565987.3438446
2019-10-02,70.51,312346.190902
2019-10-03,69.21,653451.0765812
2019-10-04,69.45,361412.9863709
2019-10-05,69.77,265854.6043159
2019-10-06,69.31,609835.1589994
2019-10-07,70.74,697096.7472211
2019-10-08,70.68,1763370.5397081
2019-10-09,73.68,1572830.4098133
2019-10-10,72.6,822037.6744256
2019-10-11,69.45,1150854.9814745
2019-10-12,70.61,532233.1287356
2019-10-13,70.41,282985.4084808
2019-10-14,71.15,483450.7136313
2019-10-15,71.38,1298225.6392545
2019-10-16,68.04,1152896.5859972
2019-10-17,68.88,394879.569436
2019-10-18,67.95,463773.2501174
2019-10-19,67.38,388498.5884052
2019-10-20,69.16,292436.316743
2019-10-21,68.55,634973.2740129
2019-10-22,67.21,934068.3254956
2019-10-23,62.72,730902.076748
2019-10-24,62.31,556996.6280003
2019-10-25,70.31,1392351.2690205
2019-10-26,70.45,2692213.6157414
2019-10-27,71.85,1406915.8203275
2019-10-28,71.62,1552140.5098183
2019-10-29,72.98,1509920.120145
2019-10-30,72.05,1166232.3421834
2019-10-31,71.47,638581.7496527
2019-11-01,71.81,562489.1794978
2019-11-02,72.12,414915.555143
2019-11-03,71.16,483676.6876129
2019-11-04,72.69,1017197.2676427
2019-11-05,74.34,970665.792869
2019-11-06,74.09,1004590.9022992
2019-11-07,72.18,807068.4135054
2019-11-08,69.32,707967.1669001
2019-11-09,69.58,640112.1717225
2019-11-10,71.41,1179136.1805199
2019-11-11,70.15,930383.2465989
2019-11-12,70.21,728593.5811419
2019-11-13,69.72,594558.2062248
2019-11-14,68.75,337035.3512189
2019-11-15,68.02,675635.0482889
2019-11-16,67.91,289274.2280981
2019-11-17,67.67,377348.0075481
2019-11-18,64.24,761159.8536368
2019-11-19,65.24,716641.6157127
2019-11-20,63.56,1104240.2845134
2019-11-21,60.35,1097601.711033
2019-11-22,55.08,2278203.0309746
2019-11-23,54.43,1918913.0303926
2019-11-24,50.89,1449196.8584451
2019-11-25,49.78,2012858.8000031
2019-11-26,50.18,1644097.9905001
2019-11-27,50.41,2123739.3788796
2019-11-28,52.28,3632465.35944
2019-11-29,56.98,2636667.0696432
2019-11-30,54.99,1181114.5268841
2019-12-01,53.08,984142.2643861
2019-12-02,51.6,766456.2654118
2019-12-03,51.29,832753.0655416
2019-12-04,50.22,1484941.5701648
2019-12-05,49.96,1164060.5439083
2019-12-06,52.5,1499892.8305142
2019-12-07,52.39,1640088.1071516
2019-12-08,51.77,605915.7653292
2019-12-09,51.16,1698652.2918569
2019-12-10,49.89,828068.2854521
2019-12-11,49.67,911931.6380043
2019-12-12,49.84,752378.3122306
2019-12-13,50.69,658069.1164307
2019-12-14,49.52,632970.6798698
2019-12-15,50.8,588357.0749298
2019-12-16,45.97,2240525.3280474
2019-12-17,41.17,2661228.4096026
2019-12-18,44.47,1944445.892117
2019-12-19,42.76,1118875.7498167
2019-12-20,43.25,831404.747684
2019-12-21,42.64,309735.5632646
2019-12-22,44.16,662528.7631171
2019-12-23,42.91,804598.0353116
2019-12-24,41.64,1297340.5743777
2019-12-25,40.74,1182218.4246051
2019-12-26,39.89,3793511.3325454
2019-12-27,39.63,1503054.8564939
2019-12-28,41.78,2704528.9405584
2019-12-29,44.54,3300366.933565
2019-12-30,42.26,1310959.2542091
2019-12-31,41.16,929267.0498754
2020-01-01,41.84,627606.7791068
2020-01-02,40.04,767944.8877154
2020-01-03,43.92,1592495.6798944
2020-01-04,46.19,14603774.0487224
2020-01-05,51.17,11876574.2938964
2020-01-06,56.57,11905486.9207665
2020-01-07,54.62,7230692.0543491
2020-01-08,52.42,4364296.3584712
2020-01-09,50.54,2990866.4361709
2020-01-10,56.88,7665881.0253911
2020-01-11,63.46,17970445.010398
2020-01-12,66.19,14396445.4860236
2020-01-13,69.43,10477247.1372208
2020-01-14,89.28,47235049.9454192
2020-01-15,133.6,113226547.4292236
2020-01-16,127.45,65363893.8242631
2020-01-17,113.04,38601335.8149834
2020-01-18,101.15,50082792.5703261
2020-01-19,104.92,33011849.8418812
2020-01-20,109.91,30549540.0483112
2020-01-21,110.5,22131975.2781281
2020-01-22,107.8,12920408.8596274
2020-01-23,102.72,14285615.7746003
2020-01-24,100.11,16842041.5280346
2020-01-25,101.31,7747066.0577889
2020-01-26,111.01,26333898.8888923
2020-01-27,112.78,30877126.5195649
2020-01-28,115.91,20072053.8692067
2020-01-29,121.97,32950418.6285777
2020-01-30,121.9,24115013.3094717
2020-01-31,115.85,16722408.5407544
2020-02-01,116.7,9717436.4694298
2020-02-02,114.29,9422363.840695
2020-02-03,115.34,8836420.0925871
2020-02-04,110.87,9620448.6493148
