date,close,volume_usd
2020-09-03,17.752,24455951.321805
2020-09-04,17.583,10610919.032662
2020-09-05,12.321,9630646.869427
2020-09-06,13.368,6905557.810036
2020-09-07,13.219,7194549.085591
2020-09-08,14.027,12444434.195439
2020-09-09,15.084,7530659.67669
2020-09-10,13.939,5058979.449232
2020-09-11,14.308,2451682.318804
2020-09-12,13.917,1848710.092491
2020-09-13,13.306,1863606.619475
2020-09-14,13.971,5442607.492602
2020-09-15,13.045,6430444.880925
2020-09-16,12.584,2881793.022876
2020-09-17,12.058,1985846.562744
2020-09-18,11.22,2377139.784843
2020-09-19,11.95,2269269.835746
2020-09-20,10.717,2709271.688604
2020-09-21,8.808,5150278.11048
2020-09-22,8.709,2900428.122107
2020-09-23,8.812,5033502.506215
2020-09-24,9.225,3134210.013757
2020-09-25,9.997,3264928.108185
2020-09-26,10.396,2316516.768205
2020-09-27,10.028,2227730.068929
2020-09-28,10.005,2125707.481286
2020-09-29,10.256,1937310.819793
2020-09-30,10.36,2582370.717958
2020-10-01,10.277,3831589.371914
2020-10-02,9.412,2936400.914931
2020-10-03,9.08,1006020.308279
2020-10-04,9.036,1184508.039937
2020-10-05,8.461,3234206.381471
2020-10-06,6.931,3541996.022687
2020-10-07,7.8,2870087.817969
2020-10-08,7.48,3118515.244948
2020-10-09,7.907,2697190.318319
2020-10-10,7.772,1596672.87548
2020-10-11,8.171,1637648.583688
2020-10-12,8.013,1646594.558739
2020-10-13,7.944,1268251.582258
2020-10-14,7.988,1737751.799466
2020-10-15,7.897,1258386.787754
2020-10-16,7.392,1743513.463219
2020-10-17,7.641,832613.050111
2020-10-18,7.612,677181.8815
2020-10-19,7.306,1254131.097892
2020-10-20,7.069,2618929.225871
2020-10-21,7.459,1767967.994059
2020-10-22,7.718,1401993.256529
2020-10-23,8.864,4666475.898473
2020-10-24,8.806,9355606.026924
2020-10-25,9.257,6352847.581515
2020-10-26,8.623,4970112.060507
2020-10-27,8.572,3499449.888536
2020-10-28,7.849,3584237.432432
2020-10-29,7.387,2787052.328385
2020-10-30,7.617,2773191.40549
2020-10-31,7.338,1575588.316171
2020-11-01,7.674,1553255.961509
2020-11-02,7.309,1777191.825679
2020-11-03,7.252,1385514.787733
2020-11-04,7.168,1247483.886363
2020-11-05,7.387,2071427.882022
2020-11-06,8.385,2714653.41051
2020-11-07,7.858,5652185.076674
2020-11-08,8.339,2659246.922941
2020-11-09,8.129,2105862.929285
2020-11-10,8.596,2438497.665784
2020-11-11,7.784,3468281.174229
2020-11-12,7.492,1802900.643224
2020-11-13,7.776,1639506.804603
2020-11-14,7.479,1439073.773877
2020-11-15,7.576,1665206.303294
2020-11-16,7.71,1749478.902484
2020-11-17,7.862,2257658.519457
2020-11-18,7.487,3409506.245242
2020-11-19,7.594,1960011.665818
2020-11-20,7.621,2155692.413692
2020-11-21,8.236,4583299.128415
2020-11-22,8.028,4194381.087138
2020-11-23,9.071,6401270.145763
2020-11-24,9.048,6895064.265512
2020-11-25,9.677,11959820.449941
2020-11-26,9.131,13583495.328258
2020-11-27,8.846,3729974.899008
2020-11-28,8.808,3182838.769699
2020-11-29,8.923,2420118.608121
2020-11-30,9.183,4152457.041148
2020-12-01,9.301,6315233.35428
2020-12-02,11.615,11373371.958037
2020-12-03,13.056,13907488.807268
2020-12-04,12.101,15336953.18343
2020-12-05,13.9,16339450.865064
2020-12-06,13.707,9577152.429498
2020-12-07,13.133,6358255.526307
2020-12-08,12.52,4919544.050459
2020-12-09,13.973,10880508.301061
2020-12-10,13.745,6520476.993012
2020-12-11,14.766,11892958.221257
2020-12-12,16.732,14878109.013431
2020-12-13,16.923,11856409.937328
2020-12-14,19.219,29154359.020586
2020-12-15,24.257,48880418.515963
2020-12-16,21.681,69354905.452013
2020-12-17,23.337,40581254.002914
2020-12-18,25.33,51302279.708095
2020-12-19,26.615,23521249.134692
2020-12-20,25.638,16227322.292283
2020-12-21,28.049,31529538.625919
2020-12-22,28.024,37749765.773347
2020-12-23,21.732,44578328.868597
2020-12-24,24.954,29060473.82125
2020-12-25,22.903,14371549.755453
2020-12-26,23.147,22776314.940461
2020-12-27,21.849,22660587.592155
2020-12-28,25.421,32933423.400382
2020-12-29,23.802,16842296.151568
2020-12-30,24.121,10050836.641484
2020-12-31,24.673,5792753.988041
2021-01-01,26.007,18902860.849054
2021-01-02,25.875,17807746.393889
2021-01-03,27.321,18903979.680673
2021-01-04,30.658,38162265.722812
2021-01-05,33.969,41953593.948611
2021-01-06,38.5,40292884.416434
2021-01-07,36.985,47958105.116226
2021-01-08,37.36,35941166.308022
2021-01-09,36.87,22718333.996706
2021-01-10,36.229,34095924.574229
2021-01-11,32.68,45540591.724204
2021-01-12,31.591,25064207.244974
2021-01-13,35.039,21489330.210094
2021-01-14,37.976,24326644.735702
2021-01-15,37.15,25752183.573094
2021-01-16,36.781,16210647.749945
2021-01-17,37.484,16550361.627784
2021-01-18,39.529,20649731.192622
2021-01-19,37.581,18550843.994399
2021-01-20,38.66,31598780.808089
2021-01-21,37.314,23052599.889285
2021-01-22,37.144,18295106.998937
2021-01-23,37.02,10277270.620102
2021-01-24,41.232,15020838.745376
2021-01-25,50.06,97788449.78148
2021-01-26,48.285,29296363.500779
2021-01-27,53.181,52102833.117067
2021-01-28,59.081,55676363.544212
2021-01-29,61.762,50758391.739474
2021-01-30,64.87,93974289.291145
2021-01-31,63.399,43013638.201232
2021-02-01,65.959,52968655.354255
2021-02-02,64.113,29028990.760433
2021-02-03,67.945,28160880.540743
2021-02-04,73.985,57043134.824885
2021-02-05,87.948,56155099.510503
2021-02-06,95.848,77663720.511966
2021-02-07,139.744,270685707.469644
2021-02-08,163.298,469441615.723549
2021-02-09,195.334,277506295.723015
2021-02-10,176.218,225142012.939233
2021-02-11,157.536,163451224.087932
2021-02-12,169.642,133403609.612313
2021-02-13,159.147,67974640.259601
2021-02-14,154.14,76720004.392087
2021-02-15,139.632,306656638.258432
2021-02-16,137.029,98933713.896106
2021-02-17,145.345,160870703.119511
2021-02-18,151.748,129405139.443506
2021-02-19,139.532,84519194.571062
2021-02-20,139.52,87731952.234077
2021-02-21,140.707,41291416.358946
2021-02-22,126.847,125070468.80326
2021-02-23,110.0,123046299.316652
2021-02-24,116.898,71817202.383307
2021-02-25,113.328,56458543.845326
2021-02-26,124.199,94632924.270985
2021-02-27,135.437,143590457.709218
2021-02-28,130.586,69249486.393538
2021-03-01,138.221,59187397.843577
2021-03-02,133.98,60246125.733543
2021-03-03,141.428,50135076.357376
2021-03-04,150.897,141377159.070703
2021-03-05,141.167,66304265.020918
2021-03-06,137.196,37805472.447897
2021-03-07,145.786,43532051.698828
2021-03-08,147.252,36940270.457593
2021-03-09,157.973,62073005.446915
2021-03-10,150.931,62066139.238687
2021-03-11,151.438,38073004.556508
2021-03-12,140.379,34937325.000226
2021-03-13,140.4,29920805.90548
2021-03-14,131.735,38218399.874368
2021-03-15,130.389,44216121.38949
2021-03-16,130.39,25290045.985339
2021-03-17,135.72,21850482.02267
2021-03-18,133.068,20857047.988592
2021-03-19,133.483,17550527.930563
2021-03-20,136.92,35775012.53765
2021-03-21,138.473,19936388.212799
2021-03-22,134.728,37722205.322906
2021-03-23,130.697,25296938.639588
2021-03-24,120.398,26537874.47181
2021-03-25,121.812,29731941.130091
2021-03-26,141.048,58499317.960534
2021-03-27,146.29,50938262.811328
2021-03-28,141.588,27360436.306845
2021-03-29,143.549,27203665.86058
2021-03-30,142.658,22474933.57046
2021-03-31,139.716,24918773.582685
2021-04-01,150.339,38406867.49487
2021-04-02,167.732,95546006.744916
2021-04-03,159.847,110685929.67982
2021-04-04,168.2,49603019.895319
2021-04-05,166.811,46162519.100343
2021-04-06,193.0,135279513.124573
2021-04-07,173.297,85471913.40975
2021-04-08,180.334,41515204.385862
2021-04-09,194.076,67297120.525344
2021-04-10,208.436,106785388.711596
2021-04-11,237.014,176101504.509355
2021-04-12,224.918,116458783.188554
2021-04-13,212.477,73694303.424468
2021-04-14,225.787,105411158.734196
2021-04-15,225.93,66364237.10856
2021-04-16,210.49,62441425.642213
2021-04-17,213.228,43775705.936866
2021-04-18,189.991,145503121.582837
2021-04-19,168.397,66190809.596399
