date,close,volume_usd
2019-01-01,2.6184,13891991.5286
2019-01-02,2.8197,21132405.05721
2019-01-03,2.6379,20406347.95745
2019-01-04,2.6744,18236052.106878
2019-01-05,2.651,15597384.932202
2019-01-06,2.8092,19658779.627752
2019-01-07,2.7336,20005625.335061
2019-01-08,2.743,17749513.889072
2019-01-09,2.86,20364302.650949
2019-01-10,2.3691,39728682.333346
2019-01-11,2.3627,21541816.113737
2019-01-12,2.3768,12643102.257527
2019-01-13,2.2092,12986952.736829
2019-01-14,2.4256,14508716.280178
2019-01-15,2.3496,16192453.11024
2019-01-16,2.4027,12895394.678657
2019-01-17,2.4718,16552756.177062
2019-01-18,2.4296,13250161.249564
2019-01-19,2.444,10800188.493071
2019-01-20,2.3266,15775132.980896
2019-01-21,2.3223,11461152.228998
2019-01-22,2.4276,15149818.378854
2019-01-23,2.4188,9712145.246604
2019-01-24,2.4343,8688368.192139
2019-01-25,2.4285,7866474.931553
2019-01-26,2.4065,5938860.136826
2019-01-27,2.3522,9345452.883439
2019-01-28,2.2267,12553820.46411
2019-01-29,2.2561,7460371.78724
2019-01-30,2.3262,6325850.994644
2019-01-31,2.3089,7054702.295153
2019-02-01,2.3263,6202437.344383
2019-02-02,2.4389,6045446.73605
2019-02-03,2.3707,7776236.441524
2019-02-04,2.3973,6403373.063689
2019-02-05,2.3914,4703153.492609
2019-02-06,2.3426,7977656.096024
2019-02-07,2.3415,4156368.927659
2019-02-08,2.7219,23628143.283733
2019-02-09,2.7718,16810549.746542
2019-02-10,2.8393,17552862.831433
2019-02-11,2.75,15916956.845094
2019-02-12,2.9465,22089859.192789
2019-02-13,2.8564,18771810.537511
2019-02-14,2.7427,12551823.430879
2019-02-15,2.7928,12888540.169635
2019-02-16,2.7873,9021243.420207
2019-02-17,2.8762,15407220.42466
2019-02-18,3.4764,56141106.072798
2019-02-19,3.5224,76026462.030461
2019-02-20,3.9076,64359478.987149
2019-02-21,3.8035,41654273.435254
2019-02-22,3.8411,38798924.853786
2019-02-23,4.245,35122300.874978
2019-02-24,3.5289,74926771.353892
2019-02-25,3.5461,54903732.289993
2019-02-26,3.4318,32046221.803435
2019-02-27,3.5021,26032726.613908
2019-02-28,3.4971,24864461.146038
2019-03-01,3.4673,28754852.573855
2019-03-02,3.4753,19513294.270999
2019-03-03,3.5158,15533608.367642
2019-03-04,3.2321,35671079.362403
2019-03-05,3.7481,56031887.444036
2019-03-06,3.7329,45625181.298938
2019-03-07,3.7571,38027794.611373
2019-03-08,3.5897,39535739.404401
2019-03-09,3.7544,32179335.926672
2019-03-10,3.6935,15999222.380091
2019-03-11,3.5638,30240438.538832
2019-03-12,3.6416,19147398.053419
2019-03-13,3.5632,19878475.157037
2019-03-14,3.5786,20639339.402149
2019-03-15,3.6865,24834340.816634
2019-03-16,3.7991,33922835.471099
2019-03-17,3.7376,14034279.903617
2019-03-18,3.7066,21386306.948356
2019-03-19,3.7266,17203664.243894
2019-03-20,3.71,24966482.018851
2019-03-21,3.6185,20936316.190467
2019-03-22,3.6176,13272059.754284
2019-03-23,3.6647,15727646.910958
2019-03-24,3.6314,14198299.055416
2019-03-25,3.65,23079241.595988
2019-03-26,3.7439,22177757.540621
2019-03-27,4.2539,70223116.152337
2019-03-28,4.2442,32625626.84267
2019-03-29,4.302,33746780.7651
2019-03-30,4.1502,30213669.04332
2019-03-31,4.1893,20458968.474947
2019-04-01,4.2043,24134876.447982
2019-04-02,5.0232,80601547.331976
2019-04-03,5.2089,130802828.786707
2019-04-04,5.065,68772397.448214
2019-04-05,5.3097,42299547.067077
2019-04-06,5.3288,50463643.934616
2019-04-07,5.4207,39691899.052924
2019-04-08,5.5003,60742208.270636
2019-04-09,5.5231,49524359.8034
2019-04-10,5.8417,83250879.666848
2019-04-11,5.2778,89076328.180597
2019-04-12,5.3313,45262362.646079
2019-04-13,5.2857,16309969.146175
2019-04-14,5.5422,20164848.109518
2019-04-15,5.3234,32900157.62252
2019-04-16,5.49,24944720.320479
2019-04-17,5.4153,20106033.957137
2019-04-18,5.4654,23873294.317551
2019-04-19,5.4546,16228588.716215
2019-04-20,5.4271,13585943.154058
2019-04-21,5.1987,34119500.023544
2019-04-22,5.2186,22071072.721734
2019-04-23,5.1033,25792670.152509
2019-04-24,4.773,48320820.767811
2019-04-25,4.6112,34484548.154432
2019-04-26,4.7925,38660932.252373
2019-04-27,4.7403,11154900.561779
2019-04-28,4.7438,10660682.374973
2019-04-29,4.5138,18835793.941413
2019-04-30,4.8159,21453854.530111
2019-05-01,4.7617,15629160.23534
2019-05-02,4.783,18051068.909489
2019-05-03,5.0841,34500544.144605
2019-05-04,4.9472,30820815.986919
2019-05-05,4.879,16187173.411811
2019-05-06,4.894,25640291.407597
2019-05-07,4.8492,25658586.824974
2019-05-08,4.9,15754343.079366
2019-05-09,4.85,15504124.255311
2019-05-10,4.8134,27236858.282372
2019-05-11,5.4125,66821529.746011
2019-05-12,5.3319,52648572.70218
2019-05-13,5.5185,34694862.996962
2019-05-14,5.9992,64745645.390678
2019-05-15,6.4644,38853572.215676
2019-05-16,6.4948,83293545.350369
2019-05-17,6.0353,88054228.118962
2019-05-18,5.8813,29784254.416172
2019-05-19,6.4581,53450049.33204
2019-05-20,6.2144,42818569.596015
2019-05-21,6.2589,30118160.345732
2019-05-22,5.9285,37000028.551438
2019-05-23,6.0157,24988190.00439
2019-05-24,6.4064,45101433.579869
2019-05-25,6.3603,29090237.868799
2019-05-26,6.8511,44234218.476634
2019-05-27,7.9944,121980837.960773
2019-05-28,8.075,98475823.966794
2019-05-29,7.9658,68277218.767241
2019-05-30,7.3,151876160.697733
2019-05-31,8.5645,139835275.027474
2019-06-01,7.7027,153830200.832316
2019-06-02,7.7188,92088927.503014
2019-06-03,6.6926,112550887.806215
2019-06-04,6.2943,116916312.414138
2019-06-05,6.419,64220782.248996
2019-06-06,6.3602,52526373.531076
2019-06-07,6.6195,45956871.547472
2019-06-08,6.3408,32046062.598882
2019-06-09,6.139,39268897.294732
2019-06-10,6.4258,41603197.43264
2019-06-11,6.3132,32395828.980389
2019-06-12,6.4217,35220138.597353
2019-06-13,6.4591,42227322.719266
2019-06-14,6.5401,31310626.627957
2019-06-15,6.8838,38571765.462131
2019-06-16,6.9703,53697735.332661
2019-06-17,7.1247,42871749.038291
2019-06-18,6.7857,39584059.947582
2019-06-19,6.8543,20950663.743671
2019-06-20,6.8277,25958255.137644
2019-06-21,7.0377,46860633.294584
2019-06-22,7.5049,89149479.50083
2019-06-23,7.2712,46955198.423388
2019-06-24,7.2559,32330096.505797
2019-06-25,7.1726,36792782.76528
2019-06-26,6.8096,118078492.767499
2019-06-27,5.9663,125445560.688822
2019-06-28,6.2182,73161058.060544
2019-06-29,6.3302,45657015.819808
2019-06-30,5.7926,48435407.844616
2019-07-01,6.0488,61260293.380343
2019-07-02,5.8957,58554513.758141
2019-07-03,6.0405,43121348.058892
2019-07-04,5.7166,32923345.391209
2019-07-05,5.7431,24486033.574655
2019-07-06,5.7692,23690050.541396
2019-07-07,5.9278,16316673.016002
2019-07-08,5.9385,21770581.632257
2019-07-09,5.8859,29504473.499129
2019-07-10,5.2682,75519082.183116
2019-07-11,4.6868,84011180.805438
2019-07-12,4.7867,41864696.830622
2019-07-13,4.7492,29152092.231274
2019-07-14,4.1,42753632.282628
2019-07-15,4.2931,46416459.560374
2019-07-16,3.6601,67176361.37002
2019-07-17,3.827,52741817.542416
2019-07-18,4.1013,39346751.963024
2019-07-19,4.0366,20886899.849204
2019-07-20,4.2983,26319907.063479
2019-07-21,4.3288,18682633.956635
2019-07-22,4.1257,19517158.382871
2019-07-23,4.1526,21098485.556651
2019-07-24,4.5874,42963234.711678
2019-07-25,4.5663,29304861.597552
2019-07-26,4.6156,20448695.610994
2019-07-27,4.2748,33314123.839651
2019-07-28,4.2807,19538929.020044
2019-07-29,4.2103,20391627.171347
2019-07-30,4.1959,12733059.791724
