date,close,volume_usd
2019-01-01,5.252,1321405.060992
2019-01-02,5.32,2538294.346785
2019-01-03,4.9982,2076030.92083
2019-01-04,5.1894,2695282.863458
2019-01-05,5.0564,2454584.308086
2019-01-06,5.385,4578581.794307
2019-01-07,4.8099,7327995.375569
2019-01-08,4.8852,6890406.127696
2019-01-09,4.9059,4644312.555176
2019-01-10,4.3316,5601491.771249
2019-01-11,4.3799,4166710.639942
2019-01-12,4.4593,4074201.415429
2019-01-13,4.1395,2754368.034998
2019-01-14,4.2913,2307143.524527
2019-01-15,4.1215,2585255.82222
2019-01-16,4.2516,2708533.570215
2019-01-17,4.4137,2362937.155114
2019-01-18,4.3153,1425867.395813
2019-01-19,4.341,2236062.819274
2019-01-20,4.2098,2471681.894334
2019-01-21,4.2231,1580402.657939
2019-01-22,4.2776,1271686.796317
2019-01-23,4.2467,1108419.922835
2019-01-24,4.2637,962332.320502
2019-01-25,4.3159,964355.945506
2019-01-26,4.2704,642419.632708
2019-01-27,4.2064,795103.295277
2019-01-28,3.9067,1579954.383773
2019-01-29,3.8689,1043532.621345
2019-01-30,3.973,1247536.84072
2019-01-31,3.9287,947521.549649
2019-02-01,3.9046,1200470.339839
2019-02-02,3.9821,847783.262505
2019-02-03,3.8983,1455634.180622
2019-02-04,3.8746,704441.988694
2019-02-05,3.8582,584344.656882
2019-02-06,3.745,1486090.437493
2019-02-07,3.8406,1275342.667749
2019-02-08,4.1355,3306812.372027
2019-02-09,4.0761,2125275.558558
2019-02-10,4.1584,2010700.862109
2019-02-11,4.0697,2154113.776182
2019-02-12,4.0685,1274118.987572
2019-02-13,4.0982,1021682.793298
2019-02-14,4.1065,1430705.023082
2019-02-15,4.0937,1547671.526932
2019-02-16,4.0758,890206.014925
2019-02-17,4.1738,1280554.943941
2019-02-18,4.3857,3636170.405699
2019-02-19,4.5363,6340603.75241
2019-02-20,4.6727,3808764.43544
2019-02-21,4.492,2696669.688413
2019-02-22,4.6762,2766457.746395
2019-02-23,4.8067,3165328.598279
2019-02-24,4.0862,5463647.685303
2019-02-25,4.2366,2703446.38357
2019-02-26,4.2545,2078674.688047
2019-02-27,4.2854,2315273.073493
2019-02-28,4.2171,1770819.642653
2019-03-01,4.2312,1654960.613415
2019-03-02,4.23,2924912.091243
2019-03-03,4.2423,1306676.696998
2019-03-04,4.0855,2534368.565926
2019-03-05,4.2664,2729765.725902
2019-03-06,4.265,2244513.453163
2019-03-07,4.3542,3160298.867312
2019-03-08,4.1892,2192236.251718
2019-03-09,4.2432,1999219.643779
2019-03-10,4.3094,1660604.918765
2019-03-11,4.1992,2126954.402814
2019-03-12,4.2704,1150819.581401
2019-03-13,4.2156,1505294.373855
2019-03-14,4.296,1967474.605289
2019-03-15,4.3995,2085528.456051
2019-03-16,4.4836,2797905.551159
2019-03-17,4.4148,1407720.817222
2019-03-18,4.3927,1568224.982824
2019-03-19,4.5956,2756153.477045
2019-03-20,4.6506,3025667.681965
2019-03-21,4.7593,5816097.181631
2019-03-22,4.8519,4334036.034657
2019-03-23,4.874,1714501.491965
2019-03-24,4.8234,1408938.536302
2019-03-25,4.6901,1603319.183339
2019-03-26,4.6663,1064844.288303
2019-03-27,4.7962,2057450.399422
2019-03-28,4.7055,1290605.01058
2019-03-29,4.8722,2456254.432108
2019-03-30,4.7843,1569596.136535
2019-03-31,4.8245,759436.326138
2019-04-01,4.8095,1691348.771649
2019-04-02,5.4288,8219074.677301
2019-04-03,5.4051,11459796.729061
2019-04-04,5.3285,4530390.954927
2019-04-05,5.7268,4073740.138844
2019-04-06,5.9932,4844126.527002
2019-04-07,7.6627,40503474.487256
2019-04-08,7.1169,18043845.629401
2019-04-09,6.9248,9429179.337533
2019-04-10,7.0264,6594043.211372
2019-04-11,6.2411,7656689.249241
2019-04-12,6.31,4309111.726799
2019-04-13,6.2917,2016816.123445
2019-04-14,6.4124,1571297.524749
2019-04-15,6.1626,2851463.768719
2019-04-16,6.2393,2861338.102951
2019-04-17,6.1861,1834367.941958
2019-04-18,6.3218,2828231.829096
2019-04-19,6.2528,2009781.448462
2019-04-20,6.2131,1124988.936334
2019-04-21,5.8822,2440809.347398
2019-04-22,5.8944,2278783.677959
2019-04-23,5.8715,3104844.903305
2019-04-24,5.5508,4493328.844315
2019-04-25,5.4369,3207831.522713
2019-04-26,5.4835,2495050.973439
2019-04-27,5.5464,1660974.513292
2019-04-28,5.6296,1589468.751224
2019-04-29,5.5908,3152805.491035
2019-04-30,5.886,2965722.155613
2019-05-01,5.8103,1688068.94733
2019-05-02,5.7789,3296463.952902
2019-05-03,6.0612,6872372.98889
2019-05-04,5.8306,4206242.762231
2019-05-05,5.7213,2077544.092817
2019-05-06,5.6912,2403095.381738
2019-05-07,5.6603,2826839.29055
2019-05-08,5.707,1822649.710928
2019-05-09,5.5821,1610426.743849
2019-05-10,5.6392,2529664.010166
2019-05-11,5.9556,6679880.035902
2019-05-12,5.8319,3766170.358562
2019-05-13,6.0496,3036895.384577
2019-05-14,6.5399,4594959.346093
2019-05-15,7.628,4054706.647604
2019-05-16,7.6505,14265939.525025
2019-05-17,7.2659,9128236.838878
2019-05-18,7.16,4217915.201537
2019-05-19,7.765,5905914.350382
2019-05-20,7.3647,5188658.572192
2019-05-21,7.385,4802560.899461
2019-05-22,6.9025,4211702.56154
2019-05-23,7.0552,2827252.624566
2019-05-24,7.2925,4358277.073104
2019-05-25,7.2763,2403874.874212
2019-05-26,7.6004,3301624.92147
2019-05-27,8.1316,6489665.114209
2019-05-28,8.2296,6938202.583643
2019-05-29,8.1954,5070732.988225
2019-05-30,8.0665,11529419.726429
2019-05-31,8.6614,6457230.513694
2019-06-01,8.5698,7008564.463323
2019-06-02,9.5287,9338993.699804
2019-06-03,9.3529,12875324.968868
2019-06-04,8.2603,15562825.961132
2019-06-05,8.0964,10785693.329265
2019-06-06,7.9374,8006602.805591
2019-06-07,8.2067,5924546.946109
2019-06-08,8.3993,6014091.949139
2019-06-09,8.1171,5137097.139979
2019-06-10,8.3124,5505717.470153
2019-06-11,8.2267,3805939.502751
2019-06-12,8.6203,6205804.912947
2019-06-13,8.5339,5028932.681345
2019-06-14,8.5408,4835065.213528
2019-06-15,8.5849,3967601.907686
2019-06-16,8.6827,7610312.510733
2019-06-17,8.7705,4726227.896829
2019-06-18,8.4395,5107028.347824
2019-06-19,8.5168,2713790.662578
2019-06-20,8.4845,1939719.328704
2019-06-21,8.6985,4539382.682704
2019-06-22,9.1712,11501361.847277
2019-06-23,9.2979,9328536.648512
2019-06-24,9.3112,5020117.618175
2019-06-25,9.2572,4052912.381571
2019-06-26,9.0856,11093016.7569
2019-06-27,7.7688,20061738.27774
2019-06-28,8.0315,9342107.210747
2019-06-29,8.2662,5736965.740637
2019-06-30,7.7728,7381870.783787
2019-07-01,7.7914,5716858.922203
2019-07-02,7.7045,4998893.479022
2019-07-03,7.8494,3392687.364235
2019-07-04,7.7515,3732591.230142
2019-07-05,7.8456,2911430.954943
2019-07-06,7.8398,2085504.553191
2019-07-07,7.956,1308879.922495
2019-07-08,7.9985,1817549.279196
2019-07-09,7.8812,2182017.51493
2019-07-10,7.2765,3993423.984519
2019-07-11,6.6257,4578133.384769
2019-07-12,6.7671,2029848.883446
2019-07-13,6.606,2630163.606895
2019-07-14,5.642,5310755.81888
2019-07-15,5.7593,7120625.81498
2019-07-16,5.3295,6791359.145016
2019-07-17,5.6974,5223951.617162
2019-07-18,6.0243,4333041.089415
2019-07-19,5.8456,2807816.747771
2019-07-20,6.1579,3158309.785147
2019-07-21,6.2549,1707219.978158
2019-07-22,6.3705,3600461.55419
2019-07-23,6.0293,2848543.699305
2019-07-24,6.1022,2659999.11601
2019-07-25,6.0069,2246848.306908
2019-07-26,6.2,1371008.498774
2019-07-27,5.9484,2969296.434213
2019-07-28,5.9072,2237772.911235
2019-07-29,5.9339,2050598.198216
2019-07-30,5.9289,1178534.976118
2019-07-31,6.0494,1777434.579784
2019-08-01,5.9614,1891090.337364
2019-08-02,5.8796,1368615.407813
2019-08-03,5.8851,1086734.227808
2019-08-04,6.0954,1690583.108906
2019-08-05,6.1787,2574441.972544
2019-08-06,5.8644,2179684.8757
2019-08-07,5.9058,1432960.965167
2019-08-08,6.0026,1912139.249977
2019-08-09,5.8101,1255690.126755
2019-08-10,5.6582,1891758.047601
2019-08-11,5.8311,1323205.150957
2019-08-12,5.7907,791790.032043
2019-08-13,5.9204,1334611.030442
2019-08-14,5.5958,3701518.616736
2019-08-15,5.6492,1495897.428503
2019-08-16,5.5317,1655031.589706
2019-08-17,5.4552,846121.277757
2019-08-18,5.5729,1059047.300476
2019-08-19,5.5436,1692775.001838
2019-08-20,6.0315,6645465.985595
2019-08-21,6.1547,8193484.668926
2019-08-22,7.2149,21316503.248105
2019-08-23,7.1433,17983447.273849
2019-08-24,6.853,7781738.195946
2019-08-25,7.13,9009657.05842
2019-08-26,7.3415,8826844.944592
2019-08-27,7.204,3730908.910743
2019-08-28,6.4597,12037223.899112
2019-08-29,5.9395,11108308.220521
2019-08-30,6.3003,9037124.574766
2019-08-31,6.2604,4250621.788484
2019-09-01,6.2372,2802009.654983
2019-09-02,6.684,8341334.148979
2019-09-03,6.7977,6621324.575345
2019-09-04,6.762,3812431.857038
2019-09-05,7.0396,9482157.872075
2019-09-06,6.6563,7552770.275401
2019-09-07,6.6361,10328546.182997
2019-09-08,6.648,4661688.275136
2019-09-09,6.5924,7605329.239505
2019-09-10,6.5302,9197243.907176
2019-09-11,6.3291,7689498.592691
2019-09-12,6.1985,6580048.691398
2019-09-13,6.1596,3919372.104954
2019-09-14,6.241,2219974.273693
2019-09-15,6.2496,2549934.429918
2019-09-16,6.2175,3632265.524305
2019-09-17,6.2816,4866161.857521
2019-09-18,6.3742,6961372.104861
2019-09-19,6.2103,12163387.37013
2019-09-20,6.1695,6197693.580815
2019-09-21,6.1217,2767692.436208
2019-09-22,5.9926,4466325.961038
2019-09-23,5.8206,5315934.807454
2019-09-24,4.6197,19597092.689538
2019-09-25,4.8148,16598326.577542
2019-09-26,4.6891,7450071.395774
2019-09-27,4.6623,4378409.311851
2019-09-28,4.6691,3565246.275953
2019-09-29,4.5424,3162869.656315
2019-09-30,4.7096,5745977.646117
2019-10-01,4.6106,5793988.566355
2019-10-02,4.6781,1906198.707466
2019-10-03,4.5989,2700761.721647
2019-10-04,4.578,2570059.814708
2019-10-05,4.6157,3420103.662798
2019-10-06,4.4874,2098052.247377
2019-10-07,4.6622,3548814.008447
2019-10-08,4.6171,1530512.05302
2019-10-09,5.0611,6847597.265402
2019-10-10,4.8269,6758683.714332
2019-10-11,4.6383,5147399.246999
2019-10-12,4.7046,2065352.298134
2019-10-13,4.7404,2015277.356804
2019-10-14,4.7892,1625841.62258
2019-10-15,4.5352,5478226.834746
2019-10-16,4.4162,7823080.980855
2019-10-17,4.4999,4030530.506792
2019-10-18,4.4109,2683430.60468
2019-10-19,4.4174,2142825.48708
2019-10-20,4.5013,1212065.201596
2019-10-21,4.5775,5401680.683619
2019-10-22,4.4532,2833728.407422
2019-10-23,4.2546,5810749.017155
2019-10-24,4.2582,2634337.627103
2019-10-25,4.7416,10591554.231659
2019-10-26,4.5738,14681295.546613
2019-10-27,4.7735,8282790.555233
2019-10-28,4.7364,6090934.546124
2019-10-29,4.9239,10012558.164744
2019-10-30,4.7871,5600082.879113
2019-10-31,4.8074,7109820.274073
2019-11-01,4.8656,4362709.114687
2019-11-02,4.9241,3277822.939211
2019-11-03,4.8765,2065683.575612
2019-11-04,4.9625,2907651.224438
2019-11-05,5.0179,3962190.588404
2019-11-06,5.0745,5139146.828607
2019-11-07,5.2412,11135900.43108
2019-11-08,4.9754,8937968.658766
2019-11-09,4.9554,2830120.931481
2019-11-10,5.0365,4853331.668882
2019-11-11,4.8916,3517529.708178
2019-11-12,4.9067,2558103.88524
2019-11-13,4.849,1645638.250408
2019-11-14,4.7515,2491798.953054
2019-11-15,4.5652,3734801.229791
2019-11-16,4.6297,1214684.780696
2019-11-17,4.6139,1955880.710061
2019-11-18,4.3674,6613676.708355
2019-11-19,4.3865,6421523.868181
2019-11-20,4.3374,2362641.95488
2019-11-21,4.1785,4235490.696913
2019-11-22,3.8672,10094282.764016
2019-11-23,3.9887,3975304.268605
2019-11-24,3.7023,4284028.937941
2019-11-25,3.7691,6724961.651341
2019-11-26,3.8706,2715564.99794
2019-11-27,3.945,4735783.546458
2019-11-28,3.9389,3181997.566618
2019-11-29,4.0776,2942160.100481
2019-11-30,3.9409,2343151.216456
2019-12-01,3.9288,3177128.332917
2019-12-02,3.8545,2321439.460341
2019-12-03,3.8285,1989678.429906
2019-12-04,3.7499,5145442.317084
2019-12-05,3.7879,2436316.637121
2019-12-06,3.887,2394099.458708
2019-12-07,3.8603,1448999.397676
2019-12-08,3.8977,1583750.135862
2019-12-09,3.7975,2105968.512327
2019-12-10,3.7749,1660723.734988
2019-12-11,3.7748,1113389.12739
2019-12-12,3.8157,2383798.798196
2019-12-13,3.8562,1422434.152551
2019-12-14,3.7984,1796776.537363
2019-12-15,3.8056,1543109.864896
2019-12-16,3.6796,4107815.078904
2019-12-17,3.469,4996965.21101
2019-12-18,3.7645,9336551.147057
2019-12-19,3.7268,2192321.488008
2019-12-20,4.0541,4510477.757724
2019-12-21,4.086,5681309.508487
2019-12-22,4.1929,4417280.868689
2019-12-23,3.9901,5438276.818828
2019-12-24,3.9346,4360875.563317
2019-12-25,4.0403,3623991.098134
2019-12-26,4.49,14425087.802297
2019-12-27,4.5117,12186117.677016
2019-12-28,4.4137,4502910.934426
2019-12-29,4.6434,9124725.291867
2019-12-30,4.6243,10527535.264759
2019-12-31,4.4945,11122226.355933
2020-01-01,4.5035,2385793.000196
2020-01-02,4.2283,7997201.932199
2020-01-03,4.5768,12019934.73327
2020-01-04,4.7598,7800905.877789
2020-01-05,4.8784,11936684.622543
2020-01-06,5.0333,12212393.238291
2020-01-07,4.8344,12563256.172932
2020-01-08,4.9521,11896433.286664
2020-01-09,5.1848,12131560.665859
2020-01-10,5.36,23213328.235499
2020-01-11,5.5704,28591483.547038
2020-01-12,5.5765,11754089.376024
2020-01-13,5.4677,6042163.756262
2020-01-14,6.7895,53084632.455828
2020-01-15,7.9911,78218480.95328
2020-01-16,8.414,68255466.868746
2020-01-17,9.4792,207537856.696015
2020-01-18,8.2944,119496354.445261
2020-01-19,8.5268,102350677.693633
2020-01-20,8.6347,55962245.769213
2020-01-21,8.943,35326652.836523
2020-01-22,9.3457,39581907.067533
2020-01-23,8.4421,42273901.447401
2020-01-24,8.6118,51302434.77518
2020-01-25,8.3966,24098734.248872
2020-01-26,9.19,32530685.794447
2020-01-27,10.4161,99646770.476019
2020-01-28,11.3697,126525458.835913
2020-01-29,12.2231,150637968.366404
2020-01-30,12.2842,111312642.951026
2020-01-31,11.338,79288075.897017
2020-02-01,11.5282,51677316.324334
2020-02-02,11.3658,44474075.051804
2020-02-03,11.7782,58580017.639605
2020-02-04,11.4111,48891544.772123
2020-02-05,12.3345,57746250.262452
2020-02-06,12.1132,102179536.824271
2020-02-07,11.6967,54406479.57625
2020-02-08,11.6984,34872503.295972
2020-02-09,11.7025,35859242.327942
2020-02-10,11.8387,49904742.917063
2020-02-11,11.96,47880505.30649
2020-02-12,12.2074,42412319.984164
2020-02-13,12.055,76491907.874987
2020-02-14,12.0094,25614031.020439
2020-02-15,10.4066,64131408.169838
2020-02-16,9.5637,69443956.708117
2020-02-17,9.6792,66469775.707414
2020-02-18,9.8629,38350494.018398
2020-02-19,8.813,28219911.811229
2020-02-20,8.8702,33199910.39091
2020-02-21,9.4157,38782468.185022
2020-02-22,9.4958,23866620.912986
2020-02-23,9.7439,23175054.142128
2020-02-24,9.3481,24328690.059274
2020-02-25,9.1742,21186824.363742
2020-02-26,7.6823,58703813.398917
2020-02-27,7.7166,37188715.990986
2020-02-28,7.4529,30941717.198476
2020-02-29,7.354,16894519.175555
2020-03-01,7.7346,28265319.111045
2020-03-02,8.456,35953337.904261
2020-03-03,8.4782,33752541.223141
