date,close,volume_usd
2021-09-13,0.04721,333987929.17604
2021-09-14,0.04389,69187279.78183
2021-09-15,0.05141,49658851.52788
2021-09-16,0.10014,1443127667.25397
2021-09-17,0.1167,524843532.12962
2021-09-18,0.11561,709903580.4565
2021-09-19,0.1101,312915059.17289
2021-09-20,0.0903,261496687.67405
2021-09-21,0.09919,355157558.73513
2021-09-22,0.10786,211111412.59893
2021-09-23,0.11261,214980033.3984
2021-09-24,0.0971,176710731.85518
2021-09-25,0.09247,86202307.83893
2021-09-26,0.08788,108156927.94673
2021-09-27,0.08421,86176030.27896
2021-09-28,0.07673,56204988.57007
2021-09-29,0.08354,83112837.44521
2021-09-30,0.10046,162871671.34017
2021-10-01,0.10047,184898228.82601
2021-10-02,0.1014,136516733.22282
2021-10-03,0.11402,276430841.22274
2021-10-04,0.11244,172238243.63073
2021-10-05,0.10477,88062503.39205
2021-10-06,0.09906,92114185.76842
2021-10-07,0.09635,69352285.28251
2021-10-08,0.09948,73020245.66739
2021-10-09,0.09929,64428339.21517
2021-10-10,0.09052,48764288.82353
2021-10-11,0.08885,50253220.41256
2021-10-12,0.0859,69648561.70267
2021-10-13,0.08465,64109354.29938
2021-10-14,0.09169,111690424.32833
2021-10-15,0.08887,83772320.33191
2021-10-16,0.08653,47270242.12798
2021-10-17,0.08374,44829507.08568
2021-10-18,0.08335,23616068.07372
2021-10-19,0.08324,16661841.40022
2021-10-20,0.08666,43261027.08972
2021-10-21,0.08346,37053463.90073
2021-10-22,0.08379,22531007.64705
2021-10-23,0.08416,16410081.52846
2021-10-24,0.08161,25543488.67466
2021-10-25,0.08451,21608381.45081
2021-10-26,0.09032,49822403.50766
2021-10-27,0.07501,121627740.86997
2021-10-28,0.081,63278925.84013
2021-10-29,0.09248,137944924.51315
2021-10-30,0.10484,226939754.72394
2021-10-31,0.0954,107019750.4138
2021-11-01,0.09104,54219736.65966
2021-11-02,0.09793,96252211.56586
2021-11-03,0.09519,56999526.52243
2021-11-04,0.09191,33904202.99212
2021-11-05,0.09131,24562160.96417
2021-11-06,0.09061,24864270.94745
2021-11-07,0.09049,15481393.81909
2021-11-08,0.09299,19582402.49376
2021-11-09,0.08934,21932876.79425
2021-11-10,0.08203,38375700.48013
2021-11-11,0.08602,20571526.64702
2021-11-12,0.08418,27036305.49107
2021-11-13,0.09418,105460089.0446
2021-11-14,0.09329,42508309.15493
2021-11-15,0.12529,220598147.72193
2021-11-16,0.11473,553921310.31745
2021-11-17,0.23017,1446877023.50878
2021-11-18,0.22883,1218961012.4576
2021-11-19,0.2343,617189609.39063
2021-11-20,0.35409,1543320691.59867
2021-11-21,0.3701,1451734858.06655
2021-11-22,0.39243,756509627.58402
2021-11-23,0.37716,403051298.55569
2021-11-24,0.58278,1430430135.30134
2021-11-25,0.74223,2705504030.83826
2021-11-26,0.711,2004670574.40447
2021-11-27,0.66022,783679378.21686
2021-11-28,0.711,913950655.59064
2021-11-29,0.65046,673791447.15337
2021-11-30,0.6211,474545313.12309
2021-12-01,0.64483,446125452.94469
2021-12-02,0.59407,375436420.12183
2021-12-03,0.50698,384403370.87212
2021-12-04,0.55865,805542675.24868
2021-12-05,0.48601,640019641.82601
2021-12-06,0.50855,421540562.79525
2021-12-07,0.47687,320290287.0323
2021-12-08,0.50237,214442554.83909
2021-12-09,0.49506,622128434.05719
2021-12-10,0.48,317115170.63408
2021-12-11,0.56844,513310531.28849
2021-12-12,0.59163,681699575.73691
2021-12-13,0.50583,472181022.54943
2021-12-14,0.50414,373304219.97273
2021-12-15,0.50103,354235377.4706
2021-12-16,0.46689,241522120.94311
2021-12-17,0.45267,276917271.36773
2021-12-18,0.46508,216053025.55803
2021-12-19,0.44395,178185697.14519
2021-12-20,0.43057,189774236.08399
2021-12-21,0.44119,134791162.18269
2021-12-22,0.43782,154689249.07485
2021-12-23,0.51336,371202372.75475
2021-12-24,0.47224,253950831.88527
2021-12-25,0.49766,201334644.62709
2021-12-26,0.51133,222187610.09052
2021-12-27,0.53676,286957907.4784
2021-12-28,0.46649,321747612.38197
2021-12-29,0.44994,213665112.64193
2021-12-30,0.46216,232795903.89551
2021-12-31,0.45045,167435298.55682
2022-01-01,0.46142,105311261.12462
2022-01-02,0.45661,118420293.97736
2022-01-03,0.44124,126833257.80588
2022-01-04,0.42579,165515169.98281
2022-01-05,0.3774,273892322.63461
2022-01-06,0.383,263214419.0257
2022-01-07,0.34424,249092206.90446
2022-01-08,0.31477,164895953.54139
2022-01-09,0.328,140378765.05649
2022-01-10,0.30685,167550487.40788
2022-01-11,0.321,119545693.80172
2022-01-12,0.35927,185759405.17156
2022-01-13,0.32659,197748978.99866
2022-01-14,0.32465,136914673.5316
2022-01-15,0.33546,146104530.578
2022-01-16,0.32877,129576093.40101
2022-01-17,0.30424,131696317.64665
2022-01-18,0.29995,168006441.18199
2022-01-19,0.278,113389686.23369
2022-01-20,0.26141,114057017.45483
2022-01-21,0.21581,246985119.11934
2022-01-22,0.18119,299768592.21589
2022-01-23,0.19614,165567954.78846
2022-01-24,0.1849,164967289.23836
2022-01-25,0.18687,107091657.63217
2022-01-26,0.21038,228108435.78614
2022-01-27,0.18816,166034436.87148
2022-01-28,0.18993,95292374.22774
2022-01-29,0.19233,98991866.77545
2022-01-30,0.18964,170966983.04722
2022-01-31,0.19794,114593400.05984
2022-02-01,0.20563,134049039.80113
2022-02-02,0.18635,118842929.15611
2022-02-03,0.18734,119397063.65205
2022-02-04,0.20176,122803054.41579
2022-02-05,0.29236,575628770.84542
2022-02-06,0.32019,849564422.0894
2022-02-07,0.34795,729213930.36638
2022-02-08,0.38096,517812182.82332
2022-02-09,0.35829,448495669.62062
2022-02-10,0.32716,371142506.53052
2022-02-11,0.30619,286687206.04515
2022-02-12,0.3093,247665231.09854
2022-02-13,0.2807,188273793.4893
2022-02-14,0.2949,253979835.51075
2022-02-15,0.35601,461546050.02632
2022-02-16,0.332,330419767.17877
2022-02-17,0.30167,313487995.58416
2022-02-18,0.28955,269627635.96296
2022-02-19,0.28157,181941069.67247
2022-02-20,0.25015,253831952.05342
2022-02-21,0.22441,367238908.20187
2022-02-22,0.24224,305850797.17216
2022-02-23,0.21776,305221898.77426
2022-02-24,0.22772,531552344.99117
2022-02-25,0.25868,404095876.53159
2022-02-26,0.24907,246351744.06125
2022-02-27,0.23194,215869626.06563
2022-02-28,0.26064,264279191.16557
2022-03-01,0.25858,384759531.18885
2022-03-02,0.25443,266411774.83258
2022-03-03,0.24354,164100295.22954
2022-03-04,0.22294,173603032.70098
2022-03-05,0.23177,112303964.24643
2022-03-06,0.21614,133205285.86787
2022-03-07,0.21475,150672739.50833
2022-03-08,0.21959,153626345.79708
2022-03-09,0.23272,155900525.70092
2022-03-10,0.21728,117987000.84827
2022-03-11,0.21147,101967443.91654
2022-03-12,0.2139,63998450.42058
2022-03-13,0.21685,239512455.77323
2022-03-14,0.21994,122237638.27062
2022-03-15,0.21466,93866358.3514
2022-03-16,0.23885,174844051.80254
2022-03-17,0.22694,147528981.92017
2022-03-18,0.22978,129053632.46745
2022-03-19,0.24879,226522109.16761
2022-03-20,0.234,177824935.96719
2022-03-21,0.23576,143188856.55598
2022-03-22,0.24122,210991402.96193
2022-03-23,0.24933,171894114.36595
2022-03-24,0.25329,237526850.94451
2022-03-25,0.24497,276634060.42345
2022-03-26,0.25159,102788450.04908
2022-03-27,0.2633,133267046.05331
2022-03-28,0.26282,357366334.12788
2022-03-29,0.27092,231453572.05123
2022-03-30,0.27219,206060717.89124
2022-03-31,0.25436,244947253.8194
2022-04-01,0.26177,202931351.5402
2022-04-02,0.25452,187463350.58494
2022-04-03,0.26642,113802938.48815
2022-04-04,0.25665,120021315.45366
2022-04-05,0.2484,111404657.61937
2022-04-06,0.22008,168646477.28163
2022-04-07,0.22783,96564989.57245
2022-04-08,0.21376,75649207.28056
2022-04-09,0.22585,51261818.06523
2022-04-10,0.21493,51291757.72272
2022-04-11,0.19275,119856948.95121
2022-04-12,0.20154,87140501.52703
2022-04-13,0.20723,59703077.66005
2022-04-14,0.19789,61648779.24388
2022-04-15,0.20153,35846911.02875
2022-04-16,0.20274,40167523.98123
2022-04-17,0.19215,46402668.38198
2022-04-18,0.19481,94402371.07598
2022-04-19,0.19974,82797939.29393
2022-04-20,0.19593,126733217.70862
2022-04-21,0.18933,93508890.50725
2022-04-22,0.19213,60370270.20905
2022-04-23,0.18777,32288165.58412
2022-04-24,0.18667,34362632.47191
2022-04-25,0.18234,86082638.17427
2022-04-26,0.16425,60005270.26395
2022-04-27,0.17273,44914755.08461
2022-04-28,0.169,58997185.61759
2022-04-29,0.15519,60766323.44335
2022-04-30,0.13155,80862243.78452
2022-05-01,0.1427,87652234.14493
2022-05-02,0.13565,63688553.61677
2022-05-03,0.13662,59676865.24931
2022-05-04,0.16189,122823011.69028
2022-05-05,0.13891,129726051.40407
2022-05-06,0.14375,104451521.35723
2022-05-07,0.13561,62878309.17084
2022-05-08,0.13066,59315289.55629
2022-05-09,0.103,117990967.52932
2022-05-10,0.10882,152033072.63301
2022-05-11,0.06594,187452901.29031
2022-05-12,0.06841,124030754.84639
2022-05-13,0.09194,326522232.92372
2022-05-14,0.09963,141222847.65633
2022-05-15,0.1004,98113628.3129
2022-05-16,0.08621,104943405.68776
2022-05-17,0.08928,72792958.42548
2022-05-18,0.0779,70846480.10836
2022-05-19,0.08588,78693806.2886
2022-05-20,0.0821,72864900.73291
2022-05-21,0.08571,44421477.53627
2022-05-22,0.08475,49585334.64695
2022-05-23,0.08031,70151961.45031
2022-05-24,0.08351,53773349.23603
2022-05-25,0.08023,51773365.14998
2022-05-26,0.07303,81938047.53443
2022-05-27,0.07028,70115633.21403
2022-05-28,0.07251,28868311.96345
