date,close,volume_usd
2021-05-11,364.01,764591899.9366
2021-05-12,258.02,414516365.258
2021-05-13,301.44,243652043.4392
2021-05-14,304.13,146787243.0804
2021-05-15,246.06,147323891.1646
2021-05-16,225.19,121367602.5974
2021-05-17,195.59,107177156.0652
2021-05-18,163.47,125077388.7359
2021-05-19,122.79,174228543.6153
2021-05-20,164.15,665313473.3124
2021-05-21,145.88,320708922.0478
2021-05-22,146.23,173888916.3315
2021-05-23,143.94,204307112.2197
2021-05-24,147.67,185818253.9957
2021-05-25,134.04,141857129.5933
2021-05-26,142.67,153196202.0234
2021-05-27,132.12,92965129.4319
2021-05-28,115.65,99865787.7746
2021-05-29,110.75,56100383.8738
2021-05-30,111.9,50731679.7164
2021-05-31,114.65,55088922.2222
2021-06-01,107.58,46351813.5332
2021-06-02,108.01,86248012.3969
2021-06-03,124.54,202294195.3119
2021-06-04,108.78,151013113.2644
2021-06-05,104.55,81864643.5602
2021-06-06,104.49,54100304.566
2021-06-07,91.13,82093920.624
2021-06-08,81.31,92100852.9555
2021-06-09,81.55,100763768.3205
2021-06-10,66.57,152652152.2398
2021-06-11,58.49,137189815.2857
2021-06-12,61.08,128861473.3249
2021-06-13,64.45,125963640.7236
2021-06-14,66.69,104997053.1333
2021-06-15,60.39,113215344.468
2021-06-16,55.34,75387425.4721
2021-06-17,54.09,76137054.7503
2021-06-18,48.44,66065252.3896
2021-06-19,48.62,88358981.5682
2021-06-20,47.1,69289982.8288
2021-06-21,36.61,100108832.5988
2021-06-22,34.54,83181244.8916
2021-06-23,37.75,82759657.4462
2021-06-24,34.6,79276516.8743
2021-06-25,31.13,74667578.3225
2021-06-26,30.34,70046158.1104
2021-06-27,43.0,174264118.1449
2021-06-28,51.26,256657188.2272
2021-06-29,54.22,275033025.5053
2021-06-30,49.94,301142999.052
2021-07-01,45.69,157749664.7182
2021-07-02,43.87,106081355.3356
2021-07-03,48.74,116197398.2953
2021-07-04,46.71,103114128.5534
2021-07-05,46.22,97641278.5149
2021-07-06,46.2,78391547.5293
2021-07-07,45.37,69079875.3977
2021-07-08,40.28,72182997.6453
2021-07-09,40.6,55251874.2786
2021-07-10,38.64,46984461.501
2021-07-11,39.71,42857708.9012
2021-07-12,37.22,39956673.8383
2021-07-13,38.92,55032313.9817
2021-07-14,36.89,78155089.1548
2021-07-15,35.96,49864303.6842
2021-07-16,32.37,38383594.9323
2021-07-17,32.27,32370532.7943
2021-07-18,32.36,29810968.3105
2021-07-19,30.92,27185495.2752
2021-07-20,28.53,39421073.8783
2021-07-21,33.51,72362762.054
2021-07-22,33.75,91925977.6699
2021-07-23,34.65,57723882.9649
2021-07-24,43.48,190987005.1016
2021-07-25,42.6,187234119.0513
2021-07-26,40.6,175724633.1295
2021-07-27,41.01,127386432.7376
2021-07-28,40.75,101186780.7098
2021-07-29,41.25,54189550.4173
2021-07-30,42.19,71647299.1132
2021-07-31,41.97,77080771.1235
2021-08-01,40.87,79942281.2222
2021-08-02,40.18,52872885.1566
2021-08-03,38.53,53771285.9231
2021-08-04,39.32,53966659.4046
2021-08-05,42.1,64430274.7507
2021-08-06,48.27,213614866.9266
2021-08-07,61.65,444320301.0244
2021-08-08,55.27,228467362.8636
2021-08-09,64.25,365380628.4987
2021-08-10,71.6,429821927.1792
2021-08-11,67.16,327185733.1029
2021-08-12,64.18,243085920.1534
2021-08-13,68.23,153975394.466
2021-08-14,64.2,152591995.7883
2021-08-15,63.4,139771398.7167
2021-08-16,61.06,195762870.181
2021-08-17,56.05,176746174.4758
2021-08-18,58.53,153603705.1969
2021-08-19,67.15,300757677.0566
2021-08-20,67.91,192046492.2029
2021-08-21,64.58,122715488.9805
2021-08-22,64.59,88236509.994
2021-08-23,65.62,107263161.0987
2021-08-24,59.23,114180114.8284
2021-08-25,62.18,133595139.9439
2021-08-26,56.45,139960163.8684
2021-08-27,62.7,164707723.9302
2021-08-28,65.08,214564311.0178
2021-08-29,72.0,324837598.5564
2021-08-30,64.73,287653395.3305
2021-08-31,62.78,191697536.2766
2021-09-01,66.24,143036837.8949
2021-09-02,64.58,143038530.061
2021-09-03,65.82,136144665.2958
2021-09-04,78.3,314056834.3602
2021-09-05,79.33,409263279.2802
2021-09-06,79.55,333065620.316
2021-09-07,61.23,418982010.0133
2021-09-08,61.58,203684644.5451
2021-09-09,60.82,182444346.898
2021-09-10,56.91,154337456.8258
2021-09-11,58.1,122528164.7649
2021-09-12,59.43,100692198.4622
2021-09-13,55.06,115894604.8966
2021-09-14,56.93,77052437.443
2021-09-15,61.37,88386800.6805
2021-09-16,57.93,76765371.6324
2021-09-17,56.45,55606197.0933
2021-09-18,58.6,72432788.2006
2021-09-19,57.16,43403586.3472
2021-09-20,47.58,122668246.3969
2021-09-21,44.79,88641843.8485
2021-09-22,49.89,74761407.5748
2021-09-23,50.56,73610844.0004
2021-09-24,46.11,107725826.7525
2021-09-25,45.79,47536603.8338
2021-09-26,43.69,89172040.4621
2021-09-27,42.46,66441199.5145
2021-09-28,40.87,40453231.6306
2021-09-29,44.4,62467278.2732
2021-09-30,45.09,49007702.4707
2021-10-01,51.68,87878780.1759
2021-10-02,49.57,69901743.1407
2021-10-03,50.32,64260660.9244
2021-10-04,48.96,63901403.4569
2021-10-05,54.44,188145232.5423
2021-10-06,52.74,124659885.8095
2021-10-07,50.95,111856379.3336
2021-10-08,49.2,113533188.7562
2021-10-09,49.56,84698389.3388
2021-10-10,44.91,93387508.9957
2021-10-11,45.0,84204406.7809
2021-10-12,43.18,96848280.0342
2021-10-13,43.17,92838392.2403
2021-10-14,42.91,103944782.9283
2021-10-15,43.12,117676845.6421
2021-10-16,45.96,152858011.6212
2021-10-17,44.11,101035113.4767
2021-10-18,43.85,70920139.9136
2021-10-19,43.77,73408854.7318
2021-10-20,46.94,102200149.085
2021-10-21,44.67,116186860.8398
2021-10-22,45.02,66346826.1662
2021-10-23,45.43,47968849.5251
2021-10-24,43.32,59265857.8583
2021-10-25,48.74,109625559.6402
2021-10-26,46.8,161759977.2312
2021-10-27,40.68,180193995.943
2021-10-28,43.19,106133622.1254
2021-10-29,45.41,90142817.1634
2021-10-30,43.38,70809243.1451
2021-10-31,44.96,128562698.8474
