date,close,volume_usd
2019-01-01,31.48,3162741.4467664
2019-01-02,32.67,3805773.1198366
2019-01-03,31.39,2982980.2248225
2019-01-04,31.76,3437486.3851984
2019-01-05,34.33,11471296.9699548
2019-01-06,38.3,28298586.9009635
2019-01-07,37.35,16797767.6556064
2019-01-08,38.7,20322945.3312497
2019-01-09,38.17,12104357.4442312
2019-01-10,32.81,19980421.46609
2019-01-11,31.49,11268415.5174647
2019-01-12,31.65,5640569.2458151
2019-01-13,29.59,7075842.0712984
2019-01-14,31.71,7925720.2735823
2019-01-15,30.75,6784015.4244266
2019-01-16,31.29,4789334.1418824
2019-01-17,31.4,6238519.8934698
2019-01-18,30.77,4659547.3864997
2019-01-19,32.0,5273505.545043
2019-01-20,30.64,7815412.7300217
2019-01-21,30.82,3392716.0542585
2019-01-22,31.41,6183272.8098907
2019-01-23,31.69,3920165.8017895
2019-01-24,32.51,4453091.2945143
2019-01-25,32.69,5485967.9294638
2019-01-26,32.8,5537195.8890435
2019-01-27,32.21,5628213.3201342
2019-01-28,30.94,8275485.9723247
2019-01-29,30.81,4168438.6557358
2019-01-30,31.68,4046024.3723204
2019-01-31,31.41,4881672.9566493
2019-02-01,32.65,10864529.5873272
2019-02-02,34.59,8939273.973636
2019-02-03,33.44,11802330.6146259
2019-02-04,34.09,7014206.2681502
2019-02-05,34.34,7321284.8808597
2019-02-06,32.79,10273847.9600226
2019-02-07,33.24,4798854.8184626
2019-02-08,42.99,48819159.693489
2019-02-09,44.68,43845377.3617417
2019-02-10,46.79,30084786.2181325
2019-02-11,42.9,25000654.7153878
2019-02-12,43.89,14181167.7324087
2019-02-13,41.61,14169773.6990322
2019-02-14,41.26,11825040.1861124
2019-02-15,42.58,16519445.9920431
2019-02-16,43.34,14225774.1208697
2019-02-17,43.91,14459368.8381966
2019-02-18,47.84,34349598.9758269
2019-02-19,47.14,19350985.317177
2019-02-20,51.5,28402239.4220076
2019-02-21,48.94,18972966.8701831
2019-02-22,49.19,13079846.878828
2019-02-23,51.4,20597303.0431109
2019-02-24,43.75,32440229.6963062
2019-02-25,45.4,16992487.3052862
2019-02-26,44.76,9886505.2314402
2019-02-27,45.16,9964616.9874317
2019-02-28,45.61,11834468.51228
2019-03-01,47.05,15914635.4786478
2019-03-02,48.49,15618945.7813467
2019-03-03,47.86,10525909.3067072
2019-03-04,45.78,14131761.4970669
2019-03-05,52.52,40660412.2179829
