date,close,volume_usd
2020-07-09,2.956,2454151.510231
2020-07-10,2.921,966689.614323
2020-07-11,2.809,795700.732691
2020-07-12,2.78,747322.213203
2020-07-13,2.541,1133830.518097
2020-07-14,2.747,1184957.558269
2020-07-15,3.05,2068763.421298
2020-07-16,3.097,2408785.952901
2020-07-17,3.308,2827517.062961
2020-07-18,3.371,1272997.172879
2020-07-19,3.297,1251368.842593
2020-07-20,3.849,5538501.277402
2020-07-21,3.479,2698341.826699
2020-07-22,3.479,1411773.058173
2020-07-23,3.35,1430906.876265
2020-07-24,3.337,1872537.180625
2020-07-25,3.541,1212433.307492
2020-07-26,3.155,2098234.911125
2020-07-27,2.869,2785942.410867
2020-07-28,3.372,2791479.956254
2020-07-29,3.273,1755935.847969
2020-07-30,3.547,2851749.471678
2020-07-31,3.952,3631515.95974
2020-08-01,3.793,4803685.534621
2020-08-02,4.266,5186962.450348
2020-08-03,4.148,3663272.099857
2020-08-04,4.47,4409353.282805
2020-08-05,4.339,2056941.114651
2020-08-06,4.45,1883378.93223
2020-08-07,4.297,1457925.220061
2020-08-08,4.349,1270426.335154
2020-08-09,4.241,1641258.573919
2020-08-10,4.822,4013371.135036
2020-08-11,4.879,3220923.269674
2020-08-12,5.643,8436926.450834
2020-08-13,5.072,8857056.444221
2020-08-14,6.15,13181277.657967
2020-08-15,6.859,26259447.601037
2020-08-16,6.405,6642859.222773
2020-08-17,6.177,7803010.424367
2020-08-18,6.145,8374472.494837
2020-08-19,6.091,11211579.543713
2020-08-20,6.175,10193055.918225
2020-08-21,5.315,7593811.141913
2020-08-22,5.831,5735456.6162
2020-08-23,5.678,4455087.765629
2020-08-24,6.231,5624629.033089
2020-08-25,5.867,8373554.055993
2020-08-26,6.121,7495852.607462
2020-08-27,6.093,7865776.257425
2020-08-28,6.866,15544429.801562
2020-08-29,6.529,6485663.55144
2020-08-30,7.301,12231238.790227
2020-08-31,7.336,13338930.285639
2020-09-01,7.104,15451325.733796
2020-09-02,6.383,10674488.310053
2020-09-03,5.255,10404424.448429
2020-09-04,5.332,8076649.782907
2020-09-05,4.472,10653612.579133
2020-09-06,4.955,8035748.416809
2020-09-07,4.644,5290493.429421
2020-09-08,4.246,4200802.764732
2020-09-09,4.994,6449547.378984
2020-09-10,5.725,6923050.426394
2020-09-11,5.985,6997836.742564
2020-09-12,6.131,5263095.878454
2020-09-13,5.388,6918290.739176
2020-09-14,5.188,4216028.763264
2020-09-15,4.492,7644970.400978
2020-09-16,4.794,8680172.534381
2020-09-17,4.487,6516475.674182
2020-09-18,4.554,5281230.064273
2020-09-19,4.299,4721774.564494
2020-09-20,4.19,3283547.813361
2020-09-21,3.618,7390770.316083
2020-09-22,4.282,4436967.863273
2020-09-23,3.7,4533714.68074
2020-09-24,4.407,5850333.430374
2020-09-25,4.915,8771340.952657
2020-09-26,5.221,4210056.078001
2020-09-27,5.157,8147147.137811
2020-09-28,4.94,6575373.647351
2020-09-29,4.968,3292692.456604
2020-09-30,4.738,4478411.205435
2020-10-01,4.692,3602269.99497
2020-10-02,4.413,3884194.72719
2020-10-03,4.38,1257436.376003
2020-10-04,4.383,1816303.8082
2020-10-05,4.186,1149551.569636
2020-10-06,3.635,3832852.457738
2020-10-07,3.941,3095701.669128
2020-10-08,3.957,3769738.545503
2020-10-09,4.294,4515070.047464
2020-10-10,4.296,2693689.642709
2020-10-11,4.172,2106457.314503
2020-10-12,4.637,3815957.152761
2020-10-13,4.506,2378299.584903
2020-10-14,4.273,1990190.384573
2020-10-15,3.912,3081522.059774
2020-10-16,3.913,2502648.080401
2020-10-17,3.96,639443.270286
2020-10-18,3.957,872019.008486
2020-10-19,3.725,1400759.091378
2020-10-20,3.702,2921201.775838
2020-10-21,3.517,3095425.555802
2020-10-22,3.894,3437751.792835
2020-10-23,3.802,1793353.910968
2020-10-24,3.774,934763.281872
2020-10-25,3.655,1284778.087289
2020-10-26,3.543,2048355.173385
2020-10-27,3.551,1642980.153464
2020-10-28,3.591,3214208.562472
2020-10-29,3.24,2711205.197902
2020-10-30,3.102,3173808.911878
2020-10-31,3.017,699455.265007
2020-11-01,2.904,2010411.881187
2020-11-02,2.612,1952897.131087
2020-11-03,2.571,1218931.706473
2020-11-04,2.727,1265847.971786
2020-11-05,3.161,4754784.598308
2020-11-06,3.535,7464737.549687
2020-11-07,3.761,12509778.513973
2020-11-08,4.409,9070189.902911
2020-11-09,4.243,7521828.341501
2020-11-10,4.672,7075646.922732
2020-11-11,3.997,5115223.364952
2020-11-12,3.762,5225834.852185
2020-11-13,4.222,7779242.137242
2020-11-14,4.31,6361902.418938
2020-11-15,4.125,8248205.973154
2020-11-16,4.423,5258906.603511
2020-11-17,5.074,11234266.759159
2020-11-18,4.875,8067560.38548
2020-11-19,4.992,7557800.191932
2020-11-20,5.13,10517853.076555
2020-11-21,5.255,5720797.965878
2020-11-22,5.002,7512309.149727
2020-11-23,5.452,6029740.401462
2020-11-24,5.239,7439760.025118
2020-11-25,4.823,6164841.499509
2020-11-26,4.334,16902640.708077
2020-11-27,4.124,6328851.274198
2020-11-28,4.264,3548883.266451
2020-11-29,4.551,3629518.977691
2020-11-30,4.74,6317027.545793
2020-12-01,4.744,7180309.088375
2020-12-02,5.265,7270750.976574
2020-12-03,5.238,4311525.023905
2020-12-04,4.951,8289343.028632
2020-12-05,5.218,7071868.020699
2020-12-06,5.152,4543247.742931
2020-12-07,5.2,4438224.345804
2020-12-08,4.671,10085721.541247
2020-12-09,4.859,8404626.808293
2020-12-10,4.623,3957188.939351
2020-12-11,4.348,3502307.210348
2020-12-12,4.458,2441561.275715
2020-12-13,4.751,1948872.912658
2020-12-14,5.25,8050608.978152
2020-12-15,5.469,12852595.922221
2020-12-16,5.276,8504089.38301
2020-12-17,5.294,10981219.419339
2020-12-18,6.12,23287685.653471
2020-12-19,6.125,11298997.854406
2020-12-20,5.963,6574640.355761
2020-12-21,6.136,9089051.776345
2020-12-22,7.202,35698294.975719
2020-12-23,7.115,52518075.78228
2020-12-24,7.48,19726746.155846
2020-12-25,7.341,14178114.163744
2020-12-26,8.022,33183657.050584
2020-12-27,8.069,24821533.204945
2020-12-28,8.0,17489212.004751
2020-12-29,7.786,11673493.117374
2020-12-30,7.327,9550023.282332
2020-12-31,7.23,9630842.75298
2021-01-01,8.308,15431300.908204
2021-01-02,8.192,9899334.974619
2021-01-03,9.539,16207074.408856
2021-01-04,11.492,28345028.089197
2021-01-05,12.381,37535899.463589
2021-01-06,12.129,23569183.965724
2021-01-07,11.579,20664834.059525
2021-01-08,11.804,23340517.829851
2021-01-09,13.1,22648968.210928
2021-01-10,14.116,37880876.185705
2021-01-11,12.891,38040093.183953
2021-01-12,14.888,61475455.097862
2021-01-13,15.501,60305415.38256
2021-01-14,14.711,36091708.817633
2021-01-15,15.127,36861601.196363
2021-01-16,15.56,42218678.25596
2021-01-17,15.68,24321147.959243
2021-01-18,15.582,16065394.106393
2021-01-19,15.151,25710380.811696
2021-01-20,15.734,17574963.270746
2021-01-21,12.337,26970067.866308
2021-01-22,14.228,24902451.420991
2021-01-23,14.608,16705721.19764
2021-01-24,17.5,44439423.401662
2021-01-25,15.47,38274632.593977
2021-01-26,16.875,26374667.07089
2021-01-27,15.265,36935263.308925
2021-01-28,16.892,32536193.838338
2021-01-29,17.025,30538438.961542
2021-01-30,17.859,28861636.084467
2021-01-31,17.194,37582964.021498
2021-02-01,17.54,22570390.746211
2021-02-02,17.032,25642363.833594
2021-02-03,17.129,24315844.427671
2021-02-04,19.644,76020038.94381
2021-02-05,23.61,70197491.584904
2021-02-06,21.07,52116855.26448
2021-02-07,20.051,33253586.985693
2021-02-08,21.331,43124803.503654
2021-02-09,24.618,70716654.148987
2021-02-10,25.078,77737269.23102
2021-02-11,26.086,46448803.342795
2021-02-12,27.132,44508674.343228
2021-02-13,26.353,40058895.291724
2021-02-14,25.02,44618578.376389
2021-02-15,24.597,44698548.051176
2021-02-16,24.072,37914254.362046
2021-02-17,24.255,35035321.027088
2021-02-18,23.155,27140774.634007
2021-02-19,22.292,33482038.601062
2021-02-20,23.194,55878140.323286
2021-02-21,22.828,23431752.932617
2021-02-22,20.992,41880599.064931
2021-02-23,18.158,64262631.617267
2021-02-24,19.16,30363151.208597
2021-02-25,18.309,32660315.968466
2021-02-26,17.997,28238757.421117
2021-02-27,18.784,20451706.715262
2021-02-28,18.727,21627296.092866
2021-03-01,20.671,23925099.586573
2021-03-02,22.45,37314439.813819
2021-03-03,22.538,20698682.583777
2021-03-04,21.473,29196866.931181
2021-03-05,20.745,14264253.19049
2021-03-06,21.244,9189230.10608
2021-03-07,21.73,10819531.731188
2021-03-08,21.873,10068105.087407
2021-03-09,22.659,14293159.737025
2021-03-10,21.609,19690986.096987
2021-03-11,20.82,20308998.524211
2021-03-12,19.453,23911174.53852
2021-03-13,20.469,14052358.643354
2021-03-14,19.395,13974675.501997
2021-03-15,18.919,12869136.936811
2021-03-16,18.727,10778688.804923
2021-03-17,19.203,11634614.113672
2021-03-18,18.552,10623781.195154
2021-03-19,19.871,12451998.716283
2021-03-20,19.792,17921811.468465
2021-03-21,19.523,10814155.651137
2021-03-22,18.027,14039601.758834
2021-03-23,17.422,13144569.657358
2021-03-24,16.095,16318789.1482
2021-03-25,16.12,13509172.182622
2021-03-26,17.469,9243483.273889
2021-03-27,17.136,8837092.498367
2021-03-28,16.469,10028046.411809
2021-03-29,17.78,13068043.596377
2021-03-30,17.533,9545627.407524
2021-03-31,17.658,12748546.478676
2021-04-01,19.179,22790648.980704
2021-04-02,21.415,32106413.466873
2021-04-03,19.27,20102208.207623
2021-04-04,20.648,15216782.979463
2021-04-05,20.738,15488435.825674
2021-04-06,22.056,25836571.21119
2021-04-07,19.394,25192728.10496
2021-04-08,19.901,12241553.939081
2021-04-09,19.421,11027021.468075
2021-04-10,18.994,12696285.875867
2021-04-11,18.989,12431292.647692
2021-04-12,19.591,19666288.779833
2021-04-13,19.115,17377038.29609
2021-04-14,20.023,39350550.032887
2021-04-15,22.025,39551796.292445
2021-04-16,20.851,36079131.149042
2021-04-17,20.224,20974495.147259
2021-04-18,18.014,37625056.084193
2021-04-19,15.981,22689680.457802
2021-04-20,16.818,20377646.837256
2021-04-21,15.859,21253622.966341
2021-04-22,15.289,27621452.990103
2021-04-23,14.877,28552851.058289
2021-04-24,13.733,10316636.72911
2021-04-25,14.127,8038581.339282
2021-04-26,16.118,15618951.383908
2021-04-27,17.12,15964535.190552
2021-04-28,16.818,14570211.021109
2021-04-29,17.703,17927038.337654
2021-04-30,18.197,16536052.04512
2021-05-01,18.17,14579358.646459
2021-05-02,17.332,16999424.346474
2021-05-03,18.869,35098255.585537
2021-05-04,16.47,27527492.89562
2021-05-05,17.677,18142602.15055
2021-05-06,18.427,35982154.840921
2021-05-07,18.772,68800934.333375
2021-05-08,18.402,23391536.637609
2021-05-09,17.804,18636071.085357
2021-05-10,16.257,24548817.263345
2021-05-11,18.398,22258566.410936
2021-05-12,17.995,151596205.456183
2021-05-13,18.494,185615602.622677
2021-05-14,21.162,115118147.253399
2021-05-15,19.216,74775805.212331
2021-05-16,18.862,41110726.23478
2021-05-17,20.482,86937330.326815
2021-05-18,23.352,161235350.634867
2021-05-19,14.301,135417730.976134
2021-05-20,16.184,60719315.990761
2021-05-21,16.38,114833987.285782
2021-05-22,14.924,70911347.355487
2021-05-23,11.742,57460676.057116
2021-05-24,13.903,32619389.436539
2021-05-25,13.628,24005232.250564
2021-05-26,14.568,19570223.872482
2021-05-27,13.346,13337576.647641
2021-05-28,11.954,16525323.784278
2021-05-29,10.901,11066085.691682
2021-05-30,11.753,9845180.668757
2021-05-31,13.316,13066463.222766
2021-06-01,12.689,9586421.263704
2021-06-02,12.824,8652551.568393
2021-06-03,13.546,16275930.747965
2021-06-04,12.215,12512354.50778
2021-06-05,11.641,9293318.09268
2021-06-06,11.913,6213841.330714
2021-06-07,10.821,9640142.628187
2021-06-08,10.4,15265794.79147
2021-06-09,10.891,12207949.156822
2021-06-10,9.925,9665806.615012
2021-06-11,8.643,49462432.062659
2021-06-12,8.471,14863386.317721
2021-06-13,9.137,11286256.101889
2021-06-14,10.084,18033252.573626
2021-06-15,9.725,17191536.390872
2021-06-16,9.068,10568456.143197
2021-06-17,9.011,7490376.00117
2021-06-18,8.317,9269042.22972
2021-06-19,8.082,6683498.683924
2021-06-20,8.47,10028868.830403
2021-06-21,6.55,15649551.853795
2021-06-22,6.343,16345205.636821
2021-06-23,6.652,8145931.383752
2021-06-24,6.612,8668409.090246
2021-06-25,5.807,12645256.669026
2021-06-26,5.956,6718629.051294
2021-06-27,6.42,5721382.010323
2021-06-28,7.013,7926253.587653
2021-06-29,7.201,9828929.623069
2021-06-30,7.348,6749813.880608
2021-07-01,6.831,5546312.456993
2021-07-02,6.915,3687453.106775
2021-07-03,7.287,5441194.316292
2021-07-04,8.598,20460570.606757
2021-07-05,10.599,108476439.606414
2021-07-06,11.194,115794578.978911
2021-07-07,10.771,37440041.998439
2021-07-08,9.611,26229170.176151
2021-07-09,11.472,78049084.873813
2021-07-10,11.039,31238227.150072
2021-07-11,12.425,54120726.351501
2021-07-12,12.097,71789949.312697
2021-07-13,10.997,52281739.271906
2021-07-14,10.454,49688340.966183
2021-07-15,9.582,34454499.699519
2021-07-16,8.904,23288249.700326
2021-07-17,8.846,12012207.839898
2021-07-18,8.881,13051420.775266
2021-07-19,8.189,12751729.456329
2021-07-20,7.548,12912200.725683
2021-07-21,8.485,28095739.741043
2021-07-22,8.52,19843193.457635
2021-07-23,8.744,14928174.713186
2021-07-24,8.615,16090617.377659
2021-07-25,8.381,8949057.287277
2021-07-26,9.334,45457361.766909
2021-07-27,9.35,28132507.752473
2021-07-28,9.105,15563361.495594
2021-07-29,9.983,21046906.223328
2021-07-30,9.595,24382011.035644
2021-07-31,10.138,28920864.747338
2021-08-01,9.454,20831216.897305
2021-08-02,9.49,15467041.750742
2021-08-03,9.051,16400861.406351
2021-08-04,9.653,14550734.392102
2021-08-05,10.522,46798165.445973
2021-08-06,10.185,35302163.622867
2021-08-07,10.574,35998051.171341
2021-08-08,9.691,29667168.423087
2021-08-09,10.154,19310453.695666
2021-08-10,10.268,21845760.29265
2021-08-11,10.655,39397687.425827
2021-08-12,10.413,25045485.065639
2021-08-13,12.096,31158077.934872
2021-08-14,12.998,37015552.292772
2021-08-15,12.848,24064777.079824
2021-08-16,12.125,26083872.155202
2021-08-17,11.253,24495023.364846
2021-08-18,11.324,23465887.351043
2021-08-19,12.399,26845969.667427
2021-08-20,12.59,24395550.461323
2021-08-21,13.064,54599460.102148
2021-08-22,13.514,29370323.368073
2021-08-23,13.627,28931434.007516
2021-08-24,12.207,29894275.623086
2021-08-25,12.421,22352181.914883
