date,close,volume_usd
2020-08-11,3.2985,4939148.938107
2020-08-12,3.7558,6176153.724638
2020-08-13,3.73,6446567.98049
2020-08-14,3.4099,5205834.095977
2020-08-15,3.173,3658005.622202
2020-08-16,3.3885,2227715.62781
2020-08-17,3.11,2355329.78763
2020-08-18,3.3407,8885306.133224
2020-08-19,2.8868,4380403.488824
2020-08-20,3.2038,4078240.331482
2020-08-21,2.9317,3480342.67494
2020-08-22,3.0126,3433997.193736
2020-08-23,3.25,3846250.69637
2020-08-24,3.3405,4504839.417218
2020-08-25,3.25,3629890.757954
2020-08-26,3.5684,8065581.239321
2020-08-27,3.4501,8578461.964527
2020-08-28,4.0063,10089370.365356
2020-08-29,3.9535,5290923.089625
2020-08-30,4.4309,7967065.168313
2020-08-31,4.7435,6664671.747242
2020-09-01,4.3397,5871722.637441
2020-09-02,4.17,8136932.352629
2020-09-03,3.5051,12941589.824478
2020-09-04,3.5301,7262296.371156
2020-09-05,2.6052,11872722.479966
2020-09-06,3.0941,7940868.463262
2020-09-07,2.9237,7269853.908694
2020-09-08,2.468,4163484.174943
2020-09-09,3.6001,22147440.589737
2020-09-10,3.4761,15482088.381925
2020-09-11,3.3965,7208721.224244
2020-09-12,3.3316,3845112.025727
2020-09-13,3.2603,6528375.660923
2020-09-14,3.2641,11170955.417119
2020-09-15,2.9295,5332430.834567
2020-09-16,2.5327,12739762.363066
2020-09-17,2.8829,12078123.514301
2020-09-18,3.1144,12294993.323244
2020-09-19,3.031,4884899.265676
2020-09-20,2.8628,4183733.720404
2020-09-21,2.7672,9634412.017789
2020-09-22,2.9082,9798314.273441
2020-09-23,2.8548,7980465.497946
2020-09-24,3.1433,9088676.27259
2020-09-25,3.1937,7516842.110046
2020-09-26,3.1287,4232119.885692
2020-09-27,3.1578,3052809.12141
2020-09-28,2.9599,3987560.497313
2020-09-29,2.9505,2801168.419802
2020-09-30,2.8967,2099223.900761
2020-10-01,2.8669,3893342.82485
2020-10-02,2.6232,7275003.798862
2020-10-03,2.5439,1435302.238821
2020-10-04,2.5202,1911132.616223
2020-10-05,2.6522,2349406.462249
2020-10-06,2.174,4217794.484588
2020-10-07,2.3005,4681013.952151
2020-10-08,2.3638,6159554.618655
2020-10-09,2.5314,4668501.519986
2020-10-10,2.3999,3208987.720961
2020-10-11,2.4227,2160332.631941
2020-10-12,2.5836,5542124.89453
2020-10-13,2.4062,4782866.497653
2020-10-14,2.3107,2631151.893218
2020-10-15,2.2682,1711559.856295
2020-10-16,2.1398,3372968.587202
2020-10-17,2.2053,1058101.061082
2020-10-18,2.215,1061887.097601
2020-10-19,2.0592,1903930.178309
2020-10-20,1.885,3745710.468754
2020-10-21,1.8887,6268421.040971
2020-10-22,1.9582,3222019.146192
2020-10-23,1.959,3003774.15618
2020-10-24,1.9142,1442961.135641
2020-10-25,1.7926,2529847.695912
2020-10-26,1.6799,3511995.568414
2020-10-27,1.711,4356307.68907
