date,close,volume_usd
2020-09-01,8.804,86098884.077167
2020-09-02,7.245,80426312.789748
2020-09-03,4.86,100469246.983047
2020-09-04,4.562,55284461.550197
2020-09-05,1.884,114590841.164356
2020-09-06,3.171,244076516.960798
2020-09-07,2.85,139878008.420468
2020-09-08,2.374,72750478.468924
2020-09-09,2.88,103683105.06239
2020-09-10,2.381,91547002.825497
2020-09-11,2.711,113792833.547553
2020-09-12,2.629,84528159.404498
2020-09-13,2.329,47018827.79233
2020-09-14,2.462,66729607.738466
2020-09-15,1.757,99609445.173643
2020-09-16,1.518,39716023.860125
2020-09-17,1.534,38520784.325563
2020-09-18,1.694,59217466.804592
2020-09-19,1.775,43914017.853075
2020-09-20,1.642,40236119.707185
2020-09-21,1.411,27383827.668967
2020-09-22,1.391,18232626.096325
2020-09-23,1.269,33335096.767759
2020-09-24,1.411,25830571.905261
2020-09-25,1.403,17767000.306997
2020-09-26,1.395,12985857.884576
2020-09-27,1.369,10363672.30504
2020-09-28,1.271,10909635.761591
2020-09-29,1.254,12023461.047282
2020-09-30,1.283,10782481.002737
2020-10-01,1.251,9720233.271809
2020-10-02,1.117,10541162.727161
2020-10-03,1.057,4666517.746475
2020-10-04,0.877,12887899.543244
2020-10-05,0.845,17633505.555892
2020-10-06,0.639,28025051.785952
2020-10-07,0.677,20918316.290392
2020-10-08,0.776,21074701.406188
2020-10-09,0.827,15818737.103292
2020-10-10,0.748,14846137.61078
2020-10-11,0.76,11396085.817907
2020-10-12,0.761,6952601.886773
2020-10-13,0.736,5284577.179123
2020-10-14,0.719,5422245.95116
2020-10-15,0.704,5422912.875861
2020-10-16,0.657,5992769.131524
2020-10-17,0.663,3399713.349547
2020-10-18,0.714,4006706.363533
2020-10-19,0.675,3188633.603712
2020-10-20,0.627,3857345.553041
2020-10-21,0.665,4436074.074825
2020-10-22,0.667,4660144.007781
2020-10-23,0.664,3511625.5289
2020-10-24,0.657,1450388.850137
2020-10-25,0.623,1594109.328015
2020-10-26,0.625,3868052.163488
2020-10-27,0.698,8697561.81314
2020-10-28,0.638,8045069.42085
2020-10-29,0.644,5090160.80255
2020-10-30,0.598,4583262.133316
2020-10-31,0.606,2447378.168224
2020-11-01,0.607,1422554.006964
2020-11-02,0.583,3457727.817701
2020-11-03,0.525,3841840.277917
2020-11-04,0.49,2594019.230993
2020-11-05,0.515,3736289.055219
2020-11-06,0.617,5409308.575874
2020-11-07,0.604,10827516.758113
2020-11-08,0.642,3379887.902167
2020-11-09,0.603,3843526.575234
2020-11-10,0.673,4708687.182358
2020-11-11,0.681,8710175.82974
2020-11-12,0.692,6945684.900331
2020-11-13,0.964,18705633.004211
2020-11-14,1.048,26300432.307235
2020-11-15,1.255,45403062.646567
2020-11-16,1.325,41832416.999152
2020-11-17,1.333,27187112.784968
2020-11-18,1.145,19930735.296824
2020-11-19,1.574,55147813.205392
2020-11-20,1.577,40168740.999693
2020-11-21,1.657,23457660.637399
2020-11-22,1.622,23367911.19932
2020-11-23,1.526,24692025.35792
2020-11-24,1.34,31872398.022164
2020-11-25,1.222,22892853.393135
2020-11-26,1.417,36187497.378502
2020-11-27,1.449,32068287.867368
2020-11-28,1.363,14225890.979691
2020-11-29,1.428,11724076.040483
2020-11-30,1.578,21261660.083583
2020-12-01,1.921,85808369.231896
2020-12-02,2.172,84960426.222467
2020-12-03,2.128,33032918.682477
2020-12-04,1.903,32874012.784502
2020-12-05,2.316,40765285.122221
2020-12-06,2.185,26792904.286642
2020-12-07,2.403,41141406.220149
2020-12-08,2.121,47019209.872327
2020-12-09,2.216,37957460.647848
2020-12-10,2.154,22790630.388652
2020-12-11,1.931,26182114.047534
2020-12-12,2.152,21730112.651449
2020-12-13,2.391,30764208.822966
2020-12-14,2.564,33068269.24328
2020-12-15,2.715,48612957.343535
2020-12-16,2.847,55179192.403091
2020-12-17,2.683,38218561.152151
2020-12-18,2.824,23608432.5995
2020-12-19,2.865,38239219.024728
2020-12-20,2.703,25191709.652181
2020-12-21,2.508,28472922.389127
2020-12-22,2.718,37802610.010885
2020-12-23,2.218,55943995.076397
2020-12-24,2.586,48111080.623603
2020-12-25,2.529,26769060.90288
2020-12-26,2.392,22922260.994493
2020-12-27,2.629,41541098.927127
2020-12-28,2.62,40027622.555498
2020-12-29,2.508,28204215.601411
2020-12-30,2.583,26561089.623783
2020-12-31,2.868,30783374.709165
2021-01-01,3.333,51924506.866346
2021-01-02,3.203,45363706.325269
2021-01-03,3.445,52593129.131469
2021-01-04,3.563,76934701.082474
2021-01-05,3.853,67935855.951451
2021-01-06,3.882,48431404.365692
2021-01-07,3.951,57880932.472295
2021-01-08,4.291,70708533.093183
2021-01-09,4.666,70206613.131665
2021-01-10,4.391,44554299.620202
2021-01-11,3.88,63760283.976999
2021-01-12,4.279,58763877.295436
2021-01-13,5.118,63530514.754864
2021-01-14,5.681,72241489.771316
2021-01-15,6.394,120926316.756835
2021-01-16,7.15,99897462.94671
2021-01-17,7.043,84918975.88134
2021-01-18,7.488,74071380.662429
2021-01-19,6.526,68460903.093817
2021-01-20,7.295,68807684.4688
2021-01-21,5.604,83025757.650826
2021-01-22,6.727,63534821.724375
2021-01-23,7.076,47101302.980081
2021-01-24,8.321,82704798.3285
2021-01-25,7.63,145186413.912993
2021-01-26,8.167,137155032.378658
2021-01-27,7.059,91273994.746618
2021-01-28,8.25,103480225.429141
2021-01-29,8.974,96035986.041276
2021-01-30,10.375,117076992.921356
2021-01-31,10.121,185655352.618325
2021-02-01,13.008,152386718.757428
2021-02-02,12.627,143937425.687797
2021-02-03,14.21,129075389.316064
2021-02-04,15.342,200575689.844863
2021-02-05,14.955,115449878.708759
2021-02-06,13.779,151778057.761409
2021-02-07,13.156,120143474.100518
2021-02-08,14.091,107205459.972057
2021-02-09,14.248,98052757.101379
2021-02-10,14.863,131034631.410882
2021-02-11,16.772,125001592.117228
2021-02-12,16.559,91807766.009432
2021-02-13,15.996,58474414.358689
2021-02-14,14.923,51719719.279477
2021-02-15,17.265,172498204.619034
2021-02-16,16.455,80300347.708414
2021-02-17,16.166,102315023.751303
2021-02-18,15.8,62124668.469532
2021-02-19,14.546,121326210.789148
2021-02-20,18.342,345116444.227115
2021-02-21,17.327,106221681.732437
2021-02-22,16.57,175144632.641805
2021-02-23,14.82,175379921.165715
2021-02-24,14.698,81965882.299733
2021-02-25,14.378,145681690.891123
2021-02-26,15.332,136207919.27279
2021-02-27,16.288,115956228.104347
2021-02-28,15.082,96599242.101404
2021-03-01,18.829,109226587.487001
2021-03-02,17.838,324636315.483287
2021-03-03,17.433,141577793.951993
2021-03-04,17.345,114261133.260334
2021-03-05,16.613,78247662.644498
2021-03-06,16.576,43819289.275467
2021-03-07,17.956,78183901.787632
2021-03-08,17.23,72275784.078421
2021-03-09,19.67,146523971.762181
2021-03-10,17.931,81825148.663281
2021-03-11,18.61,98821876.754911
2021-03-12,19.406,117187911.574961
2021-03-13,22.823,242096721.472714
2021-03-14,20.642,127260429.412023
2021-03-15,19.849,91870076.384813
2021-03-16,20.212,70790056.681169
2021-03-17,19.915,42467888.8328
2021-03-18,19.7,48681828.117868
2021-03-19,20.278,47505509.741936
2021-03-20,19.472,38097104.923958
2021-03-21,18.848,45129045.055635
2021-03-22,17.311,51068766.549845
2021-03-23,16.428,46862745.373437
2021-03-24,14.918,55631035.721441
2021-03-25,14.826,68664697.968389
2021-03-26,16.815,43567152.024491
2021-03-27,16.181,32837683.07681
2021-03-28,15.272,40939592.229626
2021-03-29,15.822,49850825.706464
2021-03-30,15.403,39147447.887298
2021-03-31,14.704,66243557.516459
2021-04-01,14.868,51194914.361979
2021-04-02,16.43,71369733.752801
2021-04-03,14.824,70430666.712897
2021-04-04,15.243,42181207.666133
2021-04-05,15.062,48846978.779834
2021-04-06,15.327,54413534.116019
2021-04-07,13.868,62379411.118616
2021-04-08,14.426,28222645.500875
2021-04-09,14.535,43260642.120426
2021-04-10,14.498,35594838.895452
2021-04-11,14.176,35060865.588935
2021-04-12,16.056,167010566.75313
2021-04-13,15.842,88749898.3166
2021-04-14,17.496,126490905.365705
2021-04-15,17.552,89603947.832256
2021-04-16,16.24,80171722.702985
2021-04-17,15.831,54573352.25895
2021-04-18,14.015,201867868.054946
2021-04-19,12.162,112784103.203884
2021-04-20,12.696,71843526.622036
2021-04-21,12.471,70510375.793213
2021-04-22,12.305,123828905.676811
2021-04-23,11.808,105069954.738434
2021-04-24,10.703,39116410.445804
2021-04-25,10.964,36322616.62667
2021-04-26,12.152,52543659.588833
2021-04-27,14.283,78833336.858995
2021-04-28,14.292,79120528.820885
2021-04-29,14.046,72317231.346085
2021-04-30,14.332,44499085.496631
2021-05-01,14.767,44963905.767796
2021-05-02,13.898,47240508.320084
2021-05-03,14.382,60200013.716018
2021-05-04,12.65,75901131.671818
2021-05-05,14.357,60277764.538373
2021-05-06,16.512,249609191.644691
2021-05-07,15.805,183469590.613446
2021-05-08,16.32,78680494.010191
2021-05-09,15.506,75482265.855607
2021-05-10,13.823,142744501.530574
2021-05-11,15.244,78677512.867008
2021-05-12,14.881,337898669.486699
2021-05-13,14.774,185261438.662712
2021-05-14,18.591,174821901.885897
2021-05-15,16.181,166875786.694259
2021-05-16,16.564,132389357.233643
2021-05-17,16.187,189599379.541409
2021-05-18,21.436,382755846.424385
2021-05-19,13.132,585957283.497237
2021-05-20,15.128,294657343.180173
2021-05-21,12.754,212434346.924191
2021-05-22,11.069,171393399.260991
2021-05-23,9.013,275693399.505592
2021-05-24,11.973,188953189.047714
2021-05-25,12.229,185219996.102009
2021-05-26,13.423,169731473.582996
2021-05-27,12.116,87651929.839453
2021-05-28,10.596,95476048.153239
2021-05-29,10.037,58579558.351785
2021-05-30,10.837,63327006.67302
2021-05-31,12.474,75670391.008579
2021-06-01,12.051,59244955.269408
2021-06-02,12.528,60738845.810231
2021-06-03,13.239,52556429.756673
2021-06-04,11.843,56641006.777104
2021-06-05,11.568,60481188.225097
2021-06-06,11.537,26716322.746308
2021-06-07,10.275,45673238.104235
2021-06-08,10.071,67214327.137449
2021-06-09,10.543,56798659.969042
2021-06-10,9.405,36677853.261009
2021-06-11,8.56,31650688.689469
2021-06-12,7.842,39128047.295225
2021-06-13,8.632,34486226.996585
2021-06-14,9.254,43056204.202279
2021-06-15,9.109,34798194.615833
2021-06-16,8.494,37869214.099136
2021-06-17,8.468,29647818.674011
2021-06-18,7.834,28600529.339773
2021-06-19,7.47,19703663.523429
2021-06-20,8.416,75054044.633324
2021-06-21,6.644,79236641.587448
2021-06-22,6.804,98476092.011492
2021-06-23,7.048,50293129.137756
2021-06-24,7.062,32884719.283519
2021-06-25,6.294,35114091.03312
2021-06-26,6.826,28247873.542784
2021-06-27,7.141,24211923.383407
2021-06-28,7.6,28665836.611995
2021-06-29,7.939,43150847.146708
2021-06-30,8.158,38607243.811415
2021-07-01,7.425,27243972.78337
2021-07-02,7.423,17865758.00572
2021-07-03,7.62,11909609.387024
2021-07-04,7.934,25261527.539057
2021-07-05,8.078,33185524.637852
2021-07-06,8.981,111697921.63462
2021-07-07,8.778,57928540.861863
2021-07-08,7.893,40440189.870428
2021-07-09,8.409,32768910.887643
2021-07-10,7.99,21817664.024643
2021-07-11,8.15,23038022.204685
2021-07-12,7.635,22777226.866872
2021-07-13,7.135,23412965.177393
2021-07-14,7.123,27672980.704705
2021-07-15,6.724,33318436.11191
2021-07-16,6.347,21151257.4975
2021-07-17,7.499,73809612.987129
2021-07-18,7.082,47358880.325054
2021-07-19,6.646,39328735.333423
2021-07-20,6.291,30482573.583015
2021-07-21,7.093,38334644.595701
2021-07-22,8.236,88733216.741484
2021-07-23,8.594,74221414.651978
2021-07-24,8.031,37812423.620358
2021-07-25,8.331,30800402.623287
2021-07-26,8.277,92007838.857697
