date,close,volume_usd
2020-09-17,3.4617,333729068.925844
2020-09-18,6.9,1000039651.037696
2020-09-19,5.7244,515450179.992354
2020-09-20,5.223,282681649.969729
2020-09-21,4.2471,263249742.810448
2020-09-22,3.9105,165782944.378901
2020-09-23,4.38,267187483.34736
2020-09-24,5.164,219988837.338756
2020-09-25,4.9145,163328757.293314
2020-09-26,4.8684,72802048.888563
2020-09-27,4.8458,72093517.118611
2020-09-28,4.2503,71795633.330892
2020-09-29,4.3826,49146508.253399
2020-09-30,4.1554,34298302.909446
2020-10-01,4.2397,79128683.435219
2020-10-02,3.8904,48261612.062012
2020-10-03,3.9041,25875306.620727
2020-10-04,3.7262,34747338.408722
2020-10-05,3.319,50225014.640488
2020-10-06,2.7143,70355709.608437
2020-10-07,2.9621,65517558.254562
2020-10-08,3.3499,79113737.585465
2020-10-09,3.3834,54925623.775849
2020-10-10,3.2989,37328992.387001
2020-10-11,3.3626,28263092.495599
2020-10-12,3.4599,30646748.115858
2020-10-13,3.3546,19007337.641713
2020-10-14,3.1123,36470199.644619
2020-10-15,3.0793,24135144.708162
2020-10-16,3.0426,43040138.140961
2020-10-17,3.0566,16434510.956638
2020-10-18,3.2811,17913667.232235
2020-10-19,3.1703,14110519.116801
2020-10-20,2.8582,26890645.537144
2020-10-21,2.9371,28946265.458053
2020-10-22,3.0432,16480651.708178
2020-10-23,3.011,13094261.220504
2020-10-24,2.9399,10259849.021496
2020-10-25,2.7726,14083176.929074
2020-10-26,2.7114,19488240.324024
2020-10-27,2.8096,20547332.46249
2020-10-28,2.6611,17505001.150615
2020-10-29,2.5391,11419321.823667
2020-10-30,2.4134,27786664.952513
2020-10-31,2.2662,10261291.659961
2020-11-01,2.3765,13235221.449569
2020-11-02,2.254,14049958.946068
2020-11-03,2.138,15413549.979634
2020-11-04,1.9281,20172475.98138
2020-11-05,2.1901,63748264.822545
2020-11-06,2.5657,73815299.835417
2020-11-07,2.4755,104002935.416026
2020-11-08,2.8653,35077829.489707
2020-11-09,2.6822,29752272.47291
2020-11-10,3.0759,48955488.061298
2020-11-11,2.9308,39475974.908952
2020-11-12,2.9582,29675223.651573
2020-11-13,3.8614,83088686.056933
2020-11-14,3.8165,83292765.473274
2020-11-15,3.8458,93775301.422788
2020-11-16,3.5634,89282298.089982
2020-11-17,3.8104,66704719.023801
2020-11-18,3.4607,54146604.527569
2020-11-19,3.7417,66967556.926444
2020-11-20,3.8552,66241474.545522
2020-11-21,3.8366,58578610.356054
2020-11-22,3.6763,41365517.79417
2020-11-23,4.1842,62434206.89122
2020-11-24,4.0627,76689534.61081
2020-11-25,3.6773,44645172.057071
2020-11-26,3.43,57372564.177355
2020-11-27,3.3067,28099025.916178
2020-11-28,3.4616,19555376.724404
2020-11-29,3.5514,16464245.90688
2020-11-30,3.7824,30271012.868436
2020-12-01,3.55,36598529.467895
2020-12-02,3.9484,46032599.575099
2020-12-03,3.8829,27066784.362895
2020-12-04,3.516,17653427.933881
2020-12-05,3.6834,13967747.44798
2020-12-06,3.6482,12888480.987759
2020-12-07,3.7574,21889353.510977
2020-12-08,3.2982,25313328.031368
2020-12-09,3.3511,21438945.533849
2020-12-10,3.239,9983203.835632
2020-12-11,2.9623,15309560.828714
2020-12-12,3.1225,12057700.414426
2020-12-13,3.344,10736208.782296
2020-12-14,3.4803,14456457.221073
2020-12-15,3.3292,17080578.011642
2020-12-16,3.5357,20988935.641196
2020-12-17,3.6914,53095116.528273
2020-12-18,3.7652,26656382.054488
2020-12-19,3.9621,66379767.092048
2020-12-20,3.7617,30732945.900907
2020-12-21,3.5094,31750874.073904
2020-12-22,3.7331,35065015.963803
2020-12-23,3.3111,31601932.144305
2020-12-24,3.5227,21036295.612878
2020-12-25,3.5038,18684679.206
2020-12-26,3.4171,20234988.235252
2020-12-27,3.5965,33532536.460489
2020-12-28,3.7311,27339961.47902
2020-12-29,3.6695,19270178.297457
2020-12-30,4.1531,50157205.952951
2020-12-31,5.1501,101050486.592787
2021-01-01,4.7353,63396881.07734
2021-01-02,4.8564,73673763.544362
2021-01-03,5.5155,82035063.087078
2021-01-04,5.4238,97160283.626744
2021-01-05,6.2518,77322387.886502
2021-01-06,6.4157,51557270.085364
2021-01-07,6.2545,49655803.300269
2021-01-08,5.8807,49167935.391304
