date,close,volume_usd
2019-09-24,0.8597,796253.59407
2019-09-25,0.8517,292972.046206
2019-09-26,0.8503,344849.947581
2019-09-27,0.8845,217677.571891
2019-09-28,0.8902,224891.619977
2019-09-29,0.8817,135884.076308
2019-09-30,0.9018,257593.779159
2019-10-01,0.9502,262799.043125
2019-10-02,0.9428,222795.725331
2019-10-03,0.9299,201467.698348
2019-10-04,0.9194,111493.459403
2019-10-05,0.9094,85433.145516
2019-10-06,0.8641,208277.061579
2019-10-07,0.8983,301777.610443
2019-10-08,0.8982,145887.719576
2019-10-09,0.9332,348970.674369
2019-10-10,0.914,177807.555349
2019-10-11,0.9052,232541.338342
2019-10-12,0.89,65812.180453
2019-10-13,0.9031,163916.814916
2019-10-14,0.9363,192051.218743
2019-10-15,0.9056,91784.501402
2019-10-16,0.8731,142878.399029
2019-10-17,0.8923,73696.07917
2019-10-18,0.8792,52857.57146
2019-10-19,0.8618,57062.821452
2019-10-20,0.8793,37583.048438
2019-10-21,0.8644,42456.571787
2019-10-22,0.8335,198613.372034
2019-10-23,0.7585,280740.336372
2019-10-24,0.759,168595.259121
2019-10-25,0.8348,243907.726861
2019-10-26,0.8346,296052.070117
2019-10-27,0.8603,274279.669146
2019-10-28,0.85,309864.698456
2019-10-29,0.8419,174757.312461
2019-10-30,0.8755,602442.117785
2019-10-31,0.8832,459842.233149
2019-11-01,0.8728,154809.24711
2019-11-02,0.8619,130129.031456
2019-11-03,0.8666,87805.770667
2019-11-04,0.8859,318937.455093
2019-11-05,0.9243,337556.039919
2019-11-06,1.0156,1477725.944913
2019-11-07,1.2079,7769397.960344
2019-11-08,1.1659,2413189.441566
2019-11-09,1.2658,1376774.607116
2019-11-10,1.2237,1061402.338564
2019-11-11,1.1706,632829.513623
2019-11-12,1.1655,483929.596816
2019-11-13,1.1314,611551.74349
2019-11-14,1.2162,3010026.718069
2019-11-15,1.17,1525822.444817
2019-11-16,1.1546,575308.192438
2019-11-17,1.1552,463949.648849
2019-11-18,1.2122,1504296.990057
2019-11-19,1.2036,1167422.050049
2019-11-20,1.2145,1091306.869074
2019-11-21,1.2158,2957773.697855
2019-11-22,1.2199,3010178.78837
2019-11-23,1.3802,5437059.174017
2019-11-24,1.3099,2534890.816949
2019-11-25,1.228,3365931.478906
2019-11-26,1.2384,2176643.109267
2019-11-27,1.2542,2564310.023871
2019-11-28,1.2725,2353311.76018
2019-11-29,1.3068,1864180.452341
2019-11-30,1.3336,1662102.743003
2019-12-01,1.2527,1509921.740429
2019-12-02,1.2394,1705586.157811
2019-12-03,1.2904,2384696.490498
2019-12-04,1.2411,2463799.749025
2019-12-05,1.2887,1019492.35917
2019-12-06,1.3774,2485254.423194
2019-12-07,1.438,4199583.211001
2019-12-08,1.5998,6645975.986593
2019-12-09,1.5497,5517640.731624
2019-12-10,1.4754,6092199.469478
2019-12-11,1.5725,4593430.401061
2019-12-12,1.7583,10965458.317263
2019-12-13,1.7685,11470211.205177
2019-12-14,1.6768,7656610.698659
2019-12-15,1.6715,5479269.161126
2019-12-16,1.6657,5545395.139144
2019-12-17,1.543,11943561.234351
2019-12-18,1.5839,9226349.7149
2019-12-19,1.5008,5609159.876089
2019-12-20,1.6045,4202364.216345
2019-12-21,1.4709,3471643.571676
2019-12-22,1.464,3394200.267948
2019-12-23,1.5155,4270759.862083
2019-12-24,1.4825,1504596.896271
2019-12-25,1.4016,2914840.225976
2019-12-26,1.3684,3493264.723662
2019-12-27,1.38,1458579.609938
2019-12-28,1.3281,2809054.807095
2019-12-29,1.3114,3419951.58046
2019-12-30,1.3297,2851973.382265
2019-12-31,1.3533,3222850.030368
2020-01-01,1.37,1611856.938325
2020-01-02,1.2428,2730184.769583
2020-01-03,1.2785,2852610.930146
2020-01-04,1.2557,2594399.001745
2020-01-05,1.2545,2057993.20317
2020-01-06,1.3047,3044144.119187
2020-01-07,1.2929,3797880.123063
2020-01-08,1.3307,4224369.993015
2020-01-09,1.2811,3058980.608648
2020-01-10,1.3064,2520342.39542
2020-01-11,1.3041,1989467.043187
2020-01-12,1.3072,721998.946075
2020-01-13,1.2743,1634156.185404
2020-01-14,1.3248,4093830.394821
2020-01-15,1.3453,4634347.20004
2020-01-16,1.4936,4870700.498698
2020-01-17,1.477,5558032.123082
2020-01-18,1.4806,2595696.148339
2020-01-19,1.4267,3111146.015723
2020-01-20,1.5929,4905902.374996
2020-01-21,1.536,3903815.414529
2020-01-22,1.5937,3433830.309337
2020-01-23,1.5591,4852399.872157
2020-01-24,1.5144,2390563.306115
2020-01-25,1.4947,1835215.335416
2020-01-26,1.5256,1363331.716341
2020-01-27,1.5207,2305132.660647
2020-01-28,1.5508,3260582.572209
2020-01-29,1.5698,5015436.542788
2020-01-30,1.6773,5331289.638521
2020-01-31,1.6564,2842136.332934
2020-02-01,1.749,1704595.714504
2020-02-02,1.929,8506007.340528
2020-02-03,1.9968,11179004.249273
2020-02-04,1.923,7076775.995399
2020-02-05,2.1441,11282687.014665
2020-02-06,2.1691,8671096.117929
2020-02-07,2.19,5633444.66297
2020-02-08,2.2947,6785734.636385
2020-02-09,2.6423,20631999.899344
2020-02-10,2.622,19712153.261849
2020-02-11,2.9114,16402861.017217
2020-02-12,3.3001,40460152.051762
2020-02-13,3.1239,26671904.670549
2020-02-14,3.4797,23497650.414653
2020-02-15,3.2048,22993999.230341
2020-02-16,3.2499,23736333.062381
2020-02-17,3.1609,25191718.476768
2020-02-18,3.4328,29743701.182004
2020-02-19,3.5539,39146794.522119
2020-02-20,3.6124,44381652.611767
2020-02-21,3.4818,28183166.955038
2020-02-22,3.2998,24671831.456401
2020-02-23,3.52,19305682.869827
2020-02-24,3.185,34781194.209259
2020-02-25,2.8118,34800219.267116
2020-02-26,2.7539,56919641.426466
2020-02-27,2.8,48528380.363859
2020-02-28,2.7845,27321059.342937
2020-02-29,2.7329,23787027.948694
2020-03-01,2.6135,20293874.143325
2020-03-02,2.8001,23797046.940756
2020-03-03,2.7595,21719934.248846
2020-03-04,3.1,35665945.644265
2020-03-05,3.0895,47182384.143044
2020-03-06,3.1748,23943379.14578
2020-03-07,2.9857,24264662.194583
2020-03-08,2.5894,34673427.495579
2020-03-09,2.5396,35455292.080973
2020-03-10,2.5943,33401946.875748
2020-03-11,2.5102,26050316.664747
2020-03-12,1.319,61322066.482935
2020-03-13,1.7674,63895012.350974
2020-03-14,1.5859,22860591.579076
2020-03-15,1.5452,23177969.141884
2020-03-16,1.3232,33103290.620687
2020-03-17,1.3645,22399247.752624
2020-03-18,1.3998,17343180.260306
2020-03-19,1.6319,30045862.357592
2020-03-20,1.6825,32268960.180816
2020-03-21,1.6619,20998587.634384
2020-03-22,1.4725,18263721.17587
2020-03-23,1.6777,18922474.896889
2020-03-24,1.7611,21842428.126503
2020-03-25,1.711,17210843.130607
2020-03-26,1.7546,8229855.684407
2020-03-27,1.5874,12078010.151672
2020-03-28,1.5617,11031052.541094
2020-03-29,1.4684,6110978.979592
2020-03-30,1.6066,9821941.397367
2020-03-31,1.607,7400559.62482
2020-04-01,1.6089,9042951.424465
2020-04-02,1.6671,21546958.666625
2020-04-03,1.6753,14520207.349793
2020-04-04,1.6957,8875237.92088
2020-04-05,1.665,5367537.655713
2020-04-06,1.9145,20194023.948189
2020-04-07,1.9609,45007031.375393
2020-04-08,2.1427,29108671.316894
2020-04-09,2.1078,30000236.927711
2020-04-10,1.9078,32868085.445326
2020-04-11,1.9735,19193856.764789
2020-04-12,2.0042,23536970.100402
2020-04-13,1.9353,18677210.604009
2020-04-14,1.9455,12166311.656082
2020-04-15,1.8989,10720773.625228
2020-04-16,2.1062,22845133.114419
2020-04-17,2.087,19060271.986828
2020-04-18,2.3272,24498221.480811
2020-04-19,2.2421,22148630.552353
2020-04-20,2.1263,32512994.419707
2020-04-21,2.1468,18960918.687413
2020-04-22,2.337,20920060.491961
2020-04-23,2.498,37327220.999622
2020-04-24,2.7148,41655214.838602
2020-04-25,2.8586,26004147.912994
2020-04-26,2.7637,20783999.06581
2020-04-27,2.7419,28734074.928367
2020-04-28,2.7432,23017652.533019
2020-04-29,2.9353,41908402.058761
2020-04-30,2.7526,38061900.571722
2020-05-01,2.7975,24943001.494386
2020-05-02,2.8349,12406830.74101
2020-05-03,2.736,16648825.997711
2020-05-04,2.7766,27535932.190074
2020-05-05,2.7502,16764770.773531
2020-05-06,2.6574,14226425.401391
2020-05-07,2.718,17638716.264745
2020-05-08,2.75,16257198.730474
2020-05-09,2.8106,22316826.956105
2020-05-10,2.5536,34860218.841377
2020-05-11,2.426,26868180.217457
2020-05-12,2.5103,15116921.163848
2020-05-13,2.5696,10266590.518623
2020-05-14,2.545,14628862.470118
2020-05-15,2.4901,11176531.329675
2020-05-16,2.6262,12530739.927167
2020-05-17,2.6234,10174746.101741
2020-05-18,2.753,13677644.684963
2020-05-19,2.8353,13262026.623608
2020-05-20,2.824,14914069.948165
2020-05-21,2.6435,14135980.098598
2020-05-22,2.7971,13209569.603537
2020-05-23,2.7594,7401490.455969
2020-05-24,2.6433,10118823.047116
2020-05-25,2.736,7960612.068775
2020-05-26,2.6965,7482320.92464
2020-05-27,2.7093,5825335.665027
2020-05-28,2.8319,8879779.74468
2020-05-29,2.8729,15426848.713862
2020-05-30,2.9241,16153165.512482
2020-05-31,2.806,14266889.535821
2020-06-01,2.9664,17243650.870513
2020-06-02,2.8961,26239493.381111
2020-06-03,3.0415,13380405.544684
2020-06-04,2.9975,14050158.403821
2020-06-05,2.9333,7706566.166187
2020-06-06,2.9241,4278892.299482
2020-06-07,2.885,8940017.231964
2020-06-08,2.9431,5180896.366548
2020-06-09,2.9014,6002604.084907
2020-06-10,2.8862,7974837.533943
2020-06-11,2.6133,17848339.30839
2020-06-12,2.6655,11281139.528174
2020-06-13,2.6953,4249645.812967
2020-06-14,2.5883,3959551.059621
2020-06-15,2.6279,9841664.14774
2020-06-16,2.613,6038784.301398
2020-06-17,2.6791,7864652.692608
2020-06-18,2.6625,16676144.091948
2020-06-19,2.6247,9649218.552352
2020-06-20,2.6162,5508708.03504
2020-06-21,2.5895,3188671.845009
2020-06-22,2.68,5869763.323546
2020-06-23,2.7837,12879260.60818
2020-06-24,2.6265,18816330.538116
2020-06-25,2.579,9180165.280351
2020-06-26,2.4849,15415725.194132
2020-06-27,2.3132,12047404.146886
2020-06-28,2.3679,7260205.548072
2020-06-29,2.4122,6324176.188948
2020-06-30,2.3576,4595442.807098
2020-07-01,2.3985,7085986.243953
2020-07-02,2.3347,7460325.487186
2020-07-03,2.2764,6213737.992192
2020-07-04,2.3294,4207048.617391
2020-07-05,2.2844,6459941.507173
2020-07-06,2.4388,10142490.338448
2020-07-07,2.5105,14986642.609283
2020-07-08,2.652,18696430.496168
2020-07-09,2.531,15643686.943032
2020-07-10,2.5434,11821643.30878
2020-07-11,2.682,21411258.66448
2020-07-12,2.8221,24245947.542937
2020-07-13,2.8999,84253883.937905
2020-07-14,2.9557,50864284.118364
2020-07-15,3.215,61110590.785935
2020-07-16,3.101,87372155.315986
2020-07-17,3.17,34212240.360038
2020-07-18,3.0079,27280518.576364
2020-07-19,2.9825,19534353.763261
2020-07-20,2.7682,20660057.350776
2020-07-21,3.0227,28003655.964365
2020-07-22,3.1057,19568007.167305
2020-07-23,3.1881,27420193.434953
2020-07-24,3.0306,25136890.719201
2020-07-25,3.0579,20609264.79569
2020-07-26,2.9859,24990437.546689
2020-07-27,2.8275,44012378.276174
2020-07-28,2.8323,20444512.7876
2020-07-29,2.781,15735059.758909
2020-07-30,2.8027,12135324.005718
2020-07-31,2.8401,13164674.564783
2020-08-01,3.039,24331555.801589
2020-08-02,2.893,43331439.564285
2020-08-03,3.0703,30964450.718263
2020-08-04,3.2438,54664323.316125
2020-08-05,3.1115,28276670.998649
2020-08-06,3.2287,41312335.070383
2020-08-07,3.081,32432634.134352
2020-08-08,3.382,45474769.50667
2020-08-09,3.6924,70842981.401311
2020-08-10,4.2558,99426877.636145
2020-08-11,4.01,108484603.724483
2020-08-12,4.3605,101316270.075925
2020-08-13,4.1356,81290977.839221
2020-08-14,4.1094,38696262.496667
2020-08-15,4.0675,55818014.553616
2020-08-16,4.2401,46292332.277335
2020-08-17,4.0323,35913723.698622
2020-08-18,3.832,41784168.038562
2020-08-19,3.6247,64129971.460666
2020-08-20,3.8546,42243050.544868
2020-08-21,3.3885,48488812.351383
2020-08-22,3.5758,30562086.409272
2020-08-23,3.5188,25235141.210197
2020-08-24,3.6791,38893142.104582
2020-08-25,3.4347,35375592.465084
2020-08-26,3.3666,24485931.656835
2020-08-27,3.2235,31718449.821439
2020-08-28,3.2635,19183808.515282
2020-08-29,3.3512,18573052.166299
2020-08-30,3.3861,17964612.944263
2020-08-31,3.2432,20128305.444313
2020-09-01,3.4448,29712699.401072
2020-09-02,3.1399,32926201.359703
2020-09-03,2.5528,38158676.092595
2020-09-04,2.7418,27407208.123177
2020-09-05,2.4821,34216139.947395
2020-09-06,2.5495,16528436.589439
2020-09-07,2.5582,14427593.255845
2020-09-08,2.5015,18131886.551239
2020-09-09,2.5283,11315436.082619
2020-09-10,2.5757,12735681.282599
2020-09-11,2.5691,10011467.26148
2020-09-12,2.5978,9570279.418576
2020-09-13,2.6249,15164164.208843
2020-09-14,2.6122,9327786.252209
2020-09-15,2.5002,12119520.215385
2020-09-16,2.4711,11141680.590063
2020-09-17,2.472,7014880.156682
2020-09-18,2.3894,9253932.245116
2020-09-19,2.319,8275707.373727
2020-09-20,2.2196,9859076.523326
2020-09-21,1.9727,20122382.587217
2020-09-22,2.1072,14466090.468509
2020-09-23,1.9532,14522236.309324
2020-09-24,2.1552,10920242.264121
2020-09-25,2.21,10760856.905797
