date,close,volume_usd
2019-03-21,55.14,439917.273083
2019-03-22,55.07,286909.1342886
2019-03-23,56.9,190964.3467238
2019-03-24,57.21,478186.0918224
2019-03-25,55.32,274141.6520095
2019-03-26,54.49,212108.683224
2019-03-27,56.96,241493.3666605
2019-03-28,56.18,303098.3218913
2019-03-29,57.14,453946.9213097
2019-03-30,57.1,210420.9254309
2019-03-31,58.65,664704.6983971
2019-04-01,62.7,884575.3532597
2019-04-02,69.6,1915070.4167144
2019-04-03,69.55,1892511.129047
2019-04-04,66.78,801465.0088937
2019-04-05,72.05,949160.8077646
2019-04-06,71.23,551161.6289009
2019-04-07,74.37,1075249.9882733
2019-04-08,72.19,1019916.621776
2019-04-09,70.3,1041357.535008
2019-04-10,71.75,777505.5219636
2019-04-11,69.61,942696.0969887
2019-04-12,70.94,1524884.8302209
2019-04-13,69.08,381725.0087146
2019-04-14,69.6,274939.4882736
2019-04-15,67.45,427509.4732451
2019-04-16,68.98,314649.5576397
2019-04-17,70.09,371547.9068678
2019-04-18,70.26,506410.1621576
2019-04-19,69.23,250539.3663256
2019-04-20,69.35,216781.8054598
2019-04-21,67.91,307446.3582129
2019-04-22,68.76,371791.0102147
2019-04-23,66.45,437343.3573284
2019-04-24,65.26,561888.7267808
2019-04-25,61.89,365016.1975652
2019-04-26,61.88,760447.3990178
2019-04-27,61.55,314281.5708913
2019-04-28,60.6,167934.728667
2019-04-29,57.89,330354.2000166
2019-04-30,60.66,328794.5774321
2019-05-01,61.06,247006.4035321
2019-05-02,60.03,305794.3011204
2019-05-03,62.85,439970.773754
2019-05-04,60.94,313707.1811641
2019-05-05,59.59,202784.4814474
2019-05-06,60.07,534702.2870244
2019-05-07,57.64,535923.0046847
2019-05-08,58.25,197374.2176173
2019-05-09,56.58,437512.2923446
2019-05-10,57.46,386430.6233459
2019-05-11,63.08,852193.7687548
2019-05-12,60.67,706533.949193
2019-05-13,63.58,726939.9389277
2019-05-14,67.51,1245294.3085935
2019-05-15,77.0,892877.464162
2019-05-16,75.26,2332460.9144137
2019-05-17,73.34,1503436.3445708
2019-05-18,71.91,500429.2489626
2019-05-19,77.6,929914.72239
2019-05-20,75.95,1070955.982612
2019-05-21,74.51,1219642.6731341
2019-05-22,69.73,746742.826767
2019-05-23,71.91,695107.671746
2019-05-24,72.38,364543.5141955
2019-05-25,72.3,286427.6689373
2019-05-26,75.32,669697.6695867
2019-05-27,76.22,864496.9913688
2019-05-28,85.12,3136489.9703382
2019-05-29,85.08,1751482.5620981
2019-05-30,82.99,6407703.6055952
2019-05-31,90.2,2387367.0291871
2019-06-01,86.17,1569082.8158401
2019-06-02,88.86,1404850.5479131
2019-06-03,83.63,2249049.4781643
2019-06-04,77.69,2321949.9470744
2019-06-05,80.41,1041932.7695076
2019-06-06,79.65,863151.7100642
2019-06-07,83.13,965866.0037686
2019-06-08,80.44,1787930.6338002
2019-06-09,77.35,1297838.4920022
2019-06-10,80.12,815050.2122099
2019-06-11,79.5,545334.523648
2019-06-12,91.1,2908092.9647519
2019-06-13,87.84,2157002.0217745
2019-06-14,90.68,3480842.0172609
2019-06-15,92.08,1635997.1867066
2019-06-16,93.51,1516991.1873622
2019-06-17,102.09,4210044.2181375
2019-06-18,111.95,9540462.1391598
2019-06-19,110.66,5712706.5378552
2019-06-20,109.39,2438359.8228522
2019-06-21,109.75,3446716.2708451
2019-06-22,113.51,4481864.5686843
